,Putts_per_Round_-_Round_4_RANK THIS WEEK,Putts_per_Round_-_Round_4_RANK LAST WEEK,Putts_per_Round_-_Round_4_PLAYER NAME,Putts_per_Round_-_Round_4_AVG,Putts_per_Round_-_Round_4_TOTAL PUTTS,Putts_per_Round_-_Round_4_TOTAL ROUNDS
0,1,1,Adam Long,26.17,157,6
1,2,2,Brian Stuard,26.2,393,15
2,3,3,Jonas Blixt,26.85,349,13
3,4,4,Webb Simpson,27.08,325,12
4,5,5,Si Woo Kim,27.17,326,12
5,6,6,Kiradech Aphibarnrat,27.22,245,9
6,7,7,Charl Schwartzel,27.25,109,4
7,T8,15,Jonathan Byrd,27.38,219,8
8,T8,13,Brian Gay,27.38,438,16
9,T10,T10,Patrick Cantlay,27.5,275,10
10,T10,T10,Martin Trainer,27.5,165,6
11,T10,T10,Matt Wallace,27.5,165,6
12,13,14,Wyndham Clark,27.55,303,11
13,14,8,Peter Malnati,27.64,304,11
14,T15,16,Justin Rose,27.67,249,9
15,T15,999,Tyrone Van Aswegen,27.67,83,3
16,17,T43,Zach Johnson,27.7,277,10
17,18,T17,Bud Cauley,27.73,305,11
18,T19,T19,Anirban Lahiri,27.75,222,8
19,T19,999,Shane Lowry,27.75,111,4
20,T19,T19,Francesco Molinari,27.75,222,8
21,T19,T19,Xander Schauffele,27.75,333,12
22,23,T19,Kelly Kraft,27.78,250,9
23,24,T31,Ryan Palmer,27.8,278,10
24,25,T17,Adam Schenk,27.81,445,16
25,26,23,Troy Merritt,27.88,223,8
26,T27,T25,Aaron Baddeley,27.9,279,10
27,T27,T25,Patton Kizzire,27.9,279,10
28,T29,T27,Ryan Armour,27.91,307,11
29,T29,T27,Ryan Blaum,27.91,307,11
30,T29,T27,Max Homa,27.91,307,11
31,32,30,Rickie Fowler,27.92,363,13
32,T33,T88,Joey Garber,28.0,140,5
33,T33,T31,J.J. Henry,28.0,112,4
34,T33,T31,Hunter Mahan,28.0,168,6
35,T33,T43,Sebastián Muñoz,28.0,280,10
36,T33,T31,Louis Oosthuizen,28.0,224,8
37,T33,36,Brandt Snedeker,28.0,420,15
38,T33,T31,Chris Stroud,28.0,196,7
39,40,37,Marc Leishman,28.09,309,11
40,41,24,Jim Furyk,28.1,281,10
41,42,T38,Whee Kim,28.17,169,6
42,43,40,Ryan Moore,28.18,310,11
43,44,T41,Justin Harding,28.2,141,5
44,45,T43,Carlos Ortiz,28.22,254,9
45,46,46,Kyle Stanley,28.25,226,8
46,47,T47,Patrick Rodgers,28.29,198,7
47,48,49,Denny McCarthy,28.3,283,10
48,T49,T80,Sungjae Im,28.31,453,16
49,T49,50,Sung Kang,28.31,368,13
50,T51,T51,Austin Cook,28.33,170,6
51,T51,T51,Bryson DeChambeau,28.33,255,9
52,T51,T51,Sergio Garcia,28.33,170,6
53,T51,T51,Charley Hoffman,28.33,255,9
54,T51,T51,Trey Mullinax,28.33,340,12
55,T51,T51,D.A. Points,28.33,85,3
56,57,58,Sam Burns,28.36,312,11
57,T58,T59,Rafa Cabrera Bello,28.38,369,13
58,T58,T59,Chesson Hadley,28.38,227,8
59,T58,T47,Jim Knous,28.38,227,8
60,61,T65,Harris English,28.4,426,15
61,T62,T62,Luke List,28.44,256,9
62,T62,T62,Hudson Swafford,28.44,256,9
63,64,64,Cameron Smith,28.45,313,11
64,T65,T65,Stewart Cink,28.5,114,4
65,T65,T65,Julián Etulain,28.5,285,10
66,T65,9,Talor Gooch,28.5,171,6
67,T65,117,Stephan Jaeger,28.5,228,8
68,T65,T65,Kevin Kisner,28.5,342,12
69,T65,61,José de Jesús Rodríguez,28.5,228,8
70,T65,T65,Brady Schnell,28.5,114,4
71,T65,T65,Ollie Schniederjans,28.5,285,10
72,T65,T65,Vaughn Taylor,28.5,342,12
73,74,73,Rory Sabbatini,28.53,428,15
74,75,74,Matt Jones,28.54,371,13
75,T76,T41,Brian Harman,28.55,314,11
76,T76,75,Andrew Putnam,28.55,314,11
77,T76,102,Harold Varner III,28.55,314,11
78,T79,T76,Cameron Davis,28.56,257,9
79,T79,T76,Jason Day,28.56,257,9
80,T79,T76,Tyrrell Hatton,28.56,257,9
81,82,T38,Sepp Straka,28.57,200,7
82,83,101,Daniel Berger,28.6,286,10
83,T84,T80,Graeme McDowell,28.62,372,13
84,T84,79,Gary Woodland,28.62,372,13
85,T86,T80,Corey Conners,28.67,258,9
86,T86,T80,Satoshi Kodaira,28.67,258,9
87,T86,T65,Ben Silverman,28.67,258,9
88,T89,T84,Charles Howell III,28.69,373,13
89,T89,T84,C.T. Pan,28.69,373,13
90,91,T91,Cameron Tringale,28.7,287,10
91,T92,T86,Dustin Johnson,28.73,316,11
92,T92,T139,Rory McIlroy,28.73,316,11
93,T94,T88,Beau Hossler,28.75,345,12
94,T94,T88,Jhonattan Vegas,28.75,345,12
95,T96,T124,Dominic Bozzelli,28.78,259,9
96,T96,T91,Andrew Landry,28.78,259,9
97,T98,T51,Scott Langley,28.8,288,10
98,T98,T94,Jon Rahm,28.8,288,10
99,T100,96,Sam Ryder,28.82,317,11
100,T100,T86,Justin Thomas,28.82,317,11
101,T102,T97,Haotong Li,28.83,173,6
102,T102,T97,Keith Mitchell,28.83,346,12
103,T102,T94,Josh Teater,28.83,173,6
104,105,T124,Jimmy Walker,28.85,375,13
105,T106,T134,Wes Roach,28.86,202,7
106,T106,99,Adam Svensson,28.86,202,7
107,T106,T105,Nick Taylor,28.86,404,14
108,T109,T105,Mackenzie Hughes,28.88,231,8
109,T109,100,Sam Saunders,28.88,231,8
110,111,103,Brandon Harkins,28.91,318,11
111,112,104,Jordan Spieth,28.92,347,12
112,T113,T105,Emiliano Grillo,29.0,435,15
113,T113,123,Adam Hadwin,29.0,406,14
114,T113,T105,Russell Henley,29.0,232,8
115,T113,T105,Billy Horschel,29.0,464,16
116,T113,T105,Curtis Luck,29.0,203,7
117,T113,T105,Phil Mickelson,29.0,203,7
118,T113,T179,Rod Pampling,29.0,87,3
119,T113,T105,Scott Piercy,29.0,435,15
120,T113,T91,Roger Sloan,29.0,290,10
121,T113,T139,D.J. Trahan,29.0,174,6
122,T113,T105,Tiger Woods,29.0,174,6
123,124,114,Lucas Glover,29.08,378,13
124,125,115,Byeong Hun An,29.09,320,11
125,126,116,Roberto Díaz,29.13,233,8
126,127,T124,Danny Lee,29.15,379,13
127,T128,T118,Matt Every,29.17,175,6
128,T128,T118,Chase Wright,29.17,175,6
129,T130,T154,Hank Lebioda,29.2,292,10
130,T130,T120,Richy Werenski,29.2,292,10
131,T132,T124,Joel Dahmen,29.25,468,16
132,T132,T124,Jason Kokrak,29.25,468,16
133,T132,T179,Chris Thompson,29.25,117,4
134,T132,T124,Johnson Wagner,29.25,234,8
135,136,T120,Peter Uihlein,29.27,322,11
136,T137,122,Scott Brown,29.3,293,10
137,T137,T131,Paul Casey,29.3,293,10
138,T137,T131,Bill Haas,29.3,293,10
139,T137,T131,Kevin Na,29.3,293,10
140,141,T145,Joaquin Niemann,29.31,381,13
141,142,T134,Aaron Wise,29.33,264,9
142,T143,T136,Chez Reavie,29.38,382,13
143,T143,T163,J.J. Spaun,29.38,382,13
144,T143,T136,Brendan Steele,29.38,235,8
145,T143,176,Danny Willett,29.38,235,8
146,T147,144,Brooks Koepka,29.4,294,10
147,T147,T139,Grayson Murray,29.4,147,5
148,T147,T139,J.T. Poston,29.4,441,15
149,150,143,Hideki Matsuyama,29.43,412,14
150,T151,T145,Alex Cejka,29.5,118,4
151,T151,T145,Brice Garnett,29.5,295,10
152,T151,T145,David Hearn,29.5,118,4
153,T151,T145,Freddie Jacobson,29.5,118,4
154,T151,T145,Martin Kaymer,29.5,236,8
155,T151,999,Martin Piller,29.5,118,4
156,T151,T145,Adam Scott,29.5,236,8
157,T151,T145,Shawn Stefani,29.5,236,8
158,T159,T166,Dylan Frittelli,29.55,325,11
159,T159,153,Michael Thompson,29.55,325,11
160,T161,T154,Tom Hoge,29.56,266,9
161,T161,T154,"Ted Potter, Jr.",29.56,266,9
162,T161,161,Henrik Stenson,29.56,266,9
163,T161,T136,Bubba Watson,29.56,266,9
164,T165,T157,Jason Dufner,29.57,207,7
165,T165,T157,J.B. Holmes,29.57,207,7
166,T167,T159,Anders Albertson,29.6,148,5
167,T167,T163,Roberto Castro,29.6,296,10
168,T167,T159,Kramer Hickok,29.6,296,10
169,T167,177,Alex Noren,29.6,296,10
170,171,162,Abraham Ancer,29.64,415,14
171,172,T166,Ian Poulter,29.7,297,10
172,T173,T169,Branden Grace,29.73,327,11
173,T173,T169,Kevin Streelman,29.73,327,11
174,T173,T166,Kevin Tway,29.73,327,11
175,T176,T171,John Chin,29.75,119,4
176,T176,130,Robert Streb,29.75,238,8
177,T176,T171,Nick Watney,29.75,357,12
178,179,173,Nate Lashley,29.78,268,9
179,T180,T174,Kyoung-Hoon Lee,29.83,358,12
180,T180,T174,Seamus Power,29.83,179,6
181,182,178,Patrick Reed,29.91,329,11
182,T183,T191,Tyler Duncan,30.0,300,10
183,T183,T179,Ernie Els,30.0,240,8
184,T183,T179,Tony Finau,30.0,390,13
185,T183,T179,Tommy Fleetwood,30.0,270,9
186,T183,T179,Jim Herman,30.0,60,2
187,T183,T179,Russell Knox,30.0,390,13
188,T183,187,Matt Kuchar,30.0,420,14
189,T183,T163,Martin Laird,30.0,300,10
190,T183,T179,Scott Stallings,30.0,300,10
191,192,188,Cameron Champ,30.1,301,10
192,193,189,Chris Kirk,30.17,181,6
193,194,190,John Senden,30.2,151,5
194,195,T191,Matthew Fitzpatrick,30.22,272,9
195,196,T202,Sangmoon Bae,30.25,121,4
196,T197,T193,Fabián Gómez,30.29,212,7
197,T197,195,Cody Gribble,30.29,212,7
198,T197,T193,Seth Reeves,30.29,212,7
199,200,T202,Ben Crane,30.67,184,6
200,201,197,Alex Prugh,30.71,215,7
201,T202,T198,John Huh,30.75,123,4
202,T202,T198,Kyle Jones,30.75,123,4
203,T202,T198,Michael Kim,30.75,123,4
204,T205,T202,Lucas Bjerregaard,31.0,186,6
205,T205,T202,Pat Perez,31.0,310,10
206,207,201,Keegan Bradley,31.08,404,13
207,208,206,James Hahn,31.67,190,6
208,209,207,Bronson Burgoon,32.0,128,4
