,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
155,156,142,Martin Trainer,51,"68' 6""",32886,40,"3' 10""","110' 10"""
156,157,T158,Bud Cauley,61,"68' 5""",43513,53,"3' 10""","128' 4"""
157,T158,180,Roberto Castro,54,"68' 4""",32782,40,"3' 10""","128' 5"""
158,T158,163,Brendan Steele,50,"68' 4""",30352,37,"3' 10""","139' 9"""
159,160,152,Mackenzie Hughes,58,"68' 3""",36016,44,"3' 10""","153' 4"""
160,161,178,Henrik Stenson,46,"68' 2""",27816,34,"3' 10""","133' 2"""
161,162,165,Kramer Hickok,59,"68' 0""",33456,41,"3' 10""","142' 8"""
162,163,T166,Ernie Els,43,"67' 11""",21180,26,"3' 10""","121' 3"""
163,164,168,Jason Dufner,56,"67' 10""",31735,39,"3' 10""","163' 9"""
164,T165,T166,Jonathan Byrd,43,"67' 9""",22769,28,"3' 10""","112' 11"""
165,T165,162,Corey Conners,62,"67' 9""",34978,43,"3' 10""","134' 10"""
166,T165,T169,Joaquin Niemann,68,"67' 9""",42256,52,"3' 10""","125' 9"""
167,T165,T172,Danny Willett,47,"67' 9""",30880,38,"3' 10""","130' 3"""
168,169,T158,Stephan Jaeger,59,"67' 8""",33276,41,"3' 10""","109' 1"""
169,170,T172,Adam Long,52,"67' 6""",35660,44,"3' 10""","119' 2"""
170,T171,T150,Cody Gribble,52,"67' 5""",32345,40,"3' 10""","147' 8"""
171,T171,179,Seth Reeves,52,"67' 5""",29132,36,"3' 10""","110' 8"""
172,T173,175,Paul Casey,51,"67' 4""",25035,31,"3' 9""","110' 10"""
173,T173,T148,Chris Thompson,34,"67' 4""",17768,22,"3' 9""","125' 8"""
174,175,171,Zach Johnson,50,"67' 3""",33091,41,"3' 10""","156' 5"""
175,176,174,Scott Stallings,63,"67' 1""",39438,49,"3' 9""","120' 5"""
176,177,176,Tom Hoge,70,"66' 11""",38544,48,"3' 9""","128' 7"""
177,178,183,Kevin Tway,62,"66' 10""",36086,45,"3' 9""","118' 2"""
178,T179,T181,Branden Grace,62,"66' 7""",27957,35,"3' 9""","123' 11"""
179,T179,T181,Chris Kirk,47,"66' 7""",27962,35,"3' 9""","111' 5"""
180,181,T169,Jim Furyk,53,"66' 6""",32698,41,"3' 9""","108' 4"""
181,182,T189,Russell Henley,56,"66' 5""",34250,43,"3' 9""","123' 9"""
182,183,153,D.J. Trahan,33,"66' 4""",15122,19,"3' 9""","110' 2"""
183,T184,186,Sergio Garcia,39,"66' 2""",22221,28,"3' 8""","125' 10"""
184,T184,193,Jim Herman,37,"66' 2""",21447,27,"3' 9""","102' 1"""
185,T184,164,Alex Noren,49,"66' 2""",26199,33,"3' 9""","127' 0"""
186,T187,185,Tommy Fleetwood,43,"66' 1""",20617,26,"3' 9""","110' 3"""
187,T187,184,Brandon Harkins,67,"66' 1""",38878,49,"3' 9""","119' 6"""
188,189,199,Josh Teater,47,"66' 0""",24540,31,"3' 9""","120' 6"""
189,T190,177,Alex Cejka,41,"65' 11""",21353,27,"3' 9""","110' 9"""
190,T190,T187,Andrew Landry,56,"65' 11""",34014,43,"3' 9""","141' 5"""
191,192,T187,Sam Saunders,53,"65' 9""",36272,46,"3' 8""","92' 7"""
192,193,T189,Kevin Streelman,63,"65' 8""",41744,53,"3' 8""","100' 1"""
193,194,191,Brian Harman,67,"65' 4""",38409,49,"3' 8""","159' 4"""
194,195,195,Kyle Stanley,53,"65' 0""",24172,31,"3' 8""","117' 6"""
195,196,196,Louis Oosthuizen,43,"64' 11""",18702,24,"3' 8""","89' 3"""
196,197,192,J.B. Holmes,54,"64' 9""",21743,28,"3' 8""","110' 10"""
197,198,197,Grayson Murray,36,"64' 2""",20018,26,"3' 7""","98' 10"""
198,199,194,Alex Prugh,54,"64' 1""",27667,36,"3' 7""","118' 7"""
199,200,198,Robert Streb,60,"63' 7""",33561,44,"3' 7""","103' 10"""
200,201,202,Bubba Watson,47,"63' 5""",27392,36,"3' 7""","100' 0"""
201,202,206,J.J. Henry,42,"62' 11""",20398,27,"3' 6""","129' 9"""
202,T203,201,Byeong Hun An,54,"62' 10""",29402,39,"3' 6""","110' 7"""
203,T203,200,Bill Haas,58,"62' 10""",34699,46,"3' 7""","103' 5"""
204,205,203,James Hahn,34,"62' 4""",12723,17,"3' 6""","82' 0"""
205,206,999,Tyrone Van Aswegen,30,"61' 10""",14098,19,"3' 6""","108' 3"""
206,T207,204,Keegan Bradley,65,"61' 7""",33248,45,"3' 5""","112' 2"""
207,T207,205,Tyler Duncan,66,"61' 7""",33985,46,"3' 6""","101' 10"""
208,209,207,Rod Pampling,40,"58' 11""",19080,27,"3' 4""","121' 0"""
