,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,Vaughn Taylor,69,138,473,29.2
1,2,2,Sungjae Im,88,130,495,26.3
2,3,T3,Brian Gay,79,125,436,28.7
3,4,T3,Sam Burns,66,115,400,28.8
4,5,5,J.T. Poston,76,112,474,23.6
5,6,6,Joel Dahmen,78,111,392,28.3
6,7,T19,Danny Lee,66,108,405,26.7
7,T8,7,Sung Kang,67,106,381,27.8
8,T8,T15,Martin Laird,60,106,346,30.6
9,10,T15,Nick Taylor,70,105,440,23.9
10,T11,8,Beau Hossler,66,104,387,26.9
11,T11,14,Trey Mullinax,67,104,365,28.5
12,T13,18,Harris English,72,103,423,24.3
13,T13,T30,Peter Malnati,64,103,421,24.5
14,T13,T9,Kevin Streelman,63,103,363,28.4
15,T13,T9,Brian Stuard,76,103,414,24.9
16,T17,T15,Scott Piercy,70,102,353,28.9
17,T17,11,Rory Sabbatini,71,102,411,24.8
18,T19,T24,Wyndham Clark,61,101,369,27.4
19,T19,T12,Russell Knox,65,101,334,30.2
20,T19,T12,Jordan Spieth,57,101,354,28.5
21,T22,T27,Scott Brown,66,100,333,30.0
22,T22,T27,Adam Schenk,80,100,427,23.4
23,24,T32,Brandt Snedeker,68,99,379,26.1
24,T25,T19,Bud Cauley,61,98,416,23.6
25,T25,23,Denny McCarthy,63,98,352,27.8
26,T27,T19,Ryan Blaum,67,97,384,25.3
27,T27,T19,Rickie Fowler,54,97,330,29.4
28,T27,T32,Joaquin Niemann,68,97,351,27.6
29,T30,T35,Kelly Kraft,67,96,331,29.0
30,T30,T27,Scott Stallings,63,96,352,27.3
31,T32,T56,Adam Hadwin,66,95,337,28.2
32,T32,T24,Jason Kokrak,68,95,387,24.5
33,T32,T65,Matt Kuchar,65,95,342,27.8
34,T32,T24,Michael Thompson,56,95,383,24.8
35,T32,T38,Harold Varner III,62,95,350,27.1
36,37,T32,Tom Hoge,70,94,335,28.1
37,T38,T46,Jonas Blixt,66,93,375,24.8
38,T38,T59,Brian Harman,67,93,349,26.6
39,T38,T30,Ryan Moore,54,93,320,29.1
40,T38,T40,Nick Watney,67,93,340,27.4
41,T42,T42,Seamus Power,58,92,320,28.8
42,T42,T46,Roger Sloan,62,92,354,26.0
43,T44,T35,Cameron Champ,58,90,327,27.5
44,T44,T42,Brandon Harkins,67,90,366,24.6
45,T44,T35,Jhonattan Vegas,60,90,309,29.1
46,T47,T38,Ryan Armour,66,89,358,24.9
47,T47,T68,Jim Furyk,53,89,288,30.9
48,T47,T75,Webb Simpson,53,89,336,26.5
49,T50,T40,Bryson DeChambeau,45,88,289,30.4
50,T50,T59,Sam Saunders,53,88,340,25.9
51,T52,T42,Hideki Matsuyama,59,87,314,27.7
52,T52,T42,Hudson Swafford,59,87,312,27.9
53,T54,T46,Max Homa,61,86,336,25.6
54,T54,T46,Charles Howell III,64,86,304,28.3
55,T54,T46,Kevin Kisner,65,86,309,27.8
56,T54,T46,Adam Long,52,86,292,29.5
57,T54,T72,Peter Uihlein,65,86,330,26.1
58,T59,T52,Lucas Glover,62,85,376,22.6
59,T59,T52,Billy Horschel,73,85,320,26.6
60,T59,T52,Anirban Lahiri,54,85,312,27.2
61,T59,T52,Kyoung-Hoon Lee,72,85,326,26.1
62,T63,T56,Emiliano Grillo,65,84,259,32.4
63,T63,T56,Chesson Hadley,58,84,308,27.3
64,T63,T80,J.J. Spaun,68,84,315,26.7
65,T63,74,Martin Trainer,51,84,309,27.2
66,T67,T59,Abraham Ancer,69,83,355,23.4
67,T67,T59,Aaron Baddeley,51,83,308,26.9
68,T67,T59,Rafa Cabrera Bello,57,83,275,30.2
69,T67,T59,Matt Jones,67,83,324,25.6
70,T67,T80,Graeme McDowell,61,83,311,26.7
71,T67,T68,Ollie Schniederjans,63,83,345,24.1
72,T67,T65,Richy Werenski,63,83,350,23.7
73,74,T65,Keith Mitchell,64,82,286,28.7
74,T75,T85,Scott Langley,60,81,363,22.3
75,T75,T68,C.T. Pan,64,81,302,26.8
76,T75,T68,Sam Ryder,52,81,305,26.6
77,T75,T80,Shawn Stefani,57,81,257,31.5
78,T79,T89,Tyler Duncan,66,80,294,27.2
79,T79,T72,Charley Hoffman,58,80,258,31.0
80,T79,T85,Zach Johnson,50,80,311,25.7
81,T82,T94,Stephan Jaeger,59,79,296,26.7
82,T82,T75,Carlos Ortiz,60,79,314,25.2
83,T82,84,Jimmy Walker,61,79,332,23.8
84,T85,T91,Keegan Bradley,65,78,286,27.3
85,T85,T75,Andrew Landry,56,78,298,26.2
86,T85,T114,Ryan Palmer,56,78,282,27.7
87,T85,T75,Gary Woodland,63,78,293,26.6
88,T89,T100,Daniel Berger,48,77,293,26.3
89,T89,79,Si Woo Kim,65,77,322,23.9
90,T89,T94,Ben Silverman,54,77,296,26.0
91,T92,T85,Bill Haas,58,76,309,24.6
92,T92,T80,"Ted Potter, Jr.",56,76,299,25.4
93,T94,T94,Dominic Bozzelli,53,75,255,29.4
94,T94,T105,Sebastián Muñoz,58,75,277,27.1
95,T96,T91,Cameron Davis,54,74,267,27.7
96,T96,T94,Brice Garnett,63,74,252,29.4
97,T96,T105,Robert Streb,60,74,292,25.3
98,T99,T114,Roberto Castro,54,73,283,25.8
99,T99,T114,Mackenzie Hughes,58,73,316,23.1
100,T99,T85,Patrick Reed,53,73,272,26.8
101,T99,T91,Adam Svensson,51,73,252,29.0
102,T103,T89,Byeong Hun An,54,72,281,25.6
103,T103,T114,Dylan Frittelli,55,72,299,24.1
104,T105,T119,Cody Gribble,52,71,277,25.6
105,T105,T111,Russell Henley,56,71,293,24.2
106,T105,T128,Kevin Tway,62,71,309,23.0
107,T108,T94,Patrick Cantlay,49,70,253,27.7
108,T108,T111,Corey Conners,62,70,276,25.4
109,T108,T119,Nate Lashley,44,70,220,31.8
110,T108,T94,Patrick Rodgers,44,70,268,26.1
111,T108,T105,José de Jesús Rodríguez,51,70,286,24.5
112,T108,T100,Chase Wright,53,70,276,25.4
113,T114,T105,Austin Cook,50,69,256,27.0
114,T114,T100,Tony Finau,61,69,286,24.1
115,T114,T100,Satoshi Kodaira,51,69,238,29.0
116,T114,T100,Justin Rose,42,69,225,30.7
117,T114,T123,Henrik Stenson,46,69,226,30.5
118,T114,T123,Chris Stroud,54,69,291,23.7
119,T120,T105,Kiradech Aphibarnrat,49,68,249,27.3
120,T120,T119,Kramer Hickok,59,68,260,26.2
121,T120,T105,Xander Schauffele,55,68,246,27.6
122,T120,T138,Bubba Watson,47,68,249,27.3
123,124,T111,Michael Kim,51,67,234,28.6
124,T125,T152,Jonathan Byrd,43,66,208,31.7
125,T125,T114,Kevin Na,54,66,236,28.0
126,T127,T130,Julián Etulain,55,65,279,23.3
127,T127,T130,Whee Kim,57,65,218,29.8
128,T127,T119,Luke List,52,65,296,22.0
129,T130,T123,Patton Kizzire,58,64,274,23.4
130,T130,T148,Hank Lebioda,55,64,262,24.4
131,T130,T123,Hunter Mahan,45,64,230,27.8
132,T130,T123,Andrew Putnam,57,64,284,22.5
133,T134,T128,Martin Kaymer,38,63,251,25.1
134,T134,T142,Rory McIlroy,50,63,258,24.4
135,T134,T138,Aaron Wise,52,63,241,26.1
136,T137,T136,Roberto Díaz,51,62,239,25.9
137,T137,T130,Branden Grace,62,62,251,24.7
138,T137,T130,Marc Leishman,52,62,253,24.5
139,T137,T152,Sepp Straka,48,62,221,28.1
140,T141,T134,Chris Kirk,47,61,233,26.2
