,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
0,1,1,Curtis Luck,51,26.0,100,26
1,2,3,Vaughn Taylor,69,24.31,181,44
2,3,2,Johnson Wagner,45,24.11,112,27
3,4,999,Shane Lowry,30,24.05,79,19
4,5,4,Stewart Cink,33,23.94,71,17
5,6,5,Sung Kang,67,23.78,185,44
6,7,8,Aaron Baddeley,51,22.88,118,27
7,8,10,Justin Rose,42,22.47,89,20
8,9,9,Denny McCarthy,63,22.22,162,36
9,10,999,Martin Piller,30,21.82,55,12
10,11,11,J.T. Poston,76,21.76,216,47
11,12,6,Austin Cook,50,21.74,115,25
12,13,12,Adam Schenk,80,21.47,191,41
13,14,14,Lucas Glover,62,21.35,178,38
14,T15,T16,Bryson DeChambeau,45,21.14,123,26
15,T15,T16,Anirban Lahiri,54,21.14,123,26
16,17,7,Lucas Bjerregaard,37,20.99,81,17
17,18,18,Andrew Putnam,57,20.97,124,26
18,19,20,Adam Scott,41,20.29,69,14
19,20,13,Peter Uihlein,65,20.27,148,30
20,21,21,Max Homa,61,20.26,153,31
21,22,33,Brooks Koepka,49,20.2,99,20
22,T23,19,Ben Crane,41,20.0,100,20
23,T23,T22,Beau Hossler,66,20.0,175,35
24,T23,T22,Matt Wallace,31,20.0,70,14
25,26,26,Patrick Rodgers,44,19.86,146,29
26,27,27,Patton Kizzire,58,19.85,131,26
27,T28,T28,Hunter Mahan,45,19.83,116,23
28,T28,T28,Kevin Na,54,19.83,116,23
29,T30,66,Roberto Castro,54,19.69,127,25
30,T30,15,Sepp Straka,48,19.69,127,25
31,32,51,Jonas Blixt,66,19.67,183,36
32,33,31,Billy Horschel,73,19.38,160,31
33,34,30,Ollie Schniederjans,63,19.25,161,31
34,35,35,Luke List,52,19.18,146,28
35,T36,T36,Ryan Moore,54,19.15,141,27
36,T36,T36,Charl Schwartzel,34,19.15,47,9
37,38,38,Tiger Woods,31,19.12,68,13
38,39,42,Sungjae Im,88,19.09,220,42
39,40,T39,Charley Hoffman,58,19.05,126,24
40,41,41,James Hahn,34,18.97,58,11
41,42,T43,Michael Thompson,56,18.9,164,31
