,Putts_per_Round_-_Round_2_RANK THIS WEEK,Putts_per_Round_-_Round_2_RANK LAST WEEK,Putts_per_Round_-_Round_2_PLAYER NAME,Putts_per_Round_-_Round_2_AVG,Putts_per_Round_-_Round_2_TOTAL PUTTS,Putts_per_Round_-_Round_2_TOTAL ROUNDS
0,1,1,Jordan Spieth,26.53,398,15
1,2,T2,Peter Malnati,26.89,484,18
2,3,T2,Justin Rose,27.0,270,10
3,4,T4,Michael Thompson,27.12,461,17
4,5,T4,Wyndham Clark,27.17,489,18
5,6,6,Jason Day,27.64,304,11
6,7,7,Sam Ryder,27.67,415,15
7,8,8,Vaughn Taylor,27.7,554,20
8,9,T14,José de Jesús Rodríguez,27.71,471,17
9,10,T10,Si Woo Kim,27.83,501,18
10,11,12,Justin Harding,27.86,195,7
11,12,T25,Curtis Luck,27.88,446,16
12,13,T16,Brian Harman,27.9,586,21
13,14,T19,Matt Every,27.91,307,11
14,15,13,Freddie Jacobson,27.92,363,13
15,16,T25,Anders Albertson,28.0,476,17
16,T17,9,Martin Laird,28.06,477,17
17,T17,24,Martin Trainer,28.06,505,18
18,T19,T16,Alex Cejka,28.07,393,14
19,T19,18,Tony Finau,28.07,421,15
20,T21,T19,Matthew Fitzpatrick,28.1,281,10
21,T21,T29,Roger Sloan,28.1,562,20
22,T23,T21,Abraham Ancer,28.11,506,18
23,T23,T21,Sam Burns,28.11,534,19
24,T23,T10,Richy Werenski,28.11,534,19
25,26,T29,Brian Gay,28.15,563,20
26,T27,T14,Denny McCarthy,28.16,535,19
27,T27,T21,Nick Taylor,28.16,535,19
28,29,28,Louis Oosthuizen,28.2,282,10
29,T30,T29,Rickie Fowler,28.21,395,14
30,T30,T29,Pat Perez,28.21,395,14
31,T30,T29,Cameron Smith,28.21,395,14
32,33,34,Francesco Molinari,28.22,254,9
33,34,35,Patrick Reed,28.23,367,13
34,35,T53,Cody Gribble,28.24,480,17
35,T36,T37,Ryan Blaum,28.25,565,20
36,T36,T41,Dominic Bozzelli,28.25,452,16
37,T36,T37,Beau Hossler,28.25,565,20
38,39,T74,Matt Kuchar,28.27,424,15
39,40,36,Kyle Jones,28.28,509,18
40,T41,40,Daniel Berger,28.29,396,14
41,T41,47,Adam Hadwin,28.29,481,17
42,43,T41,Scott Langley,28.32,538,19
