,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
0,1,2,Dustin Johnson,47,7.3
1,2,1,Jordan Spieth,57,7.2
2,T3,T3,Graeme McDowell,61,7.0
3,T3,T3,Justin Rose,42,7.0
4,5,6,Rickie Fowler,54,6.8
5,6,7,Matt Wallace,31,6.7
6,T7,8,Jason Day,45,6.6
7,T7,T3,Justin Thomas,49,6.6
8,T9,T9,Jason Kokrak,68,6.5
9,T9,T9,Ian Poulter,49,6.5
10,T11,T12,Billy Horschel,73,6.4
11,T11,T12,Sam Ryder,52,6.4
12,T13,T14,Lucas Glover,62,6.3
13,T13,T14,Justin Harding,31,6.3
14,T13,T14,Andrew Putnam,57,6.3
15,T13,T14,Tiger Woods,31,6.3
16,T17,18,Adam Scott,41,6.1
17,T17,T9,Johnson Wagner,45,6.1
18,T19,T19,Bryson DeChambeau,45,6.0
19,T19,T37,Brandt Snedeker,68,6.0
20,T19,T19,Vaughn Taylor,69,6.0
21,T22,T21,Matt Kuchar,65,5.9
22,T22,T21,Francesco Molinari,41,5.9
23,T22,T21,Rory Sabbatini,71,5.9
24,T25,T24,Kevin Kisner,65,5.8
25,T25,T24,Kevin Na,54,5.8
26,T25,T24,Xander Schauffele,55,5.8
27,T28,T30,Sung Kang,67,5.7
28,T28,T34,Danny Lee,66,5.7
29,T28,T60,Rory McIlroy,50,5.7
30,T28,T30,Patrick Rodgers,44,5.7
31,T28,T30,Adam Schenk,80,5.7
32,T28,T37,Nick Taylor,70,5.7
33,T34,T24,Brian Gay,79,5.6
34,T34,T45,Webb Simpson,53,5.6
35,T36,T37,Abraham Ancer,69,5.5
36,T36,T37,Kiradech Aphibarnrat,49,5.5
37,T36,T37,Beau Hossler,66,5.5
38,T36,T45,Brooks Koepka,49,5.5
39,T36,T30,Curtis Luck,51,5.5
40,T36,T37,J.T. Poston,76,5.5
41,T36,T51,Ben Silverman,54,5.5
42,T36,T37,Gary Woodland,63,5.5
43,T44,T45,Aaron Baddeley,51,5.4
44,T44,T45,Matthew Fitzpatrick,42,5.4
45,T44,T45,Patton Kizzire,58,5.4
46,T44,T24,Nate Lashley,44,5.4
47,T44,T34,Denny McCarthy,63,5.4
48,T49,T51,Patrick Cantlay,49,5.3
49,T49,T51,Joel Dahmen,78,5.3
50,T49,T51,Tony Finau,61,5.3
51,T49,T51,Tommy Fleetwood,43,5.3
52,T49,T60,Sungjae Im,88,5.3
53,T49,T51,Hideki Matsuyama,59,5.3
54,T49,T51,Ryan Moore,54,5.3
55,T49,T34,Scott Piercy,70,5.3
56,T49,T51,Michael Thompson,56,5.3
57,T49,T37,Richy Werenski,63,5.3
58,T59,T69,Jonas Blixt,66,5.2
59,T59,T75,Martin Laird,60,5.2
60,T59,T91,Hank Lebioda,55,5.2
61,T59,T45,Peter Malnati,64,5.2
62,T59,T91,Henrik Stenson,46,5.2
63,T59,T51,Sepp Straka,48,5.2
64,T59,T60,Brian Stuard,76,5.2
65,T59,T75,Cameron Tringale,52,5.2
66,T67,T24,Lucas Bjerregaard,37,5.1
67,T67,T63,Max Homa,61,5.1
68,T67,T63,Luke List,52,5.1
69,T67,T63,Troy Merritt,42,5.1
70,T67,T63,Chez Reavie,67,5.1
71,T72,T69,Ryan Blaum,67,5.0
72,T72,T69,Haotong Li,32,5.0
73,T72,T63,Ryan Palmer,56,5.0
74,T72,T69,Patrick Reed,53,5.0
75,T72,T69,Cameron Smith,55,5.0
76,T72,T75,Peter Uihlein,65,5.0
77,T78,T63,Ryan Armour,66,4.9
78,T78,T75,Rafa Cabrera Bello,57,4.9
79,T78,T75,Cameron Champ,58,4.9
80,T78,T75,Stewart Cink,33,4.9
81,T78,T69,Harris English,72,4.9
82,T78,T75,Adam Hadwin,66,4.9
83,T78,T75,Charles Howell III,64,4.9
84,T78,T75,Matt Jones,67,4.9
85,T78,T75,Marc Leishman,52,4.9
86,T78,T75,Pat Perez,52,4.9
87,T78,T75,"Ted Potter, Jr.",56,4.9
88,T78,T75,Jon Rahm,51,4.9
89,T78,T75,Jhonattan Vegas,60,4.9
90,T91,T91,Dylan Frittelli,55,4.8
91,T91,T91,Tyrrell Hatton,46,4.8
92,T91,T104,Zach Johnson,50,4.8
93,T91,T91,Hudson Swafford,59,4.8
94,T91,T91,Chase Wright,53,4.8
95,T96,T98,Sam Burns,66,4.7
96,T96,T98,Paul Casey,51,4.7
97,T96,T75,Wyndham Clark,61,4.7
98,T96,T98,Roberto Díaz,51,4.7
99,T96,T75,Matt Every,38,4.7
100,T96,T98,Emiliano Grillo,65,4.7
101,T96,T98,Chesson Hadley,58,4.7
102,T96,999,Shane Lowry,30,4.7
103,T96,T91,Joaquin Niemann,68,4.7
104,T96,T104,Alex Noren,49,4.7
105,T96,T98,Louis Oosthuizen,43,4.7
106,T107,T115,Dominic Bozzelli,53,4.6
107,T107,T104,Martin Kaymer,38,4.6
108,T107,T104,Keith Mitchell,64,4.6
109,T107,999,Martin Piller,30,4.6
110,T107,T115,Bubba Watson,47,4.6
111,T112,T115,Ben Crane,41,4.5
112,T112,T109,Charley Hoffman,58,4.5
113,T114,T115,Austin Cook,50,4.4
114,T114,T104,Julián Etulain,55,4.4
115,T114,T109,Talor Gooch,37,4.4
116,T114,T115,Si Woo Kim,65,4.4
117,T114,T115,Russell Knox,65,4.4
118,T114,T115,Anirban Lahiri,54,4.4
119,T114,T115,Kyoung-Hoon Lee,72,4.4
120,T114,T147,Sebastián Muñoz,58,4.4
121,T114,T124,J.J. Spaun,68,4.4
122,T123,T132,Daniel Berger,48,4.3
123,T123,T115,Corey Conners,62,4.3
124,T123,T109,Fabián Gómez,44,4.3
125,T123,T124,Jim Knous,55,4.3
126,T123,T124,Satoshi Kodaira,51,4.3
127,T123,T109,Carlos Ortiz,60,4.3
128,T123,T109,Chris Stroud,54,4.3
129,T123,T132,Kevin Tway,62,4.3
130,T131,T139,Keegan Bradley,65,4.2
131,T131,T124,Scott Langley,60,4.2
132,T131,T132,Hunter Mahan,45,4.2
133,T131,T132,Phil Mickelson,41,4.2
134,T131,T160,Wes Roach,45,4.2
135,T131,T132,Jimmy Walker,61,4.2
136,T131,T152,Danny Willett,47,4.2
137,T131,T124,Aaron Wise,52,4.2
138,T139,T139,Byeong Hun An,54,4.1
139,T139,T157,Scott Brown,66,4.1
140,T139,T139,Bud Cauley,61,4.1
141,T139,T124,Cameron Davis,54,4.1
142,T139,T124,Jim Furyk,53,4.1
143,T139,T139,Sergio Garcia,39,4.1
144,T139,T139,Branden Grace,62,4.1
145,T139,T124,Trey Mullinax,67,4.1
146,T139,T139,C.T. Pan,64,4.1
147,T139,T139,Ollie Schniederjans,63,4.1
148,T139,T132,D.J. Trahan,33,4.1
149,T139,T132,Nick Watney,67,4.1
150,T151,T168,Roberto Castro,54,4.0
151,T151,T147,Freddie Jacobson,37,4.0
152,T151,T152,Roger Sloan,62,4.0
153,T151,T147,Brendan Steele,50,4.0
154,T155,T152,Andrew Landry,56,3.9
155,T155,183,José de Jesús Rodríguez,51,3.9
156,T155,T152,John Senden,39,3.9
157,T155,T147,Scott Stallings,63,3.9
158,T155,T139,Shawn Stefani,57,3.9
159,T155,T147,Harold Varner III,62,3.9
160,T161,T160,Brice Garnett,63,3.8
161,T161,T152,Bill Haas,58,3.8
162,T161,T157,Brandon Harkins,67,3.8
163,T161,T160,Russell Henley,56,3.8
164,T161,T160,Kelly Kraft,67,3.8
165,T166,T157,Jonathan Byrd,43,3.7
166,T166,T160,Jason Dufner,56,3.7
167,T166,T160,Mackenzie Hughes,58,3.7
168,T166,T160,Kevin Streelman,63,3.7
169,T170,T187,Sangmoon Bae,42,3.6
170,T170,T168,Kramer Hickok,59,3.6
171,T170,T160,Adam Svensson,51,3.6
172,T173,T168,Anders Albertson,48,3.5
173,T173,T171,Bronson Burgoon,37,3.5
174,T173,T171,Joey Garber,44,3.5
175,T173,T171,Cody Gribble,52,3.5
