,Putting_from_7_RANK THIS WEEK,Putting_from_7_RANK LAST WEEK,Putting_from_7_PLAYER NAME,Putting_from_7_ROUNDS,Putting_from_7_% MADE,Putting_from_7_ATTEMPTS,Putting_from_7_PUTTS MADE
0,1,1,Rafa Cabrera Bello,57,79.17,24,19
1,2,2,Patrick Rodgers,44,78.26,23,18
2,3,3,Jason Day,45,77.78,18,14
3,4,T10,Joey Garber,44,77.27,22,17
4,T5,T4,Billy Horschel,73,76.32,38,29
5,T5,T4,Seamus Power,58,76.32,38,29
6,T7,T6,Anders Albertson,48,75.0,28,21
7,T7,T6,Xander Schauffele,55,75.0,24,18
8,9,T13,Bubba Watson,47,74.29,35,26
9,10,9,Peter Malnati,64,73.58,53,39
10,11,T10,Kevin Streelman,63,73.33,45,33
11,12,12,Jhonattan Vegas,60,72.5,40,29
12,13,999,Martin Piller,30,71.43,14,10
13,14,T6,Sangmoon Bae,42,70.83,24,17
14,T15,T13,Graeme McDowell,61,70.27,37,26
15,T15,34,Ben Silverman,54,70.27,37,26
16,T17,19,Harris English,72,70.0,40,28
17,T17,999,D.J. Trahan,33,70.0,10,7
18,19,T28,Cameron Davis,54,69.77,43,30
19,20,T17,Louis Oosthuizen,43,69.57,23,16
20,T21,T25,Dustin Johnson,47,69.44,36,25
21,T21,T39,Kyle Jones,49,69.44,36,25
22,T23,T20,Tommy Fleetwood,43,69.23,26,18
23,T23,T20,Ian Poulter,49,69.23,26,18
24,T25,T63,Curtis Luck,51,68.75,32,22
25,T25,T39,Brady Schnell,38,68.75,16,11
26,27,32,Kelly Kraft,67,68.63,51,35
27,28,T25,Patrick Reed,53,68.57,35,24
28,29,27,Ernie Els,43,68.42,19,13
29,T30,T20,Shawn Stefani,57,68.29,41,28
30,T30,T28,Hudson Swafford,59,68.29,41,28
31,T30,T28,Michael Thompson,56,68.29,41,28
32,T33,T36,Brian Harman,67,68.18,44,30
33,T33,31,Martin Kaymer,38,68.18,22,15
34,35,T17,J.B. Holmes,54,68.0,25,17
35,36,33,Chris Kirk,47,67.86,28,19
36,37,15,José de Jesús Rodríguez,51,67.65,34,23
37,T38,T36,Scott Piercy,70,67.5,40,27
38,T38,35,Harold Varner III,62,67.5,40,27
39,T40,T39,Aaron Baddeley,51,66.67,24,16
40,T40,T54,Lucas Bjerregaard,37,66.67,21,14
41,T40,23,Ben Crane,41,66.67,33,22
42,T40,61,Cody Gribble,52,66.67,33,22
43,T40,T39,Grayson Murray,36,66.67,18,12
44,T40,T39,Pat Perez,52,66.67,18,12
45,T40,T39,D.A. Points,33,66.67,15,10
46,T40,T39,John Senden,39,66.67,15,10
47,48,46,Vaughn Taylor,69,65.96,47,31
48,49,T66,Sam Saunders,53,65.85,41,27
49,T50,T48,Kevin Kisner,65,65.79,38,25
50,T50,51,Brandt Snedeker,68,65.79,38,25
51,52,T91,Dominic Bozzelli,53,65.63,32,21
52,53,T52,Nick Taylor,70,65.45,55,36
53,T54,T71,Jonathan Byrd,43,65.38,26,17
54,T54,T52,Keith Mitchell,64,65.38,52,34
55,T56,16,Scott Brown,66,65.0,40,26
56,T56,T48,Dylan Frittelli,55,65.0,40,26
57,T56,T54,Russell Knox,65,65.0,40,26
58,T56,T54,Anirban Lahiri,54,65.0,40,26
59,T56,T48,Nick Watney,67,65.0,40,26
60,T61,T59,Chesson Hadley,58,64.71,34,22
61,T61,38,Adam Schenk,80,64.71,51,33
62,T61,T59,Cameron Smith,55,64.71,17,11
63,64,62,Jason Kokrak,68,64.44,45,29
64,65,T63,Bryson DeChambeau,45,64.29,28,18
65,T66,T66,Sam Burns,66,64.1,39,25
66,T66,58,Corey Conners,62,64.1,39,25
67,T66,T66,Luke List,52,64.1,39,25
68,69,69,Kiradech Aphibarnrat,49,64.0,25,16
69,T70,T54,Whee Kim,57,63.64,22,14
70,T70,T91,Scott Langley,60,63.64,33,21
71,T70,74,Danny Lee,66,63.64,44,28
72,T70,T71,C.T. Pan,64,63.64,33,21
73,T70,T71,Matt Wallace,31,63.64,11,7
74,75,24,Sebastián Muñoz,58,63.16,38,24
75,76,88,Trey Mullinax,67,63.04,46,29
76,77,70,Martin Laird,60,62.96,54,34
77,78,T84,Roberto Castro,54,62.86,35,22
78,79,86,Ollie Schniederjans,63,62.79,43,27
79,80,76,Lucas Glover,62,62.75,51,32
80,81,77,Sung Kang,67,62.71,59,37
81,T82,T78,Wyndham Clark,61,62.5,40,25
82,T82,T78,J.J. Henry,42,62.5,16,10
83,T82,T78,Matt Jones,67,62.5,32,20
84,T82,T78,Charl Schwartzel,34,62.5,16,10
