,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,,Justin Thomas,86,-.220
1,2,,Fabián Gómez,61,-.200
2,T3,,Aaron Baddeley,61,-.182
3,T3,,Johnson Wagner,71,-.182
4,5,,Rick Lamb,54,-.158
5,6,,Vaughn Taylor,90,-.125
6,7,,Troy Merritt,82,-.120
7,8,,Billy Hurley III,80,-.114
8,9,,Jim Herman,77,-.095
9,10,,Cameron Smith,86,-.086
10,11,,Camilo Villegas,76,-.080
11,12,,Martin Flores,88,-.075
12,13,,Scott Brown,95,-.069
13,T14,,Tony Finau,106,-.067
14,T14,,Emiliano Grillo,90,-.067
15,T14,,Adam Scott,58,-.067
16,17,,John Huh,92,-.050
17,18,,Ricky Barnes,100,-.045
18,19,,Justin Rose,66,-.042
19,20,,Jason Bohn,75,-.036
20,21,,Gonzalo Fernandez-Castaño,63,-.032
21,22,,Greg Chalmers,75,-.022
22,T23,,Zac Blair,105,E
23,T23,,Ryan Brehm,83,E
24,T23,,Paul Casey,94,E
25,T23,,Cody Gribble,79,E
26,T23,,Russell Knox,75,E
27,T23,,Kevin Na,86,E
28,T23,,Ryan Palmer,61,E
29,T23,,Rod Pampling,71,E
30,T23,,Sam Saunders,76,E
31,T23,,Brendan Steele,89,E
32,33,,Brandon Hagy,85,+.018
33,34,,Morgan Hoffmann,92,+.021
34,35,,Jon Rahm,90,+.022
35,36,,Charley Hoffman,112,+.024
36,37,,Jamie Lovemark,98,+.029
37,38,,Scott Piercy,70,+.030
38,T39,,C.T. Pan,88,+.032
39,T39,,J.T. Poston,95,+.032
40,T39,,Xander Schauffele,96,+.032
41,42,,Whee Kim,74,+.033
42,43,,J.J. Spaun,92,+.038
43,44,,Chad Campbell,97,+.043
44,45,,Pat Perez,93,+.044
45,46,,Rory Sabbatini,71,+.045
46,47,,J.B. Holmes,83,+.047
47,48,,Tag Ridings,67,+.048
48,49,,Robert Streb,98,+.051
49,50,,Nick Taylor,97,+.054
50,51,,Jordan Spieth,85,+.057
51,52,,Luke List,102,+.059
52,53,,Patrick Reed,107,+.061
53,54,,James Hahn,96,+.063
54,T55,,Matt Kuchar,95,+.067
55,T55,,Nick Watney,75,+.067
56,57,,Peter Malnati,91,+.070
57,T58,,Martin Laird,83,+.071
58,T58,,Hunter Mahan,73,+.071
59,T58,,Chris Stroud,67,+.071
60,61,,Spencer Levin,89,+.077
61,62,,Jonas Blixt,74,+.080
62,63,,Trey Mullinax,88,+.087
63,T64,,Dustin Johnson,77,+.100
64,T64,,Anirban Lahiri,72,+.100
65,T64,,Scott Stallings,81,+.100
66,T67,,Luke Donald,50,+.105
67,T67,,Si Woo Kim,80,+.105
68,T69,,Patrick Cantlay,52,+.111
69,T69,,Michael Kim,94,+.111
70,71,,Phil Mickelson,85,+.115
71,T72,,Nicholas Lindheim,58,+.118
72,T72,,Louis Oosthuizen,69,+.118
73,T72,,Brandt Snedeker,53,+.118
74,T75,,Charles Howell III,86,+.125
75,T75,,Søren Kjeldsen,58,+.125
76,77,,Andres Gonzales,73,+.130
77,78,,Sung Kang,104,+.135
78,T79,,Matt Jones,64,+.138
79,T79,,Bubba Watson,71,+.138
80,81,,Brooks Koepka,88,+.143
81,T82,,Ryan Blaum,100,+.146
82,T82,,Seung-Yul Noh,91,+.146
83,84,,Harris English,84,+.148
84,85,,Shawn Stefani,72,+.150
85,86,,Gary Woodland,94,+.154
86,T87,,Roberto Castro,70,+.158
87,T87,,Brad Fritsch,56,+.158
88,T87,,Robert Garrigus,78,+.158
89,T87,,Retief Goosen,52,+.158
90,T91,,Mackenzie Hughes,106,+.160
91,T91,,Jason Kokrak,95,+.160
92,93,,Kevin Tway,96,+.161
93,T94,,Bud Cauley,92,+.167
94,T94,,Bill Haas,92,+.167
95,T94,,Cameron Percy,71,+.167
96,T94,,Seamus Power,86,+.167
97,T94,,Webb Simpson,102,+.167
98,T94,,Boo Weekley,75,+.167
99,100,,Chez Reavie,98,+.174
100,T101,,Miguel Angel Carballo,63,+.176
101,T101,,Graham DeLaet,82,+.176
102,T101,,Bryce Molder,74,+.176
103,T101,,Ollie Schniederjans,92,+.176
104,T101,,Michael Thompson,60,+.176
105,T106,,Chad Collins,66,+.179
106,T106,,Brian Gay,82,+.179
107,108,,Daniel Summerhays,100,+.184
108,109,,Ryo Ishikawa,56,+.185
109,T110,,D.A. Points,68,+.188
110,T110,,Tim Wilkinson,64,+.188
111,112,,Kevin Kisner,105,+.190
112,113,,Jhonattan Vegas,95,+.191
113,T114,,Daniel Berger,91,+.200
114,T114,,Patton Kizzire,84,+.200
115,T114,,Francesco Molinari,75,+.200
116,T114,,Ryan Moore,82,+.200
117,T114,,Geoff Ogilvy,80,+.200
118,T114,,Tyrone Van Aswegen,105,+.200
119,T114,,Richy Werenski,81,+.200
120,121,,Stewart Cink,93,+.209
121,T122,,Lucas Glover,93,+.214
122,T122,,Steve Wheatcroft,51,+.214
123,124,,Brian Stuard,93,+.217
124,T125,,K.J. Choi,72,+.222
125,T125,,David Hearn,93,+.222
126,127,,Hideki Matsuyama,83,+.226
127,128,,Zach Johnson,81,+.227
128,T129,,Tom Hoge,54,+.231
129,T129,,Sebastián Muñoz,51,+.231
130,T129,,Brett Stegmaier,78,+.231
131,T129,,Kevin Streelman,90,+.231
132,T133,,Dominic Bozzelli,69,+.233
133,T133,,Marc Leishman,94,+.233
134,135,,Rory McIlroy,51,+.238
135,136,,Kyle Reifers,96,+.240
136,T137,,Ben Crane,86,+.250
137,T137,,Julián Etulain,68,+.250
138,T137,,Jim Furyk,54,+.250
139,T137,,Sergio Garcia,65,+.250
140,T137,,Brian Harman,104,+.250
141,T137,,Billy Horschel,88,+.250
142,143,,Blayne Barber,77,+.258
143,144,,Hudson Swafford,94,+.259
144,145,,Rafa Cabrera Bello,63,+.261
145,146,,Patrick Rodgers,76,+.262
146,147,,Graeme McDowell,56,+.267
147,148,,Branden Grace,70,+.269
148,T149,,Bryson DeChambeau,91,+.273
149,T149,,David Lingmerth,79,+.273
150,151,,Ben Martin,86,+.278
151,T152,,Steven Bowditch,59,+.281
152,T152,,Kevin Chappell,95,+.281
153,154,,Smylie Kaufman,76,+.282
154,T155,,Jason Dufner,89,+.286
155,T155,,Matt Every,76,+.286
156,T155,,Mark Hubbard,81,+.286
157,T155,,Harold Varner III,101,+.286
158,T159,,Mark Anderson,54,+.300
159,T159,,Charl Schwartzel,63,+.300
160,161,,Cameron Tringale,89,+.316
161,162,,Adam Hadwin,98,+.320
162,163,,Grayson Murray,94,+.322
163,T164,,Alex Cejka,85,+.333
164,T164,,Kyle Stanley,104,+.333
165,T166,,Byeong Hun An,77,+.348
166,T166,,Ken Duke,77,+.348
167,168,,Kelly Kraft,75,+.353
168,169,,Sean O'Hair,84,+.355
169,170,,Carl Pettersson,63,+.360
170,171,,Brian Campbell,55,+.364
171,172,,Brett Drewitt,57,+.370
172,173,,Jimmy Walker,68,+.375
173,T174,,Steven Alker,69,+.400
174,T174,,Danny Lee,93,+.400
175,176,,Russell Henley,99,+.407
176,177,,Derek Fathauer,81,+.413
177,T178,,Ryan Armour,63,+.429
178,T178,,J.J. Henry,92,+.429
179,T178,,Shane Lowry,52,+.429
180,181,,Ernie Els,52,+.438
181,T182,,Chris Kirk,89,+.444
182,T182,,Jonathan Randolph,68,+.444
183,184,,Ian Poulter,72,+.450
184,185,,Andrew Loupe,55,+.458
185,186,,Jason Day,71,+.500
186,187,,Rickie Fowler,78,+.545
187,188,,William McGirt,89,+.563
188,189,,Keegan Bradley,104,+.565
189,190,,Wesley Bryan,95,+.579
