,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
139,T139,T136,Martin Laird,10,6.4
140,T139,T136,J.T. Poston,14,6.4
141,T139,T136,Hudson Swafford,8,6.4
142,T143,T139,Julián Etulain,8,6.3
143,T143,T139,Lucas Glover,13,6.3
144,T143,T130,Stephan Jaeger,6,6.3
145,T146,T144,Jake McLeod,1,6.2
146,T146,T144,Troy Merritt,7,6.2
147,T146,,Collin Morikawa,1,6.2
148,T149,T146,Doug Ghim,3,6.1
149,T149,T146,Emiliano Grillo,10,6.1
150,T149,T146,Kyoung-Hoon Lee,8,6.1
151,T149,T146,Kevin Streelman,11,6.1
152,T153,T150,Dawson Armstrong,1,6.0
153,T153,T150,Joel Dahmen,12,6.0
154,T153,T150,Jason Dufner,4,6.0
155,T153,T159,Hank Lebioda,9,6.0
156,T153,T150,Francesco Molinari,6,6.0
157,T153,T150,Scott Piercy,12,6.0
158,T159,T155,Kiradech Aphibarnrat,6,5.9
159,T159,T155,Kramer Hickok,7,5.9
160,T159,T155,Billy Horschel,11,5.9
161,T159,T155,Ryan Vermeer,1,5.9
162,T163,T159,Rafa Cabrera Bello,9,5.8
163,T163,T159,Bud Cauley,10,5.8
164,T163,T159,Derek Ernst,1,5.8
165,T163,T159,Justin Harding,2,5.8
166,T163,T159,Martin Kaymer,7,5.8
167,T163,T159,Thorbjørn Olesen,3,5.8
168,T163,T159,Ian Poulter,7,5.8
169,T163,T159,Sam Ryder,9,5.8
170,T163,T159,Cameron Smith,7,5.8
171,T163,T172,Chris Thompson,3,5.8
172,T163,T159,Cameron Tringale,8,5.8
173,T174,171,Jim Herman,1,5.7
174,T174,T159,Wes Roach,5,5.7
175,T176,T172,Abraham Ancer,11,5.6
176,T176,T172,Bronson Burgoon,3,5.6
177,T176,T172,Patton Kizzire,6,5.6
178,T176,T172,J.J. Spaun,10,5.6
179,T176,T172,Shawn Stefani,6,5.6
180,T176,T181,Nick Taylor,14,5.6
181,T182,T181,Brian Harman,8,5.5
182,T182,T178,Denny McCarthy,8,5.5
183,T182,T178,Charl Schwartzel,1,5.5
184,T185,T181,Jason Gore,1,5.4
185,T185,T181,Bill Haas,9,5.4
186,T185,T181,Anirban Lahiri,6,5.4
187,T185,T181,Richy Werenski,9,5.4
188,T189,T188,Zack Fischer,1,5.3
189,T189,T206,Joey Garber,3,5.3
190,T189,T188,Padraig Harrington,1,5.3
191,T189,,Jake Knapp,1,5.3
192,T189,T181,Matt Kuchar,12,5.3
193,T189,T188,Curtis Luck,5,5.3
194,T189,T188,Rory Sabbatini,13,5.3
195,T196,T194,Jonas Blixt,11,5.2
196,T196,T192,Ernie Els,5,5.2
197,T196,T192,J.J. Henry,3,5.2
198,T199,T194,Austin Cook,4,5.1
199,T199,T194,Russell Knox,12,5.1
200,T199,T194,Davis Love III,4,5.1
201,T199,T194,Joost Luiten,4,5.1
202,T199,T194,Chris Stroud,6,5.1
203,T199,T194,Tyrone Van Aswegen,2,5.1
204,T205,T202,Steve Marino,1,5.0
205,T205,T202,C.T. Pan,9,5.0
206,T205,T216,Robert Streb,7,5.0
207,T205,T216,Josh Teater,5,5.0
208,T205,T202,Michael Thompson,11,5.0
209,T210,T206,Aaron Baddeley,8,4.9
