,Last_15_Events_-_Power_RANK THIS WEEK,Last_15_Events_-_Power_RANK LAST WEEK,Last_15_Events_-_Power_PLAYER NAME,Last_15_Events_-_Power_EVENTS,Last_15_Events_-_Power_RATING
0,1,1,Tom Lovelady,3,9.9
1,T2,T2,Kurt Kitayama,1,9.7
2,T2,T2,Rory McIlroy,10,9.7
3,T2,T2,Seth Reeves,2,9.7
4,T5,T5,Cameron Champ,5,9.5
5,T5,T7,Dustin Johnson,10,9.5
6,T5,T5,Tyler McCumber,1,9.5
7,T5,T7,Trey Mullinax,9,9.5
8,T9,T7,Brandon Hagy,1,9.4
9,T9,T7,Luke List,8,9.4
10,T9,T7,Bubba Watson,8,9.4
11,12,T12,Norman Xiong,2,9.3
12,T13,T18,Cameron Davis,5,9.2
13,T13,T12,Brooks Koepka,8,9.2
14,T13,T14,Grayson Murray,4,9.2
15,T13,T14,Ollie Schniederjans,6,9.2
16,T13,T14,Martin Trainer,4,9.2
17,T13,T14,Matthew Wolff,1,9.2
18,T19,T18,Sam Burns,7,9.1
19,T19,T18,Patrick Cantlay,8,9.1
20,T19,T18,Wyndham Clark,7,9.1
21,T19,T18,Jason Day,6,9.1
22,T19,T18,Keith Mitchell,8,9.1
23,T24,T24,Ross Fisher,1,9.0
24,T24,T24,Jon Rahm,8,9.0
25,T26,T26,Tony Finau,9,8.9
26,T26,T26,J.B. Holmes,2,8.9
27,T26,T26,Gary Woodland,8,8.9
28,T29,T29,Lee Hodges,1,8.8
29,T29,T29,Viktor Hovland,1,8.8
30,T31,T31,Byeong Hun An,8,8.7
31,T31,,Richard Jung,1,8.7
32,T31,T31,Jhonattan Vegas,8,8.7
33,T34,T34,George Cunningham,1,8.6
34,T34,T43,Brandon Harkins,6,8.6
35,T34,T34,Andres Romero,1,8.6
36,T37,T37,Davis Riley,1,8.5
37,T37,T37,Scottie Scheffler,3,8.5
38,T37,T43,Sepp Straka,4,8.5
39,T37,T34,Kevin Tway,6,8.5
40,T37,T31,Aaron Wise,6,8.5
41,T42,T39,Garrett Barber,1,8.4
42,T42,T39,Tommy Fleetwood,7,8.4
43,T42,T39,Maverick McNealy,2,8.4
44,T42,T39,Phil Mickelson,7,8.4
45,46,T53,Erik van Rooyen,3,8.3
46,T47,T48,Jason Kokrak,14,8.2
47,T47,T48,Tom Lewis,1,8.2
48,T47,T48,Thomas Pieters,2,8.2
49,T47,T48,Patrick Rodgers,7,8.2
50,T47,T48,Xander Schauffele,8,8.2
51,T47,T43,Justin Thomas,8,8.2
52,T53,T53,Sam Horsfield,1,8.1
53,T53,T59,Alex Noren,7,8.1
54,T53,T57,Ryan Palmer,8,8.1
55,T53,T43,Alex Prugh,3,8.1
56,T53,T53,Sam Saunders,7,8.1
57,T53,T53,Peter Uihlein,5,8.1
58,T59,T57,Zack Sucher,2,8.0
59,T59,T43,Harold Varner III,7,8.0
60,T61,T59,Adam Scott,7,7.9
61,T61,T59,Kristoffer Ventura,1,7.9
62,T61,T59,Matt Wallace,5,7.9
63,T61,T59,Nick Watney,8,7.9
64,T65,,Paul Barjon,1,7.8
65,T65,T66,Martin Flores,1,7.8
66,T65,T66,Branden Grace,7,7.8
67,T65,T66,Michael Lorenzo-Vera,1,7.8
68,T65,T59,D.J. Trahan,4,7.8
69,T70,T69,Matt Every,5,7.7
70,T70,T69,Rickie Fowler,11,7.7
71,T70,T69,Sergio Garcia,6,7.7
72,T70,T69,Max Homa,9,7.7
73,T70,T59,Joaquin Niemann,9,7.7
74,T70,T69,Justin Rose,10,7.7
75,T70,T69,Brendan Steele,5,7.7
76,T77,T75,Lucas Bjerregaard,4,7.6
77,T77,T75,Paul Casey,7,7.6
78,T77,T80,Corey Conners,6,7.6
79,T77,T75,Robert Garrigus,4,7.6
80,T77,T84,Cody Gribble,7,7.6
81,T77,T75,Charles Howell III,9,7.6
82,T77,T75,Chad Ramey,1,7.6
83,T84,T80,Bryson DeChambeau,8,7.5
84,T84,T80,Lucas Herbert,1,7.5
85,T84,T80,Sung Kang,11,7.5
86,T84,T89,Shane Lowry,5,7.5
87,T88,T84,Derek Ernst,2,7.4
88,T88,T123,Padraig Harrington,3,7.4
89,T88,T84,Jamie Lovemark,2,7.4
90,T88,T89,Carlos Ortiz,5,7.4
91,T88,T84,Doc Redman,1,7.4
92,T88,T89,Jimmy Walker,10,7.4
93,T94,T89,Chesson Hadley,5,7.3
94,T94,T89,Charley Hoffman,6,7.3
95,T94,T106,Jim Knous,5,7.3
96,T94,T84,Danny Lee,8,7.3
97,T94,T89,Marc Leishman,9,7.3
98,T94,T89,Hideki Matsuyama,11,7.3
99,T100,T112,Keegan Bradley,9,7.2
100,T100,T96,Ryan Fox,1,7.2
101,T100,T96,Haotong Li,5,7.2
102,T100,T100,Sebastián Muñoz,6,7.2
103,T100,T96,Lee Westwood,1,7.2
104,T105,T106,Harris English,8,7.1
105,T105,99,Henrik Norlander,2,7.1
106,T107,T100,John Chin,2,7.0
107,T107,T100,Beau Hossler,9,7.0
108,T107,T100,Sean O'Hair,6,7.0
109,T107,T100,Patrick Reed,9,7.0
110,T107,T106,Roger Sloan,7,7.0
111,T112,T106,Rikuya Hoshino,1,6.9
112,T112,T106,Tiger Woods,7,6.9
113,T114,T120,Anders Albertson,2,6.8
114,T114,T112,Hayden Buckley,1,6.8
115,T114,T112,George Coetzee,1,6.8
116,T114,T100,Dylan Frittelli,9,6.8
117,T114,T112,Si Woo Kim,7,6.8
118,T114,T112,Hunter Mahan,5,6.8
119,T114,T112,Scott Stallings,7,6.8
120,T114,T112,Y.E. Yang,1,6.8
121,T122,T120,Daniel Berger,9,6.7
122,T122,T120,Jordan Spieth,10,6.7
123,T122,T139,Danny Willett,7,6.7
124,T125,T123,Sangmoon Bae,3,6.6
125,T125,T123,Tyrrell Hatton,6,6.6
126,T125,T139,Mackenzie Hughes,6,6.6
127,T125,T123,Dru Love,1,6.6
128,T125,T123,Louis Oosthuizen,6,6.6
129,T125,T106,Adam Schenk,7,6.6
130,T125,T123,Braden Thornberry,1,6.6
131,T132,T130,Stewart Cink,3,6.5
132,T132,T130,Julián Etulain,7,6.5
133,T132,T112,Talor Gooch,6,6.5
134,T132,T130,Adam Hadwin,11,6.5
135,T132,T130,Jazz Janewattananond,1,6.5
