,Last_15_Events_-_Short_Game_RANK THIS WEEK,Last_15_Events_-_Short_Game_RANK LAST WEEK,Last_15_Events_-_Short_Game_PLAYER NAME,Last_15_Events_-_Short_Game_EVENTS,Last_15_Events_-_Short_Game_RATING
0,1,1.0,Davis Riley,1,9.0
1,2,2.0,Michael Lorenzo-Vera,1,8.7
2,3,3.0,Marty Jertson,1,8.5
3,4,4.0,George Coetzee,1,8.3
4,5,5.0,Maverick McNealy,2,8.2
5,6,6.0,Dawson Armstrong,1,8.1
6,6,6.0,Ricky Barnes,3,8.1
7,8,8.0,Luke Donald,3,7.8
8,8,8.0,Jerry Kelly,1,7.8
9,8,8.0,Matt Wallace,3,7.8
10,11,11.0,Charl Schwartzel,1,7.7
11,11,11.0,Ryan Vermeer,1,7.7
12,13,22.0,Billy Hurley III,2,7.6
13,13,13.0,Patrick Rodgers,7,7.6
14,13,13.0,Brendon Todd,2,7.6
15,16,16.0,Bud Cauley,6,7.5
16,16,16.0,Fred Couples,1,7.5
17,16,16.0,Brendon de Jonge,1,7.5
18,16,16.0,Tim Herron,4,7.5
19,16,16.0,Andres Romero,1,7.5
20,16,16.0,Chase Wright,3,7.5
21,22,22.0,Lucas Glover,7,7.4
22,22,33.0,Matt Kuchar,10,7.4
23,22,45.0,D.J. Trahan,2,7.4
24,25,,Chad Campbell,1,7.3
25,25,,Jake Knapp,1,7.3
26,25,33.0,Sebastián Muñoz,6,7.3
27,25,24.0,Kevin Na,6,7.3
28,25,229.0,Seth Reeves,1,7.3
29,25,24.0,Brady Schnell,3,7.3
30,25,13.0,Ben Silverman,5,7.3
31,25,24.0,Cameron Smith,7,7.3
32,25,24.0,Brandt Snedeker,9,7.3
33,25,28.0,Danny Willett,6,7.3
34,35,28.0,Kyle Jones,3,7.2
35,35,28.0,Sam Saunders,7,7.2
36,35,33.0,Webb Simpson,11,7.2
37,35,28.0,Roger Sloan,6,7.2
38,35,28.0,Tiger Woods,6,7.2
39,40,33.0,Byeong Hun An,6,7.1
40,40,33.0,Patrick Cantlay,5,7.1
41,40,33.0,Zack Fischer,1,7.1
42,40,93.0,Talor Gooch,5,7.1
43,40,33.0,David Lipsky,3,7.1
44,40,33.0,Shane Lowry,5,7.1
45,40,33.0,Dylan Meyer,1,7.1
46,40,261.0,Rod Pampling,2,7.1
47,40,33.0,Chad Ramey,1,7.1
48,40,33.0,Kevin Tway,6,7.1
49,40,33.0,Tyrone Van Aswegen,4,7.1
50,51,45.0,Austin Cook,4,7.0
51,51,79.0,Ben Crane,4,7.0
52,51,45.0,Roberto Díaz,5,7.0
53,51,45.0,Rickie Fowler,10,7.0
54,51,45.0,Louis Oosthuizen,6,7.0
55,51,45.0,Seamus Power,4,7.0
56,51,45.0,Patrick Reed,9,7.0
57,51,45.0,Justin Rose,10,7.0
58,51,45.0,Brian Stuard,12,7.0
59,51,79.0,Hudson Swafford,4,7.0
60,51,45.0,Jhonattan Vegas,7,7.0
61,51,45.0,Lee Westwood,1,7.0
62,63,93.0,Anders Albertson,2,6.9
63,63,45.0,Jonathan Byrd,5,6.9
