,Last_15_Events_-_Accuracy_RANK THIS WEEK,Last_15_Events_-_Accuracy_RANK LAST WEEK,Last_15_Events_-_Accuracy_PLAYER NAME,Last_15_Events_-_Accuracy_EVENTS,Last_15_Events_-_Accuracy_RATING
0,1,1,Dylan Meyer,1,8.9
1,2,2,Jim Furyk,9,8.2
2,3,T3,George Cunningham,1,8.1
3,T4,T3,Keegan Bradley,9,8.0
4,T4,T5,Fred Couples,1,8.0
5,T4,T5,Jerry Kelly,1,8.0
6,T7,T12,Rory McIlroy,10,7.9
7,T7,8,Boo Weekley,2,7.9
8,T9,T12,Ryan Armour,5,7.8
9,T9,T5,Corey Conners,6,7.8
10,T9,T9,Jason Dufner,4,7.8
11,T9,T9,Ross Fisher,1,7.8
12,T9,T12,Erik van Rooyen,3,7.8
13,T9,T9,Tiger Woods,7,7.8
14,T15,T12,J.B. Holmes,2,7.7
15,T15,T12,Russell Knox,11,7.7
16,T15,T40,David Lingmerth,3,7.7
17,T15,T12,Braden Thornberry,1,7.7
18,T15,T12,Y.E. Yang,1,7.7
19,T20,T40,Talor Gooch,6,7.6
20,T20,T20,Jim Herman,1,7.6
21,T20,T20,Viktor Hovland,1,7.6
22,T20,T12,Matt Kuchar,11,7.6
23,T20,,Collin Morikawa,1,7.6
24,T20,T20,Chez Reavie,8,7.6
25,T20,T40,Henrik Stenson,10,7.6
26,T20,T20,Vaughn Taylor,9,7.6
27,T20,T20,Gary Woodland,8,7.6
28,T29,,Paul Barjon,1,7.5
29,T29,T27,Patrick Cantlay,8,7.5
30,T29,T27,Brett Drewitt,1,7.5
31,T29,T27,Doug Ghim,3,7.5
32,T29,T27,Lucas Glover,11,7.5
33,T29,T27,Adam Hadwin,11,7.5
34,T29,T27,Russell Henley,7,7.5
35,T29,T27,Charley Hoffman,6,7.5
36,T29,T27,Yuki Inamori,1,7.5
37,T29,T20,Nate Lashley,9,7.5
38,T29,T27,David Lipsky,3,7.5
39,T29,T27,Steve Marino,1,7.5
40,T29,T27,Adam Scott,7,7.5
41,T29,T27,Kevin Streelman,9,7.5
42,T43,T40,Bronson Burgoon,3,7.4
43,T43,T27,Brooks Koepka,8,7.4
44,T43,T81,Shane Lowry,5,7.4
45,T43,T40,Hideki Matsuyama,11,7.4
46,T43,T40,Troy Merritt,8,7.4
47,T43,T40,Ryan Palmer,8,7.4
48,T43,T40,Kyle Stanley,4,7.4
49,T50,T50,Alexander Björk,1,7.3
50,T50,T50,Paul Casey,7,7.3
51,T50,T50,Emiliano Grillo,9,7.3
52,T50,T50,Brian Harman,7,7.3
53,T50,T50,Tyrrell Hatton,6,7.3
54,T50,T50,Jason Kokrak,14,7.3
55,T50,T50,Kyoung-Hoon Lee,7,7.3
56,T50,T20,Nicholas Lindheim,4,7.3
57,T50,T50,Joost Luiten,4,7.3
58,T50,T50,Francesco Molinari,7,7.3
59,T50,T50,Ryan Moore,8,7.3
60,T50,T50,Kevin Na,6,7.3
61,T50,T40,Alex Prugh,3,7.3
62,T50,T50,Doc Redman,1,7.3
63,T50,T50,Webb Simpson,11,7.3
64,T50,T50,Brian Stuard,12,7.3
65,T50,T50,Hudson Swafford,4,7.3
66,T50,T50,Justin Thomas,8,7.3
67,T50,T50,Michael Thompson,10,7.3
68,T50,T50,Chase Wright,4,7.3
69,T70,T70,Eric Axley,1,7.2
70,T70,T70,Scott Brown,6,7.2
71,T70,T70,Bud Cauley,8,7.2
72,T70,T70,Austin Cook,4,7.2
73,T70,T70,Tommy Fleetwood,7,7.2
74,T70,T70,Jazz Janewattananond,1,7.2
75,T70,T70,Davis Love III,4,7.2
76,T70,T50,Scott Piercy,11,7.2
77,T70,T70,Patrick Rodgers,7,7.2
78,T70,T70,Steve Stricker,5,7.2
79,T70,T70,David Toms,1,7.2
80,T70,T127,Tyrone Van Aswegen,4,7.2
81,T82,T81,Hayden Buckley,1,7.1
82,T82,T81,Roberto Castro,8,7.1
83,T82,T81,K.J. Choi,4,7.1
84,T82,T81,Matt Every,5,7.1
85,T82,T81,Zack Fischer,1,7.1
86,T82,T81,Rickie Fowler,11,7.1
87,T82,T81,Sergio Garcia,6,7.1
88,T82,T81,Fabián Gómez,7,7.1
89,T82,T81,James Hahn,8,7.1
90,T82,T81,J.J. Henry,3,7.1
91,T82,T81,Kramer Hickok,6,7.1
92,T82,T81,Sam Horsfield,1,7.1
93,T82,T81,Rikuya Hoshino,1,7.1
94,T82,T40,Colt Knost,3,7.1
95,T82,T81,Andrew Landry,6,7.1
96,T82,T81,Hank Lebioda,9,7.1
97,T82,T81,Joaquin Niemann,9,7.1
98,T82,T81,Jon Rahm,8,7.1
99,T82,T81,Scottie Scheffler,3,7.1
100,T82,T70,Nick Watney,8,7.1
101,T102,T81,Anders Albertson,2,7.0
102,T102,T102,Abraham Ancer,9,7.0
103,T102,T102,Jonas Blixt,9,7.0
104,T102,,Chad Campbell,1,7.0
105,T102,T102,Ben Crane,5,7.0
106,T102,T102,Joel Dahmen,8,7.0
107,T102,T102,Bryson DeChambeau,8,7.0
108,T102,T102,Chesson Hadley,5,7.0
109,T102,T102,Tom Hoge,5,7.0
110,T102,T102,Shugo Imahira,3,7.0
111,T102,T127,Zach Johnson,9,7.0
112,T102,T102,Dustin Johnson,10,7.0
113,T102,T102,Kevin Kisner,10,7.0
114,T102,T102,Marc Leishman,9,7.0
115,T102,T102,Michael Lorenzo-Vera,1,7.0
116,T102,T102,Tyler McCumber,1,7.0
117,T102,T102,Thorbjørn Olesen,3,7.0
118,T102,T102,Louis Oosthuizen,6,7.0
119,T102,T102,C.T. Pan,9,7.0
120,T102,T102,Eddie Pepperell,4,7.0
121,T102,T102,Pat Perez,6,7.0
122,T102,T102,Ian Poulter,7,7.0
123,T102,T102,Justin Rose,10,7.0
124,T102,T102,Brady Schnell,3,7.0
125,T102,T102,Vijay Singh,2,7.0
126,T102,T102,Brendan Steele,5,7.0
127,T102,T144,Harold Varner III,7,7.0
128,T102,T81,Danny Willett,7,7.0
129,T130,T127,Alex Cejka,4,6.9
130,T130,T162,Tyler Duncan,3,6.9
131,T130,T127,Matthew Fitzpatrick,7,6.9
132,T130,T127,Brice Garnett,4,6.9
133,T130,T127,Max Homa,9,6.9
134,T130,T50,Billy Hurley III,2,6.9
135,T130,T127,Sung Kang,11,6.9
136,T130,T127,Chris Kirk,5,6.9
137,T130,T127,Adam Long,5,6.9
138,T130,T127,J.T. Poston,10,6.9
139,T130,T127,Xander Schauffele,8,6.9
