,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
243,T238,T233,Dru Love,1,5.0
244,T238,T233,Ian Poulter,2,5.0
245,T246,T239,Anirban Lahiri,2,4.9
246,T246,T239,Henrik Norlander,2,4.9
247,T246,T239,Thorbjørn Olesen,1,4.9
248,T249,T230,Ryan Armour,1,4.8
249,T249,T243,Patton Kizzire,1,4.8
250,T249,T243,Aaron Rai,1,4.8
251,T249,T243,Matthew Wolff,1,4.8
252,T253,,Paul Barjon,1,4.7
253,T253,T246,Justin Harding,2,4.7
254,T253,T75,Colt Knost,2,4.7
255,T253,T246,Joost Luiten,3,4.7
256,T253,T246,Richard Sterne,1,4.7
257,258,249,Shubhankar Sharma,2,4.6
258,T259,T250,Cameron Champ,2,4.5
259,T259,T250,Ross Fisher,1,4.5
260,T259,,George McNeill,1,4.5
261,T259,T257,Adam Schenk,3,4.5
262,T259,T250,Norman Xiong,2,4.5
263,264,254,Doc Redman,1,4.4
264,T265,T255,Bronson Burgoon,1,4.3
265,T265,T255,Zack Sucher,1,4.3
266,T267,T185,Dominic Bozzelli,2,4.2
267,T267,263,Scott Brown,2,4.2
268,269,259,Kurt Kitayama,1,4.1
269,270,T260,Doug Ghim,2,3.9
270,271,262,Julián Etulain,1,3.8
271,272,,Cody Gribble,1,3.5
272,273,264,Johnson Wagner,1,3.3
273,274,,Tyler Duncan,1,3.0
274,275,267,Shaun Norris,1,2.9
275,T276,T268,Yuki Inamori,1,2.8
276,T276,T268,Ben Martin,1,2.8
277,278,270,Braden Thornberry,1,2.5
