,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Patrick Reed,94,"52' 3""",1254.417,24
1,2,2,Derek Fathauer,84,"52' 0""",1611.5,31
2,3,3,Brett Stegmaier,67,"51' 8""",1188.833,23
3,4,4,Roberto Díaz,72,"51' 5""",1541.5,30
4,5,5,Patrick Rodgers,97,"51' 2""",1636.4170000000001,32
5,6,6,Tyrrell Hatton,58,"49' 8""",993.1669999999999,20
6,7,7,Jonas Blixt,67,"48' 9""",828.75,17
7,8,8,Jhonattan Vegas,92,"48' 8""",1946.25,40
8,T9,T9,Bronson Burgoon,69,"48' 7""",1262.083,26
9,T9,T9,Kevin Streelman,94,"48' 7""",1604.0829999999999,33
10,11,11,Jim Furyk,50,"47' 11""",910.25,19
11,12,12,Charles Howell III,104,"47' 10""",1340.4170000000001,28
12,13,13,Michael Thompson,62,"47' 9""",1290.25,27
13,T14,T14,Tony Finau,105,"47' 8""",1714.5,36
14,T14,T14,Tyrone Van Aswegen,101,"47' 8""",1762.8329999999999,37
15,16,16,Johnson Wagner,75,"47' 3""",898.0,19
16,17,17,Jonathan Byrd,70,"47' 1""",989.4169999999999,21
17,18,18,Matt Jones,70,"47' 0""",1316.4170000000001,28
18,T19,T19,Brian Harman,94,"46' 8""",2100.917,45
19,T19,T19,Shane Lowry,64,"46' 8""",1492.6670000000001,32
20,21,21,Abraham Ancer,98,"46' 7""",1817.6670000000001,39
21,22,22,Seamus Power,86,"46' 6""",1395.4170000000001,30
22,T23,T23,Harris English,84,"46' 5""",1345.1670000000001,29
23,T23,T23,Emiliano Grillo,94,"46' 5""",1437.8329999999999,31
24,25,25,Hunter Mahan,67,"46' 4""",972.5830000000001,21
