,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
0,T1,T1,Patrick Reed,94,"52' 7""",14.504000000000001,23
1,T1,T1,Patrick Rodgers,97,"52' 7""",17.667,28
2,3,3,Roberto Díaz,72,"52' 6""",18.278,29
3,4,4,Tyrrell Hatton,58,"52' 0""",11.24,18
4,T5,T5,Derek Fathauer,84,"51' 8""",16.747,27
5,T5,T5,Brett Stegmaier,67,"51' 8""",14.265999999999998,23
6,7,7,Rickie Fowler,74,"51' 7""",10.523,17
7,8,8,Johnson Wagner,75,"50' 3""",10.259,17
8,9,9,Michael Thompson,62,"50' 0""",15.003,25
9,10,10,Cameron Percy,56,"49' 11""",7.782,13
10,11,11,Louis Oosthuizen,62,"49' 2""",14.164000000000001,24
11,12,12,Jhonattan Vegas,92,"49' 1""",21.793000000000003,37
12,T13,T13,Brian Harman,94,"48' 10""",22.840999999999998,39
13,T13,T13,Adam Scott,78,"48' 10""",21.096,36
14,15,15,Jonas Blixt,67,"48' 9""",9.945,17
15,16,16,Tyrone Van Aswegen,101,"48' 8""",19.271,33
16,17,17,Tony Finau,105,"48' 7""",19.817,34
17,18,18,Hideki Matsuyama,75,"48' 5""",16.835,29
18,19,19,Kevin Streelman,94,"48' 4""",18.544,32
19,20,20,Matt Jones,70,"48' 2""",15.616,27
20,21,21,Bronson Burgoon,69,"48' 0""",13.252,23
21,T22,T22,Jim Furyk,50,"47' 11""",10.923,19
22,T22,T22,Jonathan Randolph,71,"47' 11""",15.538,27
23,24,24,Charles Howell III,104,"47' 10""",16.085,28
24,25,25,Ollie Schniederjans,91,"47' 6""",15.968,28
25,26,26,Aaron Baddeley,84,"47' 5""",17.058,30
26,27,27,Phil Mickelson,90,"47' 4""",15.332,27
27,T28,T28,Henrik Stenson,60,"47' 3""",10.207,18
28,T28,T28,Robert Streb,78,"47' 3""",13.603,24
