,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
107,T107,T126,Martin Laird,60,174.1,4262584.0,680
108,T109,T90,Joel Dahmen,78,174.3,4861614.0,775
109,T109,T90,Si Woo Kim,65,174.3,3356821.0,535
110,111,T121,Austin Cook,50,174.5,2997118.0,477
111,112,T94,Justin Rose,42,174.6,2513942.0,400
112,113,T96,Emiliano Grillo,65,174.7,3603949.0,573
113,T114,T98,Matt Jones,67,174.8,3932382.0,625
114,T114,T98,Sung Kang,67,174.8,4594706.0,730
115,T116,133,Tyler Duncan,66,175.0,4019365.0,638
116,T116,T135,Brian Harman,67,175.0,4285088.0,680
117,118,125,Kramer Hickok,59,175.2,3558273.0,564
118,T119,T106,Billy Horschel,73,175.3,3963274.0,628
119,T119,151,Hank Lebioda,55,175.3,3402202.0,539
120,T119,T106,Hideki Matsuyama,59,175.3,3787294.0,600
121,122,110,Andrew Landry,56,175.4,3763800.0,596
122,123,130,Julián Etulain,55,175.5,3191370.0,505
123,T124,T141,Scott Brown,66,175.6,4221999.0,668
124,T124,T135,Jim Herman,37,175.6,2338988.0,370
125,T124,113,Adam Long,52,175.6,3831476.0,606
126,T124,T126,Denny McCarthy,63,175.6,4091133.0,647
127,128,114,Charley Hoffman,58,175.7,3048731.0,482
128,T129,T115,Bronson Burgoon,37,175.8,2525372.0,399
129,T129,T115,Lucas Glover,62,175.8,4625245.0,731
130,T129,134,Nate Lashley,44,175.8,2728155.0,431
131,T129,T115,Kyoung-Hoon Lee,72,175.8,4043587.0,639
132,T129,T163,Rod Pampling,40,175.8,2373182.0,375
133,T129,T153,Cameron Tringale,52,175.8,2973808.0,470
134,T135,T148,Jonas Blixt,66,175.9,4533741.0,716
135,T135,162,Jonathan Byrd,43,175.9,2444416.0,386
136,T135,T119,Jason Dufner,56,175.9,3394590.0,536
137,T135,T119,Adam Scott,41,175.9,2121266.0,335
138,T139,T155,Ben Silverman,54,176.0,3693959.0,583
139,T139,999,Tyrone Van Aswegen,30,176.0,1634846.0,258
140,T141,T123,Tyrrell Hatton,46,176.2,2626171.0,414
141,T141,T123,Kevin Streelman,63,176.2,4673709.0,737
142,143,182,Danny Willett,47,176.3,3300902.0,520
143,T144,T148,J.J. Henry,42,176.4,2375652.0,374
144,T144,T167,Graeme McDowell,61,176.4,3492008.0,550
145,146,T135,Bud Cauley,61,176.5,4631264.0,729
146,T147,T165,Zach Johnson,50,176.6,3585808.0,564
147,T147,T128,J.T. Poston,76,176.6,5621054.0,884
148,T147,T128,Rory Sabbatini,71,176.6,4743987.0,746
149,150,T148,Adam Svensson,51,176.7,3250741.0,511
150,T151,T143,Tom Hoge,70,176.8,4182232.0,657
151,T151,T159,Brandt Snedeker,68,176.8,4239559.0,666
152,153,T153,Fabián Gómez,44,177.0,2676642.0,420
153,154,T131,Kiradech Aphibarnrat,49,177.3,2911329.0,456
154,155,T135,Martin Kaymer,38,177.6,2992935.0,468
155,156,139,"Ted Potter, Jr.",56,177.7,3831557.0,599
156,157,140,Cameron Smith,55,177.8,2918557.0,456
157,T158,158,Roberto Díaz,51,177.9,2913659.0,455
158,T158,T141,Kevin Kisner,65,177.9,3810714.0,595
159,T158,178,Robert Streb,60,177.9,3874039.0,605
160,161,T143,Sam Ryder,52,178.0,3529994.0,551
161,T162,145,Ryan Blaum,67,178.1,4705893.0,734
162,T162,T159,Russell Henley,56,178.1,3795489.0,592
163,T164,T146,Chris Kirk,47,178.2,3080007.0,480
164,T164,T146,Kevin Na,54,178.2,2945261.0,459
165,166,T167,Bill Haas,58,178.4,4085071.0,636
