,Approaches_from_175-200_yards_Rgh_RANK THIS WEEK,Approaches_from_175-200_yards_Rgh_RANK LAST WEEK,Approaches_from_175-200_yards_Rgh_PLAYER NAME,Approaches_from_175-200_yards_Rgh_ROUNDS,Approaches_from_175-200_yards_Rgh_AVG,Approaches_from_175-200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_175-200_yards_Rgh_# OF ATTEMPTS,Approaches_from_175-200_yards_Rgh_RELATIVE TO PAR
0,1,1,Paul Casey,51,"34' 10""",592.0830000000001,17,-2
1,2,2,Marc Leishman,52,"37' 0""",739.1669999999999,20,E
2,3,5,Danny Lee,66,"37' 10""",1059.667,28,+11
3,4,4,Justin Harding,31,"38' 5""",76.833,2,+1
4,5,3,D.J. Trahan,33,"38' 8""",347.917,9,-3
5,6,6,Ian Poulter,49,"40' 1""",640.6669999999999,16,+3
6,T7,T7,Sam Ryder,52,"40' 5""",848.6669999999999,21,+5
7,T7,T7,Charl Schwartzel,34,"40' 5""",485.417,12,+2
8,T9,T9,Byeong Hun An,54,"40' 6""",769.6669999999999,19,+5
9,T9,T9,Carlos Ortiz,60,"40' 6""",1255.0,31,+9
10,11,11,Peter Malnati,64,"41' 1""",944.75,23,+2
11,T12,12,J.T. Poston,76,"41' 3""",1279.0,31,+2
12,T12,14,Shawn Stefani,57,"41' 3""",866.3330000000001,21,+4
13,14,13,Ryan Armour,66,"41' 8""",625.5,15,+1
14,T15,T24,Sam Saunders,53,"42' 9""",811.75,19,E
15,T15,16,Kevin Streelman,63,"42' 9""",768.75,18,+5
16,17,17,Pat Perez,52,"42' 10""",599.6669999999999,14,E
17,18,18,Russell Henley,56,"43' 1""",689.25,16,-2
18,19,21,Ollie Schniederjans,63,"43' 2""",1769.75,41,+4
19,T20,T95,Ben Crane,41,"43' 9""",350.0,8,+2
20,T20,20,Adam Long,52,"43' 9""",875.4169999999999,20,+5
21,22,T22,Keegan Bradley,65,"44' 0""",792.4169999999999,18,+2
22,T23,19,Bud Cauley,61,"44' 1""",1189.417,27,+6
23,T23,T24,Chez Reavie,67,"44' 1""",749.5830000000001,17,+4
24,T23,T22,Jimmy Walker,61,"44' 1""",1719.1670000000001,39,+7
25,26,26,Luke List,52,"44' 2""",970.9169999999999,22,-2
26,27,28,Rickie Fowler,54,"44' 5""",799.75,18,+2
27,28,29,Hideki Matsuyama,59,"44' 8""",1564.5829999999999,35,+7
28,29,30,Chesson Hadley,58,"45' 0""",944.6669999999999,21,+4
29,T30,T31,Michael Kim,51,"45' 3""",1267.667,28,+2
30,T30,T31,Chase Wright,53,"45' 3""",633.0,14,+4
31,32,34,Kevin Kisner,65,"45' 4""",1087.083,24,+6
32,33,T35,Rafa Cabrera Bello,57,"45' 5""",863.1669999999999,19,+2
33,34,37,Lucas Glover,62,"45' 11""",964.0,21,+2
34,35,15,Peter Uihlein,65,"46' 0""",1058.167,23,+3
35,36,38,Aaron Baddeley,51,"46' 2""",1292.167,28,+8
36,37,T31,Harold Varner III,62,"46' 3""",1064.167,23,+2
37,38,T39,Corey Conners,62,"46' 4""",555.6669999999999,12,+4
38,39,41,Jhonattan Vegas,60,"46' 6""",1348.25,29,+8
39,T40,T43,Matt Every,38,"46' 9""",420.833,9,+5
40,T40,T43,Rory Sabbatini,71,"46' 9""",1681.9170000000001,36,+6
41,42,45,Phil Mickelson,41,"46' 11""",1172.417,25,+9
42,T43,42,Jonas Blixt,66,"47' 0""",1456.6670000000001,31,+6
43,T43,60,Webb Simpson,53,"47' 0""",1175.0,25,+3
44,45,T46,Andrew Putnam,57,"47' 1""",941.0830000000001,20,+2
45,T46,50,Sungjae Im,88,"47' 3""",1181.667,25,+7
46,T46,48,Sepp Straka,48,"47' 3""",851.1669999999999,18,+7
47,48,51,Dustin Johnson,47,"47' 6""",1045.0,22,+1
48,49,52,John Huh,35,"47' 7""",857.0,18,+3
49,T50,T53,Cameron Smith,55,"47' 8""",857.8330000000001,18,+4
50,T50,T53,Tiger Woods,31,"47' 8""",333.5,7,E
51,T52,T55,Cameron Davis,54,"47' 9""",715.9169999999999,15,E
52,T52,T55,Scott Stallings,63,"47' 9""",906.5,19,+5
53,54,58,C.T. Pan,64,"47' 10""",1099.667,23,+2
54,T55,T61,Bryson DeChambeau,45,"48' 3""",820.5,17,+4
55,T55,T61,Chris Kirk,47,"48' 3""",820.3330000000001,17,+5
56,T55,T61,Rory McIlroy,50,"48' 3""",482.5,10,+3
57,58,64,Satoshi Kodaira,51,"48' 6""",920.9169999999999,19,+6
58,59,T35,Jim Knous,55,"48' 7""",777.0830000000001,16,+4
59,60,T66,Brandt Snedeker,68,"48' 9""",1658.8329999999999,34,+3
60,T61,T68,Sangmoon Bae,42,"48' 11""",489.25,10,+3
61,T61,59,Graeme McDowell,61,"48' 11""",978.0,20,+5
62,T61,T68,Chris Stroud,54,"48' 11""",1566.5,32,+5
63,T64,27,Sergio Garcia,39,"49' 0""",882.4169999999999,18,+5
64,T64,T70,Alex Prugh,54,"49' 0""",685.9169999999999,14,+1
65,T64,T70,Justin Rose,42,"49' 0""",490.167,10,-1
66,T64,T79,Justin Thomas,49,"49' 0""",1029.417,21,+5
67,T68,72,Sung Kang,67,"49' 1""",1521.75,31,+8
68,T68,77,Scott Piercy,70,"49' 1""",933.3330000000001,19,+3
69,T70,T73,Ernie Els,43,"49' 2""",885.6669999999999,18,-1
70,T70,T73,Gary Woodland,63,"49' 2""",786.5830000000001,16,+5
71,72,75,Martin Kaymer,38,"49' 3""",1083.25,22,+3
72,73,T90,Curtis Luck,51,"49' 7""",1091.583,22,+5
73,74,78,Jonathan Byrd,43,"49' 10""",846.5,17,+5
74,75,999,Tyrone Van Aswegen,30,"49' 11""",848.9169999999999,17,+5
75,76,81,Kiradech Aphibarnrat,49,"50' 0""",749.5830000000001,15,+5
76,77,83,Jordan Spieth,57,"50' 2""",1706.9170000000001,34,+3
77,T78,T84,Brooks Koepka,49,"50' 3""",251.333,5,+1
78,T78,T90,Scott Langley,60,"50' 3""",1556.9170000000001,31,+15
79,T78,T84,Brian Stuard,76,"50' 3""",1456.3329999999999,29,+5
80,81,49,Dominic Bozzelli,53,"50' 4""",905.9169999999999,18,+3
81,82,T66,Tom Hoge,70,"50' 6""",960.0830000000001,19,+6
82,T83,T86,Joaquin Niemann,68,"50' 8""",1318.1670000000001,26,+4
83,T83,T86,Xander Schauffele,55,"50' 8""",1014.0830000000001,20,+3
84,85,88,Nick Taylor,70,"50' 9""",1572.4170000000001,31,+6
85,86,98,Ben Silverman,54,"50' 10""",1168.833,23,+8
86,T87,T99,Roberto Castro,54,"51' 0""",1376.8329999999999,27,+9
87,T87,82,Alex Noren,49,"51' 0""",816.1669999999999,16,+7
88,T89,T90,Emiliano Grillo,65,"51' 3""",665.9169999999999,13,+3
89,T89,T90,Tyrrell Hatton,46,"51' 3""",1076.333,21,+3
90,T89,T101,Trey Mullinax,67,"51' 3""",1282.083,25,-2
91,T92,T140,Talor Gooch,37,"51' 5""",1028.083,20,+3
92,T92,T95,Ryan Moore,54,"51' 5""",873.9169999999999,17,E
93,T92,T95,"Ted Potter, Jr.",56,"51' 5""",1182.833,23,+4
94,95,T99,Robert Streb,60,"51' 8""",981.8330000000001,19,+5
95,96,103,Brandon Harkins,67,"52' 0""",1663.5829999999999,32,+9
96,97,136,Josh Teater,47,"52' 3""",784.3330000000001,15,+1
97,98,105,Adam Schenk,80,"52' 4""",1727.4170000000001,33,+9
98,99,117,John Chin,38,"52' 5""",681.3330000000001,13,+5
99,100,106,Max Homa,61,"52' 6""",1470.75,28,+10
100,T101,T101,Alex Cejka,41,"52' 7""",946.5830000000001,18,+5
101,T101,T107,Charley Hoffman,58,"52' 7""",841.1669999999999,16,+6
102,T101,T107,Matt Kuchar,65,"52' 7""",1104.917,21,+3
103,T101,T107,Hunter Mahan,45,"52' 7""",894.1669999999999,17,+3
104,T105,110,Tommy Fleetwood,43,"52' 8""",842.25,16,-1
105,T105,T55,Hank Lebioda,55,"52' 8""",1369.3329999999999,26,+9
106,T107,T111,Russell Knox,65,"52' 9""",1318.9170000000001,25,+6
107,T107,T134,José de Jesús Rodríguez,51,"52' 9""",949.5830000000001,18,+9
108,T107,T114,Brady Schnell,38,"52' 9""",738.25,14,+5
109,110,113,Anirban Lahiri,54,"52' 10""",1161.667,22,+5
110,111,T114,Patton Kizzire,58,"52' 11""",1217.25,23,+2
111,T112,116,Beau Hossler,66,"53' 0""",1538.1670000000001,29,+3
112,T112,65,Danny Willett,47,"53' 0""",953.9169999999999,18,+2
113,114,T122,Aaron Wise,52,"53' 1""",1115.0,21,-1
114,115,T118,Branden Grace,62,"53' 2""",1383.0,26,+4
115,116,154,Scott Brown,66,"53' 4""",1547.3329999999999,29,+10
116,T117,T46,Joey Garber,44,"53' 5""",748.0,14,+7
117,T117,104,Brian Gay,79,"53' 5""",1228.333,23,+7
118,T117,121,Jason Kokrak,68,"53' 5""",1763.9170000000001,33,+8
119,T120,155,Kevin Tway,62,"53' 7""",1233.167,23,-2
120,T120,T122,Nick Watney,67,"53' 7""",1499.25,28,+9
121,122,124,Hudson Swafford,59,"53' 8""",1502.25,28,+7
122,T123,T125,Dylan Frittelli,55,"53' 9""",1020.75,19,+7
123,T123,T125,Patrick Reed,53,"53' 9""",1129.5,21,+5
124,125,T111,Stephan Jaeger,59,"53' 10""",1076.75,20,E
125,T126,127,Tony Finau,61,"53' 11""",1239.167,23,+5
126,T126,T146,Mackenzie Hughes,58,"53' 11""",1132.667,21,+5
127,T128,94,Lucas Bjerregaard,37,"54' 0""",917.8330000000001,17,+6
128,T128,128,Charles Howell III,64,"54' 0""",1673.25,31,+3
129,130,130,John Senden,39,"54' 3""",596.6669999999999,11,+1
130,131,T118,J.J. Henry,42,"54' 4""",978.1669999999999,18,+5
131,132,T146,Johnson Wagner,45,"54' 5""",979.25,18,+5
132,133,131,Ryan Blaum,67,"54' 6""",1743.6670000000001,32,+11
133,134,133,Haotong Li,32,"54' 8""",437.417,8,-3
134,135,T134,Andrew Landry,56,"54' 9""",1040.083,19,+9
135,T136,T138,James Hahn,34,"55' 1""",440.5,8,+4
136,T136,T138,Grayson Murray,36,"55' 1""",1322.0829999999999,24,+5
137,T138,T140,Stewart Cink,33,"55' 2""",827.0,15,+2
138,T138,T150,Brian Harman,67,"55' 2""",1103.75,20,+1
139,T138,T140,Kyoung-Hoon Lee,72,"55' 2""",1103.0,20,+5
140,T138,129,Richy Werenski,63,"55' 2""",1435.3329999999999,26,+9
141,142,143,Jim Herman,37,"55' 4""",553.5,10,+2
142,143,T144,Patrick Cantlay,49,"55' 5""",1273.917,23,E
143,144,T146,Nate Lashley,44,"55' 8""",667.5830000000001,12,+2
144,145,76,Seth Reeves,52,"55' 9""",1115.5,20,-1
145,146,T150,Kelly Kraft,67,"55' 10""",1674.6670000000001,30,+10
146,T147,137,Julián Etulain,55,"55' 11""",1508.75,27,+5
147,T147,T152,Brice Garnett,63,"55' 11""",1062.0,19,+8
148,T149,T146,Daniel Berger,48,"56' 0""",1232.75,22,+7
149,T149,T160,Kramer Hickok,59,"56' 0""",1287.667,23,+8
150,151,T156,Brendan Steele,50,"56' 6""",961.1669999999999,17,+5
151,T152,999,Shane Lowry,30,"56' 9""",794.5,14,+4
152,T152,158,Francesco Molinari,41,"56' 9""",453.833,8,+3
153,T152,159,Martin Trainer,51,"56' 9""",1304.333,23,+6
154,T155,89,Wes Roach,45,"56' 10""",853.0,15,+5
155,T155,T156,Adam Svensson,51,"56' 10""",1194.167,21,+3
156,157,T160,Abraham Ancer,69,"56' 11""",967.0,17,+4
157,158,162,Adam Hadwin,66,"57' 1""",1369.6670000000001,24,+8
158,159,T152,Roberto Díaz,51,"57' 3""",916.3330000000001,16,+8
159,160,163,Keith Mitchell,64,"57' 4""",1318.1670000000001,23,+1
160,161,171,J.J. Spaun,68,"57' 5""",1320.9170000000001,23,+4
161,162,T164,Ryan Palmer,56,"57' 7""",864.3330000000001,15,+2
162,163,166,J.B. Holmes,54,"57' 8""",865.5830000000001,15,+5
163,164,167,Michael Thompson,56,"57' 10""",1618.5829999999999,28,+5
164,165,132,Sebastián Muñoz,58,"58' 1""",1219.167,21,+6
165,166,168,Si Woo Kim,65,"58' 2""",756.5830000000001,13,+2
166,T167,T144,Harris English,72,"58' 3""",1979.0829999999999,34,+9
167,T167,169,Cameron Tringale,52,"58' 3""",1513.6670000000001,26,+5
168,169,176,Tyler Duncan,66,"58' 7""",1230.75,21,+13
169,T170,T172,Adam Scott,41,"59' 1""",709.0,12,+3
170,T170,120,Roger Sloan,62,"59' 1""",1123.333,19,+8
171,T170,T172,Kyle Stanley,53,"59' 1""",1240.333,21,+8
172,173,174,Matt Jones,67,"59' 2""",1361.5,23,+6
173,174,175,Patrick Rodgers,44,"59' 5""",1842.25,31,+12
174,175,177,Vaughn Taylor,69,"59' 11""",2157.833,36,+10
175,176,T164,Seamus Power,58,"60' 1""",1381.25,23,+6
176,177,T179,Cody Gribble,52,"60' 6""",1210.5,20,+13
177,178,T79,Chris Thompson,34,"60' 7""",969.6669999999999,16,+4
178,179,T179,Matt Wallace,31,"60' 8""",788.9169999999999,13,+1
179,180,181,D.A. Points,33,"60' 9""",971.3330000000001,16,+5
180,181,T187,Jim Furyk,53,"61' 2""",979.0,16,+6
181,182,T182,Anders Albertson,48,"61' 4""",1164.75,19,+7
182,183,178,Kyle Jones,49,"61' 5""",1290.417,21,+6
183,184,184,Freddie Jacobson,37,"61' 7""",1293.75,21,+7
184,T185,T185,Sam Burns,66,"61' 8""",1849.0,30,+4
185,T185,T185,Billy Horschel,73,"61' 8""",1109.417,18,+5
186,187,T187,Matthew Fitzpatrick,42,"61' 9""",679.0830000000001,11,+4
187,188,189,Austin Cook,50,"61' 10""",556.5,9,+1
188,189,195,Denny McCarthy,63,"62' 0""",2168.583,35,+12
189,T190,190,Fabián Gómez,44,"62' 8""",1002.8330000000001,16,+5
190,T190,T182,Whee Kim,57,"62' 8""",1441.6670000000001,23,+11
191,192,191,Jason Dufner,56,"63' 0""",945.5830000000001,15,+5
192,T193,170,Bill Haas,58,"63' 3""",1835.0829999999999,29,+10
193,T193,192,Jon Rahm,51,"63' 3""",885.8330000000001,14,+2
194,195,T193,Joel Dahmen,78,"63' 5""",1585.0829999999999,25,+10
195,196,196,Wyndham Clark,61,"63' 11""",1087.083,17,+6
196,197,197,Bronson Burgoon,37,"64' 4""",964.9169999999999,15,+3
197,198,999,Martin Piller,30,"64' 7""",710.4169999999999,11,+4
198,199,199,Henrik Stenson,46,"65' 0""",844.9169999999999,13,+7
199,200,198,Cameron Champ,58,"65' 3""",1956.8329999999999,30,+2
200,201,T193,Bubba Watson,47,"65' 11""",1121.25,17,+6
201,202,203,Martin Laird,60,"67' 0""",1808.6670000000001,27,+7
202,203,202,Troy Merritt,42,"67' 4""",808.0830000000001,12,+10
203,204,201,Rod Pampling,40,"67' 5""",1078.167,16,+7
204,205,200,Zach Johnson,50,"68' 7""",1371.9170000000001,20,+5
205,206,204,Louis Oosthuizen,43,"71' 4""",927.1669999999999,13,+12
206,207,205,Kevin Na,54,"72' 3""",1589.1670000000001,22,+7
207,208,206,David Hearn,41,"73' 5""",807.9169999999999,11,+3
208,209,207,Jason Day,45,"75' 3""",225.667,3,+1
