,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
102,T102,98,J.T. Poston,76,168.0,6906206.0,1142
103,T104,87,Kramer Hickok,59,168.1,4423991.0,731
104,T104,T99,Kevin Kisner,65,168.1,4652748.0,769
105,T106,T109,Jonas Blixt,66,168.2,5649120.0,933
106,T106,T106,Zach Johnson,50,168.2,4433263.0,732
107,T106,T101,Scott Stallings,63,168.2,5303825.0,876
108,T106,T101,D.J. Trahan,33,168.2,2034079.0,336
109,110,108,Adam Hadwin,66,168.4,4958073.0,818
110,T111,T132,Russell Henley,56,168.5,4677710.0,771
111,T111,T119,Jim Herman,37,168.5,2923500.0,482
112,T113,T101,Dominic Bozzelli,53,168.6,3562185.0,587
113,T113,T109,Jordan Spieth,57,168.6,4837766.0,797
114,T115,T111,Max Homa,61,168.7,5230160.0,861
115,T115,T111,Charles Howell III,64,168.7,4670971.0,769
116,T115,T111,Phil Mickelson,41,168.7,3242718.0,534
117,T118,T114,Freddie Jacobson,37,168.8,2595215.0,427
118,T118,T114,Ian Poulter,49,168.8,3251038.0,535
119,T120,T101,Hank Lebioda,55,168.9,4250837.0,699
120,T120,T117,Charl Schwartzel,34,168.9,1617282.0,266
121,T122,T119,Jason Day,45,169.0,2726023.0,448
122,T122,T119,Justin Harding,31,169.0,1301992.0,214
123,T122,T117,Tom Hoge,70,169.0,5189110.0,853
124,T122,T114,Johnson Wagner,45,169.0,3503815.0,576
125,T126,T119,Brian Harman,67,169.1,5300985.0,871
126,T126,T123,Richy Werenski,63,169.1,5534121.0,909
127,T128,T126,John Huh,35,169.2,2941357.0,483
128,T128,T126,Luke List,52,169.2,4665576.0,766
129,T128,T123,Rod Pampling,40,169.2,2936000.0,482
130,T128,T126,Chez Reavie,67,169.2,4355134.0,715
131,T128,135,Sepp Straka,48,169.2,3495490.0,574
132,T133,T126,Bill Haas,58,169.3,5015819.0,823
133,T133,131,Rory Sabbatini,71,169.3,5863840.0,962
134,T133,T126,Jimmy Walker,61,169.3,5040512.0,827
135,T136,T132,Patton Kizzire,58,169.4,4026076.0,660
136,T136,T148,Carlos Ortiz,60,169.4,5212660.0,855
137,T138,T155,John Chin,38,169.6,2394059.0,392
138,T138,136,C.T. Pan,64,169.6,4584709.0,751
139,T140,T137,Scott Brown,66,169.7,5241071.0,858
140,T140,T140,Sungjae Im,88,169.7,7411071.0,1213
141,T140,T143,J.J. Spaun,68,169.7,5027593.0,823
142,T143,T137,Patrick Cantlay,49,169.8,3612724.0,591
143,T143,T155,Ryan Palmer,56,169.8,4255668.0,696
144,T143,T137,Michael Thompson,56,169.8,5466137.0,894
145,T146,T140,Matthew Fitzpatrick,42,169.9,3167611.0,518
146,T146,T140,Cameron Smith,55,169.9,3597384.0,588
147,T148,T167,Stephan Jaeger,59,170.0,4474918.0,731
148,T148,T143,Sung Kang,67,170.0,5807494.0,949
149,T150,T170,Kelly Kraft,67,170.1,5156484.0,842
150,T150,T155,Denny McCarthy,63,170.1,5144878.0,840
151,T150,T153,Shawn Stefani,57,170.1,4249913.0,694
152,T153,T158,Bud Cauley,61,170.3,5804718.0,947
153,T153,T145,Satoshi Kodaira,51,170.3,3818734.0,623
154,T153,T161,Martin Laird,60,170.3,5365333.0,875
155,T153,T145,Marc Leishman,52,170.3,3819161.0,623
156,T153,T145,Louis Oosthuizen,43,170.3,2623414.0,428
157,T158,T132,Talor Gooch,37,170.4,3385289.0,552
158,T158,T148,Dustin Johnson,47,170.4,3735214.0,609
159,T158,T148,Martin Kaymer,38,170.4,3718084.0,606
160,T158,T148,Si Woo Kim,65,170.4,4263833.0,695
161,162,T153,Justin Rose,42,170.5,3112031.0,507
162,T163,T158,Ryan Blaum,67,170.7,5789943.0,942
163,T163,T165,Keegan Bradley,65,170.7,4947173.0,805
164,T163,T158,Jhonattan Vegas,60,170.7,5125049.0,834
165,T166,T161,Harris English,72,170.8,6326607.0,1029
166,T166,T148,Wes Roach,45,170.8,3178897.0,517
167,T168,T163,Ryan Moore,54,170.9,4705209.0,765
168,T168,T163,Kevin Na,54,170.9,3616811.0,588
169,170,T165,John Senden,39,171.0,2647638.0,430
170,T171,T167,Dylan Frittelli,55,171.3,4877669.0,791
171,T171,182,Alex Noren,49,171.3,3619739.0,587
172,T173,T167,Jason Kokrak,68,171.4,5819756.0,943
173,T173,186,Bubba Watson,47,171.4,3961125.0,642
174,175,T170,Haotong Li,32,171.5,2185120.0,354
175,176,172,Sam Ryder,52,171.6,4404170.0,713
176,177,173,Jon Rahm,51,171.7,3634841.0,588
177,T178,T174,Kyle Stanley,53,171.8,3432615.0,555
178,T178,T174,Matt Wallace,31,171.8,2399027.0,388
179,180,176,Keith Mitchell,64,171.9,4517702.0,730
180,T181,177,Kiradech Aphibarnrat,49,172.1,3606754.0,582
181,T181,T178,Sebastián Muñoz,58,172.1,4429490.0,715
182,183,T188,Danny Willett,47,172.2,4216041.0,680
183,T184,T178,Bryson DeChambeau,45,172.3,4206578.0,678
184,T184,T178,Tyrrell Hatton,46,172.3,3312274.0,534
185,186,181,Rickie Fowler,54,172.4,4928201.0,794
186,T187,T183,Daniel Berger,48,172.5,4520913.0,728
187,T187,T191,Aaron Wise,52,172.5,4179906.0,673
188,189,T183,Emiliano Grillo,65,172.6,4555478.0,733
189,T190,185,Matt Jones,67,173.0,5008152.0,804
190,T190,187,Rory McIlroy,50,173.0,4111517.0,660
191,T190,T191,Justin Thomas,49,173.0,3767294.0,605
192,193,T188,Tony Finau,61,173.5,4523097.0,724
193,194,190,Rafa Cabrera Bello,57,173.6,3999536.0,640
194,T195,T193,Adam Scott,41,173.8,2683672.0,429
195,T195,T193,Gary Woodland,63,173.8,4773473.0,763
196,197,195,Pat Perez,52,173.9,3248294.0,519
197,198,196,Patrick Reed,53,174.1,4154461.0,663
198,199,T203,Brooks Koepka,49,174.4,3347237.0,533
199,200,197,Xander Schauffele,55,174.7,3904618.0,621
200,201,205,Sergio Garcia,39,174.8,3159700.0,502
201,202,T201,Webb Simpson,53,174.9,5043218.0,801
202,203,198,Byeong Hun An,54,175.1,4363312.0,692
203,T204,206,Lucas Bjerregaard,37,175.2,2453912.0,389
204,T204,199,Paul Casey,51,175.2,3500206.0,555
205,206,200,Tommy Fleetwood,43,175.3,2933994.0,465
206,207,T201,Hideki Matsuyama,59,175.5,4857697.0,769
207,208,T203,Tiger Woods,31,176.2,2379009.0,375
208,209,207,Henrik Stenson,46,180.2,3964094.0,611
