,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
0,1,1,Ernie Els,43,"1' 4""",1.3330000000000002,1,-1
1,2,2,Tommy Fleetwood,43,"2' 8""",2.667,1,E
2,3,3,Lucas Glover,62,"8' 0""",39.917,5,-2
3,4,4,Adam Scott,41,"8' 7""",8.583,1,+1
4,5,6,Brian Stuard,76,"9' 11""",49.667,5,-1
5,6,7,Matt Jones,67,"10' 4""",51.5,5,+2
6,7,5,Zach Johnson,50,"10' 9""",75.0,7,-1
7,8,8,Ryan Moore,54,"10' 10""",54.083,5,-2
8,9,9,Sam Ryder,52,"11' 8""",34.917,3,+4
9,10,11,Brian Gay,79,"12' 0""",47.833,4,-2
10,11,12,Pat Perez,52,"12' 2""",36.583,3,-1
11,12,13,Bryson DeChambeau,45,"12' 3""",49.083,4,-1
12,T13,,Austin Cook,50,"12' 8""",12.667,1,-1
13,T13,14,Chris Kirk,47,"12' 8""",113.75,9,-2
14,15,15,Ben Silverman,54,"12' 11""",25.833000000000002,2,-1
15,16,16,Emiliano Grillo,65,"13' 1""",39.333,3,+1
16,17,17,Julián Etulain,55,"13' 2""",105.583,8,-2
17,18,T18,Hideki Matsuyama,59,"13' 7""",81.5,6,E
18,T19,T23,Roberto Castro,54,"13' 10""",69.083,5,E
19,T19,30,Joey Garber,44,"13' 10""",82.833,6,+1
20,21,20,Mackenzie Hughes,58,"13' 11""",41.75,3,-1
21,T22,T21,Daniel Berger,48,"14' 0""",97.75,7,-1
22,T22,T21,Louis Oosthuizen,43,"14' 0""",42.0,3,-1
23,T24,,David Hearn,41,"14' 6""",14.5,1,+1
24,T24,T23,Xander Schauffele,55,"14' 6""",87.167,6,-1
25,T26,26,Sangmoon Bae,42,"14' 10""",74.0,5,E
26,T26,25,Tyler Duncan,66,"14' 10""",44.5,3,E
27,28,27,Denny McCarthy,63,"14' 11""",74.667,5,E
28,29,29,Justin Harding,31,"15' 3""",30.416999999999998,2,-1
29,30,32,Freddie Jacobson,37,"15' 9""",47.25,3,+1
30,31,35,Johnson Wagner,45,"16' 4""",48.917,3,+1
31,T32,T36,Rafa Cabrera Bello,57,"16' 5""",164.083,10,+2
32,T32,T36,Jason Dufner,56,"16' 5""",49.167,3,+3
33,T32,T36,Jason Kokrak,68,"16' 5""",65.5,4,+2
34,35,39,Satoshi Kodaira,51,"16' 7""",82.917,5,+4
35,36,T40,Jhonattan Vegas,60,"16' 9""",100.583,6,-3
36,37,42,Adam Hadwin,66,"16' 11""",152.583,9,E
37,T38,T43,Russell Knox,65,"17' 0""",152.833,9,+1
38,T38,T43,"Ted Potter, Jr.",56,"17' 0""",204.333,12,+1
