,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
96,T96,T94,Charley Hoffman,58,"44' 7""",68525,128,5710.4169999999995,+7.00
97,T96,T116,Brandt Snedeker,68,"44' 7""",105389,197,8782.417,E
98,T96,T94,Vaughn Taylor,69,"44' 7""",93083,174,7756.9169999999995,+26.00
99,T100,T99,Byeong Hun An,54,"44' 8""",83013,155,6917.75,+15.00
100,T100,T103,Hudson Swafford,59,"44' 8""",100840,188,8403.333,+4.00
101,T102,T103,Roberto Castro,54,"44' 9""",67705,126,5642.0830000000005,+23.00
102,T102,102,Tyrrell Hatton,46,"44' 9""",43464,81,3622.0,+10.00
103,T102,T109,Adam Svensson,51,"44' 9""",69247,129,5770.5830000000005,+8.00
104,T102,T116,Kevin Tway,62,"44' 9""",99908,186,8325.667,-2.00
105,T106,T86,Ben Crane,41,"44' 10""",49520,92,4126.667,+21.00
106,T106,T103,Andrew Landry,56,"44' 10""",63975,119,5331.25,+26.00
107,T106,T103,Justin Rose,42,"44' 10""",51095,95,4257.917,+13.00
108,T109,T109,Stewart Cink,33,"44' 11""",46924,87,3910.333,+11.00
109,T109,T109,Martin Kaymer,38,"44' 11""",53350,99,4445.833,+12.00
110,T109,T109,Ryan Moore,54,"44' 11""",52828,98,4402.333,-1.00
111,112,T113,Si Woo Kim,65,"45' 0""",70683,131,5890.25,+8.00
112,113,T116,Cameron Champ,58,"45' 1""",121684,225,10140.333,+26.00
113,114,125,Ben Silverman,54,"45' 2""",70471,130,5872.5830000000005,+17.00
114,T115,T61,Roberto Díaz,51,"45' 3""",63491,117,5290.9169999999995,+14.00
115,T115,120,Patrick Rodgers,44,"45' 3""",81979,151,6831.5830000000005,+16.00
116,117,T121,Max Homa,61,"45' 4""",106146,195,8845.5,+15.00
117,T118,123,Sung Kang,67,"45' 5""",105801,194,8816.75,+19.00
118,T118,T90,Chris Thompson,34,"45' 5""",60483,111,5040.25,+8.00
119,T120,T138,Tyler Duncan,66,"45' 6""",73121,134,6093.4169999999995,+32.00
120,T120,124,John Huh,35,"45' 6""",50270,92,4189.167,+17.00
121,122,T121,Zach Johnson,50,"45' 7""",71139,130,5928.25,+17.00
122,T123,T126,Chris Kirk,47,"45' 8""",71828,131,5985.6669999999995,+5.00
123,T123,T126,Patton Kizzire,58,"45' 8""",72275,132,6022.9169999999995,+11.00
124,T123,T126,Xander Schauffele,55,"45' 8""",64110,117,5342.5,+2.00
125,126,T170,Adam Hadwin,66,"45' 9""",76826,140,6402.1669999999995,+14.00
126,127,T103,Bill Haas,58,"45' 10""",91367,166,7613.9169999999995,+12.00
127,T128,T129,Kiradech Aphibarnrat,49,"45' 11""",59000,107,4916.667,+14.00
128,T128,T129,Bronson Burgoon,37,"45' 11""",52380,95,4365.0,+21.00
129,T128,T129,D.A. Points,33,"45' 11""",32512,59,2709.333,+11.00
130,131,T116,Dominic Bozzelli,53,"46' 0""",71700,130,5975.0,+13.00
131,132,T133,Rickie Fowler,54,"46' 1""",78585,142,6548.75,-2.00
132,T133,T135,Patrick Cantlay,49,"46' 2""",71453,129,5954.4169999999995,-16.00
133,T133,132,Dylan Frittelli,55,"46' 2""",98076,177,8173.0,+10.00
134,T133,T113,Jim Knous,55,"46' 2""",90797,164,7566.4169999999995,+15.00
135,T133,T135,Jon Rahm,51,"46' 2""",60973,110,5081.083,+10.00
136,T133,T135,Cameron Smith,55,"46' 2""",66433,120,5536.0830000000005,+9.00
137,T138,T173,Austin Cook,50,"46' 3""",52759,95,4396.583,+14.00
138,T138,T138,Emiliano Grillo,65,"46' 3""",64377,116,5364.75,+12.00
139,T138,T138,Satoshi Kodaira,51,"46' 3""",62702,113,5225.167,+16.00
140,T138,T138,Jason Kokrak,68,"46' 3""",98824,178,8235.333,+20.00
141,T138,T138,C.T. Pan,64,"46' 3""",78313,141,6526.0830000000005,+17.00
142,143,T94,Hank Lebioda,55,"46' 4""",76156,137,6346.3330000000005,+25.00
143,T144,T144,Keith Mitchell,64,"46' 5""",70185,126,5848.75,-1.00
144,T144,T149,Sebastián Muñoz,58,"46' 5""",86386,155,7198.8330000000005,+14.00
145,T146,T146,Tommy Fleetwood,43,"46' 6""",46326,83,3860.5,-4.00
146,T146,T164,Curtis Luck,51,"46' 6""",80307,144,6692.25,+27.00
147,T148,T155,Jim Herman,37,"46' 7""",44700,80,3725.0,+19.00
148,T148,177,Martin Laird,60,"46' 7""",103334,185,8611.167,+19.00
149,T148,T149,Sam Ryder,52,"46' 7""",72064,129,6005.3330000000005,+16.00
150,T148,T113,Sepp Straka,48,"46' 7""",76079,136,6339.9169999999995,+14.00
151,T148,T149,Michael Thompson,56,"46' 7""",77643,139,6470.25,+21.00
152,T153,T152,Billy Horschel,73,"46' 8""",82296,147,6858.0,+25.00
153,T153,172,Graeme McDowell,61,"46' 8""",80087,143,6673.9169999999995,+22.00
154,T153,178,Peter Uihlein,65,"46' 8""",100194,179,8349.5,+18.00
155,T156,T170,Ryan Armour,66,"46' 9""",72333,129,6027.75,+21.00
156,T156,154,Bryson DeChambeau,45,"46' 9""",66799,119,5566.5830000000005,+6.00
157,T156,169,Wes Roach,45,"46' 9""",56131,100,4677.583,+14.00
158,T156,T152,Adam Schenk,80,"46' 9""",122947,219,10245.583,+25.00
159,T160,T155,Ryan Blaum,67,"46' 10""",109505,195,9125.417,+54.00
160,T160,T155,Jason Day,45,"46' 10""",51170,91,4264.167,+14.00
161,T160,T133,Brian Gay,79,"46' 10""",88288,157,7357.3330000000005,+15.00
162,T160,T155,Beau Hossler,66,"46' 10""",107930,192,8994.167,+32.00
163,T160,T155,Anirban Lahiri,54,"46' 10""",79784,142,6648.6669999999995,+23.00
164,T160,T155,J.T. Poston,76,"46' 10""",117419,209,9784.917,+21.00
165,T166,T146,Harris English,72,"46' 11""",121577,216,10131.417,-7.00
166,T166,T146,Alex Noren,49,"46' 11""",62511,111,5209.25,+20.00
167,T166,T162,Louis Oosthuizen,43,"46' 11""",34885,62,2907.083,+17.00
168,T169,T164,Charles Howell III,64,"47' 1""",84726,150,7060.5,+17.00
169,T169,T167,Mackenzie Hughes,58,"47' 1""",105713,187,8809.417,+6.00
170,171,T144,Scott Langley,60,"47' 2""",86582,153,7215.1669999999995,+24.00
171,172,T167,Sam Burns,66,"47' 3""",112872,199,9406.0,+13.00
172,T173,T155,Daniel Berger,48,"47' 9""",72777,127,6064.75,+15.00
173,T173,T173,Chez Reavie,67,"47' 9""",54424,95,4535.333,+11.00
174,175,T162,Seamus Power,58,"47' 10""",92930,162,7744.1669999999995,+36.00
175,T176,T183,Scott Brown,66,"47' 11""",94861,165,7905.0830000000005,+21.00
176,T176,T173,Whee Kim,57,"47' 11""",67817,118,5651.4169999999995,+28.00
177,178,T183,Wyndham Clark,61,"48' 0""",118148,205,9845.667,+1.00
178,T179,T192,John Chin,38,"48' 1""",55363,96,4613.583,+25.00
179,T179,166,Julián Etulain,55,"48' 1""",95202,165,7933.5,+18.00
180,T179,179,Troy Merritt,42,"48' 1""",44440,77,3703.333,+13.00
181,182,182,J.J. Spaun,68,"48' 2""",93071,161,7755.9169999999995,+1.00
182,183,T180,Branden Grace,62,"48' 3""",70581,122,5881.75,+21.00
183,184,189,Stephan Jaeger,59,"48' 6""",107073,184,8922.75,+13.00
184,185,T198,Lucas Bjerregaard,37,"48' 8""",43829,75,3652.417,+3.00
185,T186,T185,Joel Dahmen,78,"48' 9""",92392,158,7699.3330000000005,+16.00
186,T186,T173,Joey Garber,44,"48' 9""",58488,100,4874.0,+17.00
187,T186,194,Kelly Kraft,67,"48' 9""",106513,182,8876.083,+38.00
188,T186,188,Seth Reeves,52,"48' 9""",89574,153,7464.5,+13.00
189,T186,190,Martin Trainer,51,"48' 9""",103624,177,8635.333,+36.00
190,191,187,Brice Garnett,63,"48' 11""",67452,115,5621.0,+23.00
191,192,T180,Rod Pampling,40,"49' 0""",58202,99,4850.167,+30.00
192,T193,T185,Tom Hoge,70,"49' 1""",104285,177,8690.417,+20.00
193,T193,196,Bubba Watson,47,"49' 1""",83700,142,6975.0,+14.00
194,195,191,Matt Jones,67,"49' 5""",99059,167,8254.917,+10.00
195,196,T192,Kevin Na,54,"49' 7""",64899,109,5408.25,+8.00
