,Approaches__275_yards-Rgh_RTP_RANK THIS WEEK,Approaches__275_yards-Rgh_RTP_RANK LAST WEEK,Approaches__275_yards-Rgh_RTP_PLAYER NAME,Approaches__275_yards-Rgh_RTP_ROUNDS,Approaches__275_yards-Rgh_RTP_AVG RTP
0,T1,T1,Aaron Baddeley,51,-2.000
1,T1,T1,Adam Hadwin,66,-2.000
2,T1,T1,Michael Kim,51,-2.000
3,T4,T4,Sangmoon Bae,42,-1.000
4,T4,T4,Daniel Berger,48,-1.000
5,T4,T4,Keegan Bradley,65,-1.000
6,T4,T4,Bronson Burgoon,37,-1.000
7,T4,T4,Rafa Cabrera Bello,57,-1.000
8,T4,T4,Patrick Cantlay,49,-1.000
9,T4,T4,Corey Conners,62,-1.000
10,T4,T4,Roberto Díaz,51,-1.000
11,T4,T4,Cameron Davis,54,-1.000
12,T4,T4,Jason Day,45,-1.000
13,T4,T4,Tyler Duncan,66,-1.000
14,T4,T4,Julián Etulain,55,-1.000
15,T4,T4,Lucas Glover,62,-1.000
16,T4,T4,Talor Gooch,37,-1.000
17,T4,T4,Tyrrell Hatton,46,-1.000
18,T4,T4,Charley Hoffman,58,-1.000
19,T4,T4,Sungjae Im,88,-1.000
20,T4,T4,Kyle Jones,49,-1.000
21,T4,T4,Martin Kaymer,38,-1.000
22,T4,T4,Whee Kim,57,-1.000
23,T4,T4,Patton Kizzire,58,-1.000
24,T4,T4,Brooks Koepka,49,-1.000
25,T4,T4,Rory McIlroy,50,-1.000
26,T4,T4,Louis Oosthuizen,43,-1.000
27,T4,999,Martin Piller,30,-1.000
28,T4,T4,D.A. Points,33,-1.000
29,T4,T4,Ian Poulter,49,-1.000
30,T4,T4,Andrew Putnam,57,-1.000
31,T4,T4,Jon Rahm,51,-1.000
32,T4,T4,Patrick Reed,53,-1.000
33,T4,T4,Brady Schnell,38,-1.000
34,T4,T4,Charl Schwartzel,34,-1.000
35,T4,T4,John Senden,39,-1.000
36,T4,T4,Kyle Stanley,53,-1.000
37,T4,T4,Hudson Swafford,59,-1.000
38,T4,T4,Josh Teater,47,-1.000
39,T4,T4,Justin Thomas,49,-1.000
40,T4,T4,Kevin Tway,62,-1.000
41,T4,T4,Jhonattan Vegas,60,-1.000
42,T4,T4,Nick Watney,67,-1.000
