,SG_Approach_the_Green_RANK THIS WEEK,SG_Approach_the_Green_RANK LAST WEEK,SG_Approach_the_Green_PLAYER NAME,SG_Approach_the_Green_ROUNDS,SG_Approach_the_Green_AVERAGE,SG_Approach_the_Green_TOTAL SG:APP,SG_Approach_the_Green_MEASURED ROUNDS
90,91,110,D.J. Trahan,33,0.094,1.786,19
91,92,93,Kyoung-Hoon Lee,72,0.08800000000000001,4.058,46
92,93,95,Matt Wallace,31,0.067,1.473,22
93,94,96,Haotong Li,32,0.057999999999999996,1.1540000000000001,20
94,95,97,Michael Thompson,56,0.055,2.7430000000000003,50
95,96,98,Jhonattan Vegas,60,0.054000000000000006,2.55,47
96,97,99,Phil Mickelson,41,0.052000000000000005,1.567,30
97,98,94,Whee Kim,57,0.042,1.288,31
98,T99,100,Alex Prugh,54,0.04,1.426,36
99,T99,101,John Senden,39,0.04,0.965,24
100,101,130,Graeme McDowell,61,0.038,1.5190000000000001,40
101,102,102,Francesco Molinari,41,0.035,0.904,26
102,T103,104,Jonas Blixt,66,0.031,1.6019999999999999,52
103,T103,103,C.T. Pan,64,0.031,1.308,42
104,105,105,Charles Howell III,64,0.016,0.669,43
105,106,106,Andrew Landry,56,0.015,0.654,43
106,107,107,Ian Poulter,49,0.011000000000000001,0.344,30
107,108,108,Kyle Stanley,53,0.009000000000000001,0.278,31
108,109,114,Daniel Berger,48,0.008,0.331,41
109,110,125,Sebastián Muñoz,58,0.004,0.17,40
110,111,111,Kevin Kisner,65,-0.002,-0.10400000000000001,43
111,112,113,Rory Sabbatini,71,-0.009000000000000001,-0.507,54
112,113,115,Adam Long,52,-0.013999999999999999,-0.636,44
113,114,127,Alex Cejka,41,-0.016,-0.426,27
114,115,116,Abraham Ancer,69,-0.017,-0.826,49
115,116,112,Sam Saunders,53,-0.023,-1.07,46
116,T117,117,Tyrrell Hatton,46,-0.024,-0.7290000000000001,30
117,T117,124,Brandt Snedeker,68,-0.024,-1.1320000000000001,48
118,T119,126,Lucas Bjerregaard,37,-0.025,-0.539,22
119,T119,118,Charl Schwartzel,34,-0.025,-0.381,15
120,121,109,Roger Sloan,62,-0.026000000000000002,-1.2329999999999999,48
121,122,83,Bubba Watson,47,-0.028999999999999998,-1.058,36
122,123,142,Ben Silverman,54,-0.03,-1.253,42
