,Approaches_from_50-125_yards_Rgh_RANK THIS WEEK,Approaches_from_50-125_yards_Rgh_RANK LAST WEEK,Approaches_from_50-125_yards_Rgh_PLAYER NAME,Approaches_from_50-125_yards_Rgh_ROUNDS,Approaches_from_50-125_yards_Rgh_AVG,Approaches_from_50-125_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-125_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-125_yards_Rgh_RELATIVE TO PAR
0,1,1,Ryan Moore,54,"18' 8""",373.083,20,-6
1,2,3,Talor Gooch,37,"19' 6""",429.75,22,+2
2,3,2,Alex Cejka,41,"19' 7""",410.917,21,-2
3,4,T4,Kevin Na,54,"20' 2""",342.25,17,-1
4,T5,16,Brooks Koepka,49,"20' 6""",800.3330000000001,39,-10
5,T5,7,Hideki Matsuyama,59,"20' 6""",430.917,21,+1
6,7,8,Matt Jones,67,"21' 2""",677.0830000000001,32,-2
7,8,T20,David Hearn,41,"21' 3""",403.25,19,+1
8,9,T9,Scott Langley,60,"21' 4""",640.3330000000001,30,-6
9,10,11,Kevin Kisner,65,"21' 6""",581.5830000000001,27,+6
10,11,12,Chris Kirk,47,"21' 7""",518.6669999999999,24,-3
11,12,T13,Lucas Glover,62,"21' 8""",887.25,41,-3
12,13,15,Chris Stroud,54,"22' 1""",683.75,31,E
13,14,17,Ian Poulter,49,"22' 2""",354.167,16,+3
14,15,T18,Kiradech Aphibarnrat,49,"22' 3""",668.5830000000001,30,-7
15,16,T18,Nick Taylor,70,"22' 4""",1364.4170000000001,61,-9
16,17,22,"Ted Potter, Jr.",56,"22' 8""",792.6669999999999,35,+4
17,18,T9,Joaquin Niemann,68,"22' 11""",1193.5,52,-4
18,T19,24,Jason Dufner,56,"23' 0""",505.75,22,+5
19,T19,6,Denny McCarthy,63,"23' 0""",597.8330000000001,26,-2
20,21,25,Bronson Burgoon,37,"23' 1""",645.8330000000001,28,+9
21,T22,T4,J.J. Henry,42,"23' 4""",536.8330000000001,23,+2
22,T22,31,Nick Watney,67,"23' 4""",839.0830000000001,36,-1
23,24,T27,Adam Svensson,51,"23' 5""",608.3330000000001,26,+3
24,25,30,John Senden,39,"23' 6""",423.583,18,+5
25,26,T13,Brian Gay,79,"23' 8""",923.0,39,-2
26,T27,T35,Anders Albertson,48,"23' 9""",831.6669999999999,35,-3
27,T27,T27,Seamus Power,58,"23' 9""",784.75,33,+7
28,T29,T35,Bill Haas,58,"23' 11""",883.75,37,-3
29,T29,T35,Freddie Jacobson,37,"23' 11""",239.0,10,+2
30,T29,T35,Sam Ryder,52,"23' 11""",598.5,25,+7
31,T32,T44,J.B. Holmes,54,"24' 0""",913.5,38,-1
32,T32,39,Patrick Rodgers,44,"24' 0""",720.8330000000001,30,E
33,34,T44,Bud Cauley,61,"24' 3""",897.3330000000001,37,+4
34,35,T41,Kevin Streelman,63,"24' 4""",1167.083,48,-2
35,36,T27,Nate Lashley,44,"24' 5""",585.9169999999999,24,-3
36,37,T48,Stephan Jaeger,59,"24' 6""",831.9169999999999,34,-2
37,T38,47,Ryan Armour,66,"24' 7""",712.1669999999999,29,+2
38,T38,T44,Emiliano Grillo,65,"24' 7""",615.5,25,+4
39,40,T48,Charl Schwartzel,34,"24' 10""",347.417,14,+4
40,T41,51,Aaron Baddeley,51,"24' 11""",748.4169999999999,30,-5
41,T41,26,Webb Simpson,53,"24' 11""",771.75,31,+1
42,T43,T52,James Hahn,34,"25' 0""",449.333,18,+5
43,T43,T20,Ryan Palmer,56,"25' 0""",799.75,32,E
44,T45,33,Ben Crane,41,"25' 1""",627.8330000000001,25,+6
45,T45,55,Tony Finau,61,"25' 1""",1230.75,49,-3
