,Approaches_from_175-200_yards_RANK THIS WEEK,Approaches_from_175-200_yards_RANK LAST WEEK,Approaches_from_175-200_yards_PLAYER NAME,Approaches_from_175-200_yards_ROUNDS,Approaches_from_175-200_yards_AVG,Approaches_from_175-200_yards_TOTAL DISTANCE (FEET),Approaches_from_175-200_yards_# OF ATTEMPTS,Approaches_from_175-200_yards_RELATIVE TO PAR
0,1,999,Shane Lowry,30,"28' 0""",1036.583,37,+3
1,2,1,Patrick Cantlay,49,"28' 8""",1946.8329999999999,68,-6
2,T3,T2,Brooks Koepka,49,"29' 5""",1914.1670000000001,65,-2
3,T3,4,Marc Leishman,52,"29' 5""",2913.0,99,-17
4,5,5,Justin Rose,42,"29' 6""",2062.167,70,-7
5,6,6,Tiger Woods,31,"29' 7""",2073.333,70,-7
6,7,7,Jason Kokrak,68,"29' 8""",4217.167,142,-15
7,T8,T12,Rory McIlroy,50,"30' 0""",2517.5,84,-11
8,T8,T8,Grayson Murray,36,"30' 0""",1828.5,61,+1
9,T8,T8,Jon Rahm,51,"30' 0""",2279.667,76,-3
10,11,10,Tom Hoge,70,"30' 1""",4271.583,142,+1
11,12,11,Xander Schauffele,55,"30' 2""",2260.5,75,-1
12,13,14,Haotong Li,32,"30' 4""",1424.5,47,-2
13,T14,18,Scott Brown,66,"30' 6""",4205.083,138,+12
14,T14,T12,Joaquin Niemann,68,"30' 6""",4151.083,136,+3
15,16,15,Rickie Fowler,54,"30' 7""",3763.5,123,-6
16,T17,T16,Byeong Hun An,54,"30' 8""",2671.25,87,+6
17,T17,T16,Charley Hoffman,58,"30' 8""",2664.75,87,-1
18,T19,T19,Bryson DeChambeau,45,"30' 10""",2960.417,96,-12
19,T19,T19,Hideki Matsuyama,59,"30' 10""",3576.167,116,-13
20,T21,21,James Hahn,34,"30' 11""",1081.667,35,-1
21,T21,T41,Ryan Palmer,56,"30' 11""",2907.0,94,-8
22,23,T22,Ryan Moore,54,"31' 0""",4243.25,137,+1
23,T24,T24,Tyler Duncan,66,"31' 1""",4228.833,136,+14
24,T24,T22,Matt Kuchar,65,"31' 1""",3663.25,118,-11
25,T24,T26,Graeme McDowell,61,"31' 1""",3609.333,116,-3
26,27,T26,Hudson Swafford,59,"31' 2""",3865.417,124,+1
27,28,T24,Emiliano Grillo,65,"31' 3""",3654.333,117,+4
28,29,T26,Chez Reavie,67,"31' 4""",3602.083,115,+7
29,T30,T32,Corey Conners,62,"31' 5""",3142.833,100,+3
30,T30,54,Talor Gooch,37,"31' 5""",2547.417,81,+1
31,32,T32,Andrew Landry,56,"31' 6""",3744.333,119,+10
32,T33,T39,Jim Furyk,53,"31' 7""",4583.167,145,+10
33,T33,35,Russell Knox,65,"31' 7""",4228.917,134,+15
34,35,36,Tony Finau,61,"31' 8""",3039.417,96,-5
35,T36,T39,Sergio Garcia,39,"31' 9""",2378.75,75,+6
36,T36,T37,Scott Piercy,70,"31' 9""",3805.167,120,-11
37,T38,T44,Alex Cejka,41,"31' 10""",2420.583,76,+7
38,T38,T51,Henrik Stenson,46,"31' 10""",3593.417,113,+2
39,40,31,Peter Uihlein,65,"31' 11""",3131.75,98,+2
40,T41,T26,Webb Simpson,53,"32' 0""",3647.667,114,-4
41,T41,T41,Nick Watney,67,"32' 0""",3876.083,121,+3
42,T43,T32,Sebastián Muñoz,58,"32' 1""",3365.333,105,-4
43,T43,T26,D.J. Trahan,33,"32' 1""",1122.917,35,-5
44,T45,T44,Joel Dahmen,78,"32' 2""",5055.333,157,+6
45,T45,T44,Matthew Fitzpatrick,42,"32' 2""",2413.917,75,-1
46,T45,T44,Tyrrell Hatton,46,"32' 2""",2377.5,74,+2
47,T45,T44,Kramer Hickok,59,"32' 2""",3889.833,121,+10
48,T49,43,Adam Schenk,80,"32' 3""",5475.5830000000005,170,-3
49,T49,T49,Cameron Smith,55,"32' 3""",3027.917,94,+4
50,T49,T49,Gary Woodland,63,"32' 3""",3745.083,116,+1
51,52,T56,Danny Lee,66,"32' 4""",4462.833,138,-2
52,T53,59,Keegan Bradley,65,"32' 5""",3926.083,121,-3
53,T53,T62,Justin Thomas,49,"32' 5""",2528.417,78,-10
54,T53,T37,Kevin Tway,62,"32' 5""",3828.75,118,-6
55,T56,55,Sung Kang,67,"32' 7""",4889.833,150,-3
56,T56,68,Hank Lebioda,55,"32' 7""",3221.833,99,-2
57,T56,T56,Scott Stallings,63,"32' 7""",4134.833,127,+6
58,T56,T51,Shawn Stefani,57,"32' 7""",3449.917,106,-3
59,T60,T56,Paul Casey,51,"32' 8""",2941.667,90,+4
60,T60,61,Sepp Straka,48,"32' 8""",2780.167,85,+2
61,62,53,Danny Willett,47,"32' 9""",3506.083,107,+8
62,T63,T65,Whee Kim,57,"33' 0""",2938.75,89,+3
63,T63,T62,Chris Kirk,47,"33' 0""",3232.667,98,+8
64,T63,T62,Adam Scott,41,"33' 0""",2510.583,76,+2
65,T66,T65,Branden Grace,62,"33' 1""",3108.333,94,+5
66,T66,T69,Dustin Johnson,47,"33' 1""",2446.167,74,-11
67,T66,60,Nate Lashley,44,"33' 1""",2578.25,78,-2
68,T66,T65,Trey Mullinax,67,"33' 1""",3902.833,118,+5
69,T70,T69,Daniel Berger,48,"33' 2""",3780.0,114,+4
70,T70,T92,Harold Varner III,62,"33' 2""",4114.667,124,-1
