,Approaches_from_125-150_yards_RANK THIS WEEK,Approaches_from_125-150_yards_RANK LAST WEEK,Approaches_from_125-150_yards_PLAYER NAME,Approaches_from_125-150_yards_ROUNDS,Approaches_from_125-150_yards_AVG,Approaches_from_125-150_yards_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_# OF ATTEMPTS,Approaches_from_125-150_yards_RELATIVE TO PAR
0,1,2,Charley Hoffman,58,"17' 11""",1234.167,69,-13
1,2,1,Justin Thomas,49,"18' 1""",1085.0,60,-11
2,3,3,D.J. Trahan,33,"18' 11""",736.6669999999999,39,-2
3,4,4,Dominic Bozzelli,53,"19' 2""",1129.0,59,-22
4,T5,T9,Tom Hoge,70,"20' 0""",1863.25,93,-16
5,T5,13,Rory McIlroy,50,"20' 0""",1559.3329999999999,78,-16
6,T7,5,Corey Conners,62,"20' 3""",1882.9170000000001,93,-18
7,T7,T6,John Huh,35,"20' 3""",1116.0,55,-10
8,T7,T6,Phil Mickelson,41,"20' 3""",1051.333,52,-11
9,T7,T6,Andrew Putnam,57,"20' 3""",1093.583,54,-12
10,T11,T11,Kevin Na,54,"20' 5""",1471.1670000000001,72,-18
11,T11,T11,C.T. Pan,64,"20' 5""",1429.0829999999999,70,-15
12,13,14,Roberto Castro,54,"20' 9""",1740.1670000000001,84,-17
13,T14,T16,Adam Scott,41,"20' 10""",1000.0830000000001,48,-9
14,T14,T16,Cameron Smith,55,"20' 10""",1189.583,57,-10
15,T16,T9,Julián Etulain,55,"20' 11""",1505.8329999999999,72,-13
16,T16,19,Scott Stallings,63,"20' 11""",2091.0,100,-14
17,T18,T22,Dustin Johnson,47,"21' 1""",1287.917,61,-14
18,T18,T20,Sam Ryder,52,"21' 1""",1872.8329999999999,89,-15
19,T18,T20,Kyle Stanley,53,"21' 1""",1222.583,58,-2
20,21,T22,Troy Merritt,42,"21' 2""",1458.5,69,-15
21,T22,T24,Stewart Cink,33,"21' 3""",701.9169999999999,33,-10
22,T22,T24,Jon Rahm,51,"21' 3""",1402.3329999999999,66,-4
23,T22,T16,Henrik Stenson,46,"21' 3""",1379.9170000000001,65,-10
24,T25,T27,Hideki Matsuyama,59,"21' 4""",1900.25,89,-17
25,T25,T27,Tiger Woods,31,"21' 4""",809.3330000000001,38,-2
26,T27,T32,Whee Kim,57,"21' 6""",1244.833,58,-2
27,T27,15,Webb Simpson,53,"21' 6""",2085.5,97,-26
28,T29,T35,John Chin,38,"21' 7""",884.0830000000001,41,-9
29,T29,T32,Austin Cook,50,"21' 7""",1766.5829999999999,82,-10
30,31,T46,Adam Hadwin,66,"21' 8""",1796.5,83,-6
31,32,34,Rod Pampling,40,"21' 9""",1045.333,48,+5
32,T33,T35,Paul Casey,51,"21' 10""",1375.0,63,-5
33,T33,T35,Jason Kokrak,68,"21' 10""",2598.75,119,-24
34,T33,31,Josh Teater,47,"21' 10""",1091.667,50,-5
35,T36,T50,Matt Every,38,"21' 11""",1184.25,54,-1
36,T36,39,Emiliano Grillo,65,"21' 11""",2191.25,100,-9
37,T36,29,J.B. Holmes,54,"21' 11""",987.1669999999999,45,-5
38,T39,T46,Ryan Armour,66,"22' 0""",2971.167,135,-17
39,T39,30,Brooks Koepka,49,"22' 0""",1186.417,54,-6
40,T39,T54,Matt Kuchar,65,"22' 0""",2291.0,104,-7
41,T39,40,Ryan Moore,54,"22' 0""",2292.0,104,-25
42,T43,T35,Alex Cejka,41,"22' 1""",1256.583,57,-6
43,T43,T41,Justin Harding,31,"22' 1""",442.417,20,-1
44,T43,T76,Zach Johnson,50,"22' 1""",1612.8329999999999,73,-9
45,T43,T41,Rory Sabbatini,71,"22' 1""",2255.75,102,-20
46,T47,T46,Louis Oosthuizen,43,"22' 2""",1173.083,53,-7
47,T47,T63,Ryan Palmer,56,"22' 2""",2129.75,96,-14
48,T47,66,Brady Schnell,38,"22' 2""",1086.5,49,-7
49,T47,T41,Chris Thompson,34,"22' 2""",643.9169999999999,29,-6
50,T47,T54,Jimmy Walker,61,"22' 2""",1814.6670000000001,82,-4
51,T52,T50,Byeong Hun An,54,"22' 3""",1865.9170000000001,84,-16
52,T52,T41,Curtis Luck,51,"22' 3""",1378.4170000000001,62,-9
53,T52,T24,Sebastián Muñoz,58,"22' 3""",2181.667,98,-10
