,GIR_Percentage_-_125-150_yards_RANK THIS WEEK,GIR_Percentage_-_125-150_yards_RANK LAST WEEK,GIR_Percentage_-_125-150_yards_PLAYER NAME,GIR_Percentage_-_125-150_yards_ROUNDS,GIR_Percentage_-_125-150_yards_%,GIR_Percentage_-_125-150_yards_GREENS HIT,GIR_Percentage_-_125-150_yards_TOTAL HOLES,GIR_Percentage_-_125-150_yards_RELATIVE TO PAR
0,1,1,D.J. Trahan,33,81.82,54,66,-0.11
1,2,2,Kevin Na,54,81.63,80,98,-0.33
2,3,3,Adam Scott,41,81.33,61,75,-0.21
3,4,4,Cameron Smith,55,79.01,64,81,-0.25
4,5,T9,Sam Ryder,52,77.27,85,110,-0.27
5,6,T9,Dustin Johnson,47,76.92,80,104,-0.23
6,7,T11,Josh Teater,47,76.67,69,90,-0.16
7,T8,13,Kyle Stanley,53,76.47,65,85,-0.11
8,T8,6,Henrik Stenson,46,76.47,65,85,-0.23
9,10,14,Stewart Cink,33,76.36,42,55,-0.31
10,11,26,Jim Furyk,53,76.32,87,114,-0.24
11,12,20,Talor Gooch,37,76.15,83,109,-0.18
12,13,T16,Tyrrell Hatton,46,76.14,67,88,-0.18
13,14,18,Matt Wallace,31,76.12,51,67,-0.22
14,15,19,Francesco Molinari,41,76.06,54,71,-0.13
15,16,T11,J.J. Spaun,68,75.97,98,129,-0.19
16,17,15,Corey Conners,62,75.91,104,137,-0.28
17,T18,8,J.J. Henry,42,75.61,62,82,-0.11
18,T18,21,Ryan Moore,54,75.61,93,123,-0.33
19,20,T34,John Chin,38,75.38,49,65,-0.27
20,T21,7,Harris English,72,75.28,134,178,-0.24
21,T21,5,Justin Thomas,49,75.28,67,89,-0.22
22,23,23,Hideki Matsuyama,59,75.21,91,121,-0.25
23,T24,24,Hunter Mahan,45,75.0,87,116,-0.20
24,T24,22,Scott Stallings,63,75.0,105,140,-0.19
25,26,29,Ryan Blaum,67,74.36,116,156,-0.16
26,27,30,Aaron Baddeley,51,74.31,81,109,-0.23
27,28,28,Aaron Wise,52,74.16,66,89,-0.05
28,29,T41,Richy Werenski,63,74.15,109,147,-0.20
29,30,45,Webb Simpson,53,74.02,94,127,-0.33
30,T31,T32,Jhonattan Vegas,60,74.0,111,150,-0.14
31,T31,T32,Tiger Woods,31,74.0,37,50,-0.22
32,33,T16,Bubba Watson,47,73.96,71,96,-0.18
33,34,25,Matt Kuchar,65,73.85,96,130,-0.24
34,35,31,Jimmy Walker,61,73.68,84,114,-0.15
35,36,43,Martin Laird,60,73.64,95,129,-0.17
36,37,37,Tony Finau,61,73.58,78,106,-0.21
37,38,38,Matt Jones,67,73.51,111,151,-0.23
38,39,T34,Jonathan Byrd,43,73.33,55,75,-0.15
39,40,27,Chris Thompson,34,73.21,41,56,-0.32
40,41,40,Ian Poulter,49,73.17,60,82,-0.23
41,42,T41,Keith Mitchell,64,73.05,103,141,-0.26
42,43,39,Adam Schenk,80,73.0,146,200,-0.20
43,44,46,Chris Kirk,47,72.82,75,103,-0.27
44,45,47,Ryan Armour,66,72.73,120,165,-0.22
45,46,66,Rory McIlroy,50,72.64,77,106,-0.29
46,47,48,Charles Howell III,64,72.41,84,116,-0.27
47,48,36,David Hearn,41,72.31,47,65,-0.36
48,49,50,Bronson Burgoon,37,72.29,60,83,-0.20
49,50,59,Ryan Palmer,56,72.06,98,136,-0.28
50,51,49,Roberto Díaz,51,72.0,72,100,-0.26
51,52,44,Danny Willett,47,71.93,82,114,-0.13
52,53,54,Marc Leishman,52,71.91,64,89,-0.11
53,54,61,Ernie Els,43,71.43,40,56,-0.23
54,55,62,Joel Dahmen,78,71.35,132,185,-0.25
55,56,63,Rickie Fowler,54,71.32,97,136,-0.22
56,57,65,John Senden,39,71.21,47,66,-0.09
57,58,58,Shawn Stefani,57,71.17,79,111,-0.13
58,T59,57,Carlos Ortiz,60,70.95,105,148,-0.13
59,T59,67,Brian Stuard,76,70.95,105,148,-0.31
60,61,56,Tyler Duncan,66,70.92,100,141,-0.15
61,62,68,Patrick Rodgers,44,70.9,95,134,-0.23
62,63,60,Nick Watney,67,70.86,124,175,-0.16
63,64,69,C.T. Pan,64,70.79,63,89,-0.27
64,65,86,Robert Streb,60,70.68,94,133,-0.12
65,66,55,Fabián Gómez,44,70.51,55,78,-0.25
66,67,72,Byeong Hun An,54,70.34,83,118,-0.27
67,68,73,Russell Knox,65,70.29,97,138,-0.21
68,69,51,Roberto Castro,54,70.27,78,111,-0.35
69,70,74,Brian Harman,67,70.08,89,127,-0.26
70,71,75,Chesson Hadley,58,70.07,96,137,-0.25
71,72,T76,Chase Wright,53,70.0,84,120,-0.25
72,73,64,Danny Lee,66,69.87,109,156,-0.17
73,74,79,Pat Perez,52,69.86,51,73,-0.20
74,75,T87,Brice Garnett,63,69.84,88,126,-0.24
75,76,80,James Hahn,34,69.81,37,53,-0.19
76,77,T87,Wes Roach,45,69.7,69,99,-0.10
77,78,81,Andrew Landry,56,69.67,85,122,-0.08
78,T79,82,Paul Casey,51,69.62,55,79,-0.15
79,T79,70,Joey Garber,44,69.62,55,79,-0.18
80,T81,78,Cameron Tringale,52,69.61,71,102,-0.25
81,T81,52,Johnson Wagner,45,69.61,71,102,-0.21
82,83,83,Rory Sabbatini,71,69.59,103,148,-0.29
83,T84,T84,Jason Day,45,69.57,48,69,-0.19
84,T84,T84,Troy Merritt,42,69.57,64,92,-0.28
85,86,102,Sangmoon Bae,42,69.51,57,82,-0.26
86,87,90,Adam Hadwin,66,69.49,82,118,-0.18
87,88,97,Mackenzie Hughes,58,69.4,93,134,-0.20
88,89,T92,Ben Silverman,54,69.29,97,140,-0.20
89,T90,T87,Bryson DeChambeau,45,69.23,81,117,-0.30
90,T90,139,Kevin Tway,62,69.23,90,130,-0.19
91,92,91,Satoshi Kodaira,51,69.15,65,94,-0.14
92,93,T92,Trey Mullinax,67,69.14,121,175,-0.11
93,94,71,J.B. Holmes,54,69.12,47,68,-0.23
94,95,95,Gary Woodland,63,68.94,91,132,-0.22
95,96,96,John Huh,35,68.92,51,74,-0.24
96,97,T112,Alex Prugh,54,68.85,84,122,-0.19
97,98,151,Sebastián Muñoz,58,68.84,95,138,-0.24
98,99,99,Lucas Glover,62,68.79,119,173,-0.18
99,100,T119,Adam Svensson,51,68.7,79,115,-0.18
100,101,101,Dominic Bozzelli,53,68.69,68,99,-0.44
101,102,T76,Julián Etulain,55,68.6,83,121,-0.18
102,103,103,Kevin Kisner,65,68.53,98,143,-0.29
103,104,110,Bill Haas,58,68.35,95,139,-0.14
104,105,104,Jason Kokrak,68,68.32,110,161,-0.27
105,106,53,Brooks Koepka,49,68.29,56,82,-0.14
106,T107,T105,Adam Long,52,68.21,103,151,-0.19
107,T107,T105,Kevin Streelman,63,68.21,118,173,-0.25
108,109,94,Harold Varner III,62,68.13,109,160,-0.26
109,T110,T134,Dylan Frittelli,55,68.1,79,116,-0.14
110,T110,T107,Charley Hoffman,58,68.1,79,116,-0.30
111,112,111,Justin Harding,31,67.86,19,28,-0.05
112,113,126,Scott Piercy,70,67.76,103,152,-0.25
113,114,T114,Freddie Jacobson,37,67.74,42,62,-0.21
114,115,116,Michael Kim,51,67.71,65,96,-0.20
115,116,117,Emiliano Grillo,65,67.67,90,133,-0.19
116,117,109,Roger Sloan,62,67.66,113,167,-0.25
117,118,118,Louis Oosthuizen,43,67.65,46,68,-0.22
118,119,98,Anders Albertson,48,67.62,71,105,-0.20
119,120,124,Cameron Champ,58,67.44,87,129,-0.20
120,121,125,Andrew Putnam,57,67.42,60,89,-0.38
121,122,T134,Scott Brown,66,67.33,101,150,-0.23
122,123,127,Kyoung-Hoon Lee,72,67.32,103,153,-0.27
123,124,T134,Lucas Bjerregaard,37,67.27,37,55,-0.16
124,125,129,Jason Dufner,56,67.24,78,116,-0.21
125,T126,128,Hank Lebioda,55,67.23,80,119,-0.26
126,T126,121,Chris Stroud,54,67.23,80,119,-0.25
127,128,T143,Denny McCarthy,63,67.12,98,146,-0.21
128,129,131,Brian Gay,79,66.88,105,157,-0.16
129,130,T107,Nick Taylor,70,66.85,123,184,-0.23
130,T131,158,Kyle Jones,49,66.67,68,102,-0.16
131,T131,T134,Grayson Murray,36,66.67,52,78,-0.17
132,T131,146,Brandt Snedeker,68,66.67,80,120,-0.24
133,134,165,Joaquin Niemann,68,66.46,107,161,-0.22
134,135,138,Jordan Spieth,57,66.43,93,140,-0.26
135,136,T112,Russell Henley,56,66.41,85,128,-0.26
136,137,T159,Austin Cook,50,66.37,75,113,-0.23
137,138,148,Sungjae Im,88,66.36,142,214,-0.18
138,139,122,Sepp Straka,48,66.29,59,89,-0.25
139,140,T114,Jonas Blixt,66,66.27,110,166,-0.29
140,141,140,Phil Mickelson,41,66.25,53,80,-0.28
141,142,141,Vaughn Taylor,69,66.23,100,151,-0.31
142,143,142,Abraham Ancer,69,66.21,96,145,-0.18
143,T144,130,Wyndham Clark,61,66.19,92,139,-0.25
144,T144,T143,Billy Horschel,73,66.19,92,139,-0.20
145,146,T159,Zach Johnson,50,66.1,78,118,-0.18
146,147,155,José de Jesús Rodríguez,51,66.06,72,109,-0.19
147,148,147,Patrick Cantlay,49,65.98,64,97,-0.23
148,149,133,Kramer Hickok,59,65.79,75,114,-0.19
149,150,132,Jim Knous,55,65.77,73,111,-0.26
150,151,145,Keegan Bradley,65,65.63,84,128,-0.20
151,152,152,Sung Kang,67,65.52,95,145,-0.21
152,153,153,Scott Langley,60,65.47,91,139,-0.20
153,154,154,J.T. Poston,76,65.37,134,205,-0.22
154,155,156,Brendan Steele,50,65.18,73,112,-0.16
155,156,157,Michael Thompson,56,65.16,101,155,-0.29
156,157,T119,Peter Uihlein,65,65.04,80,123,-0.23
157,158,176,Bud Cauley,61,64.9,98,151,-0.17
158,159,150,Matt Every,38,64.86,48,74,-0.15
159,160,171,Tom Hoge,70,64.71,88,136,-0.24
160,T161,163,Kiradech Aphibarnrat,49,64.63,53,82,-0.23
161,T161,161,Seamus Power,58,64.63,95,147,-0.18
162,163,175,Ollie Schniederjans,63,64.54,91,141,-0.19
163,T164,T166,Tommy Fleetwood,43,64.29,45,70,-0.11
164,T164,T166,Chez Reavie,67,64.29,72,112,-0.31
165,166,169,"Ted Potter, Jr.",56,64.04,73,114,-0.25
166,167,162,Brady Schnell,38,64.0,48,75,-0.21
167,168,123,Nate Lashley,44,63.95,55,86,-0.25
168,169,172,Matthew Fitzpatrick,42,63.86,53,83,-0.21
169,170,T177,Graeme McDowell,61,63.64,77,121,-0.19
170,T171,T173,Max Homa,61,63.58,96,151,-0.24
171,T171,T173,Beau Hossler,66,63.58,96,151,-0.18
172,173,170,Brandon Harkins,67,63.45,92,145,-0.21
173,174,T177,Jon Rahm,51,63.37,64,101,-0.22
174,T175,186,Sergio Garcia,39,63.16,48,76,-0.27
175,T175,179,Justin Rose,42,63.16,48,76,-0.21
176,T175,999,Tyrone Van Aswegen,30,63.16,36,57,-0.11
177,178,149,Whee Kim,57,63.1,53,84,-0.30
178,179,180,Luke List,52,63.08,82,130,-0.18
179,180,181,Sam Burns,66,63.04,116,184,-0.24
180,181,168,Alex Cejka,41,63.01,46,73,-0.22
181,182,194,Kelly Kraft,67,62.83,71,113,-0.23
182,183,185,Rafa Cabrera Bello,57,62.64,57,91,-0.25
183,184,184,Cody Gribble,52,62.5,75,120,-0.27
184,185,999,Martin Piller,30,62.26,33,53,-0.18
185,186,999,Shane Lowry,30,62.07,36,58,-0.28
186,187,187,Haotong Li,32,61.82,34,55,-0.09
187,188,189,Anirban Lahiri,54,61.47,67,109,-0.18
188,189,192,Sam Saunders,53,61.38,89,145,-0.16
189,190,190,D.A. Points,33,61.36,27,44,-0.11
190,191,182,Cameron Davis,54,61.32,65,106,-0.15
191,192,191,Daniel Berger,48,61.29,76,124,-0.29
192,193,183,Curtis Luck,51,61.05,58,95,-0.29
193,194,197,Ben Crane,41,61.04,47,77,-0.06
194,195,195,Hudson Swafford,59,60.96,89,146,-0.18
195,196,188,Seth Reeves,52,60.87,70,115,-0.11
196,197,193,Peter Malnati,64,60.82,104,171,-0.21
197,198,164,Rod Pampling,40,60.81,45,74,-0.18
198,199,200,Jim Herman,37,60.49,49,81,-0.27
199,200,196,Si Woo Kim,65,60.44,55,91,-0.15
200,201,205,Stephan Jaeger,59,59.68,74,124,-0.15
201,202,198,Martin Kaymer,38,59.57,56,94,-0.27
202,203,199,Alex Noren,49,58.89,53,90,-0.15
203,204,201,Branden Grace,62,58.82,50,85,-0.18
204,205,202,Patrick Reed,53,58.7,54,92,-0.28
205,T206,T203,Patton Kizzire,58,58.33,70,120,-0.27
206,T206,T203,Xander Schauffele,55,58.33,63,108,-0.19
207,208,206,Charl Schwartzel,34,57.14,20,35,E
208,209,207,Martin Trainer,51,53.76,50,93,-0.22
