,Approach_125-150_yards_RTP_Score_RANK THIS WEEK,Approach_125-150_yards_RTP_Score_RANK LAST WEEK,Approach_125-150_yards_RTP_Score_PLAYER NAME,Approach_125-150_yards_RTP_Score_ROUNDS,Approach_125-150_yards_RTP_Score_AVG RTP
0,1,1,Dominic Bozzelli,53,-.373
1,2,2,Stewart Cink,33,-.303
2,3,4,Webb Simpson,53,-.268
3,4,5,Kevin Na,54,-.250
4,5,T6,Ryan Moore,54,-.240
5,6,17,Dustin Johnson,47,-.230
6,7,11,Andrew Putnam,57,-.222
7,8,10,John Chin,38,-.220
8,9,T12,Troy Merritt,42,-.217
9,10,15,C.T. Pan,64,-.214
10,11,3,David Hearn,41,-.213
11,12,16,Phil Mickelson,41,-.212
12,13,T12,Sergio Garcia,39,-.208
13,14,T12,Chris Thompson,34,-.207
14,15,T47,Rory McIlroy,50,-.205
15,16,T19,Patrick Rodgers,44,-.204
16,T17,T6,Roberto Castro,54,-.202
17,T17,T21,Jason Kokrak,68,-.202
18,T17,T21,Brian Stuard,76,-.202
19,20,23,Matt Wallace,31,-.200
20,21,24,Rory Sabbatini,71,-.196
21,22,T26,Hank Lebioda,55,-.195
22,23,8,Corey Conners,62,-.194
23,24,25,Hideki Matsuyama,59,-.191
24,25,T26,Byeong Hun An,54,-.190
25,T26,T28,Charley Hoffman,58,-.188
26,T26,T28,Adam Scott,41,-.188
27,28,T19,Fabián Gómez,44,-.186
28,29,9,Justin Thomas,49,-.183
29,30,30,John Huh,35,-.182
30,31,18,Julián Etulain,55,-.181
31,32,31,Charles Howell III,64,-.180
32,33,33,Chez Reavie,67,-.176
33,34,34,Cameron Smith,55,-.175
34,35,32,Tom Hoge,70,-.172
35,36,35,Sam Ryder,52,-.169
36,37,T40,Brian Harman,67,-.163
37,38,T37,Bryson DeChambeau,45,-.161
38,T39,T54,Peter Malnati,64,-.156
39,T39,46,Harold Varner III,62,-.156
40,T41,T37,Seamus Power,58,-.154
41,T41,T61,Henrik Stenson,46,-.154
42,T41,T42,Michael Thompson,56,-.154
43,44,44,Chris Kirk,47,-.152
44,T45,59,Sangmoon Bae,42,-.151
45,T45,T64,Roberto Díaz,51,-.151
46,47,45,Kiradech Aphibarnrat,49,-.150
47,48,T42,Chase Wright,53,-.149
48,49,60,Adam Schenk,80,-.148
49,T50,T70,Scott Brown,66,-.147
50,T50,T40,Johnson Wagner,45,-.147
51,52,58,Ryan Palmer,56,-.146
52,T53,T47,Lucas Glover,62,-.145
53,T53,56,Curtis Luck,51,-.145
54,55,49,Vaughn Taylor,69,-.144
55,T56,T50,Russell Knox,65,-.143
56,T56,39,Brady Schnell,38,-.143
