,Approaches_from_50-125_yards_RANK THIS WEEK,Approaches_from_50-125_yards_RANK LAST WEEK,Approaches_from_50-125_yards_PLAYER NAME,Approaches_from_50-125_yards_ROUNDS,Approaches_from_50-125_yards_AVG,Approaches_from_50-125_yards_TOTAL DISTANCE (FEET),Approaches_from_50-125_yards_# OF ATTEMPTS,Approaches_from_50-125_yards_RELATIVE TO PAR
0,1,1,Justin Rose,42,"15' 1""",861.0,57,-14
1,2,T3,Sergio Garcia,39,"15' 8""",769.5,49,-10
2,T3,T5,Adam Scott,41,"15' 10""",474.5,30,-4
3,T3,T5,Brian Stuard,76,"15' 10""",2323.667,147,-28
4,T3,T5,Vaughn Taylor,69,"15' 10""",2729.667,172,-45
5,6,T5,Sebastián Muñoz,58,"16' 0""",1183.5,74,-15
6,7,2,Jim Furyk,53,"16' 1""",1692.8329999999999,105,-22
7,8,999,Tyrone Van Aswegen,30,"16' 3""",845.5830000000001,52,+2
8,9,10,Hideki Matsuyama,59,"16' 5""",1100.333,67,-9
9,T10,T16,Nate Lashley,44,"16' 8""",1564.3329999999999,94,-22
10,T10,9,Rod Pampling,40,"16' 8""",933.9169999999999,56,-11
11,12,11,Kevin Streelman,63,"16' 9""",2131.0,127,-19
12,13,12,Jason Day,45,"16' 10""",1077.5,64,-16
13,T14,T14,Chesson Hadley,58,"17' 0""",1822.4170000000001,107,-9
14,T14,T14,Charles Howell III,64,"17' 0""",1887.8329999999999,111,-17
15,T16,13,Joaquin Niemann,68,"17' 1""",2508.75,147,-19
16,T16,T16,Pat Perez,52,"17' 1""",1042.583,61,-5
17,T18,T18,Chris Kirk,47,"17' 2""",1302.75,76,-11
18,T18,T18,Russell Knox,65,"17' 2""",2264.167,132,-18
19,T18,T21,Trey Mullinax,67,"17' 2""",2078.917,121,-21
20,T18,T18,Kevin Na,54,"17' 2""",1135.083,66,-10
21,T22,T21,Emiliano Grillo,65,"17' 3""",1396.8329999999999,81,-7
22,T22,T21,Louis Oosthuizen,43,"17' 3""",999.5,58,-4
23,T22,T24,Ben Silverman,54,"17' 3""",2057.167,119,-19
24,T22,T3,Justin Thomas,49,"17' 3""",1308.0,76,-13
25,26,T24,Corey Conners,62,"17' 4""",2673.167,154,-23
26,T27,T29,Rickie Fowler,54,"17' 5""",1550.4170000000001,89,-22
27,T27,T24,Martin Trainer,51,"17' 5""",2003.3329999999999,115,-17
28,29,T31,"Ted Potter, Jr.",56,"17' 6""",2052.25,117,-3
29,T30,T33,Lucas Glover,62,"17' 7""",2175.583,124,-9
30,T30,T33,Justin Harding,31,"17' 7""",509.667,29,-6
31,T30,T29,Alex Prugh,54,"17' 7""",2022.8329999999999,115,-28
32,T30,T33,Sam Ryder,52,"17' 7""",1514.75,86,-23
33,T30,T24,Peter Uihlein,65,"17' 7""",1758.4170000000001,100,-14
34,T35,T36,Byeong Hun An,54,"17' 8""",936.8330000000001,53,-1
35,T35,T68,Ben Crane,41,"17' 8""",1166.75,66,-14
36,T35,T36,John Huh,35,"17' 8""",917.4169999999999,52,-8
37,T35,T106,Brooks Koepka,49,"17' 8""",987.0830000000001,56,-9
38,T35,T40,Peter Malnati,64,"17' 8""",2191.75,124,-36
39,T35,T36,Chez Reavie,67,"17' 8""",1923.75,109,-12
40,T35,T57,Chris Thompson,34,"17' 8""",1008.5,57,-9
41,T42,T46,Roberto Castro,54,"17' 9""",1864.5,105,-13
42,T42,T57,Jim Knous,55,"17' 9""",1599.9170000000001,90,-7
43,T44,T43,Bronson Burgoon,37,"17' 10""",1319.0829999999999,74,-2
44,T44,T43,Sung Kang,67,"17' 10""",2123.75,119,-22
45,T44,T43,Michael Thompson,56,"17' 10""",2123.333,119,-19
46,T47,T63,Kyle Jones,49,"17' 11""",1685.0,94,-24
47,T47,T46,Xander Schauffele,55,"17' 11""",1237.75,69,-11
48,T49,T57,Brandon Harkins,67,"18' 0""",1978.1670000000001,110,-26
49,T49,51,Matt Kuchar,65,"18' 0""",2498.833,139,-34
50,51,T36,Nick Watney,67,"18' 1""",2463.583,136,-15
51,T52,T52,Patrick Cantlay,49,"18' 2""",1631.75,90,-22
52,T52,T57,Adam Hadwin,66,"18' 2""",2145.917,118,-20
53,T52,T52,J.T. Poston,76,"18' 2""",2620.0,144,-26
54,T52,T52,Cameron Smith,55,"18' 2""",1306.583,72,-4
55,T52,T68,Shawn Stefani,57,"18' 2""",1219.5,67,+2
56,T57,T52,Ryan Armour,66,"18' 3""",2371.0,130,-18
57,T57,T40,Bud Cauley,61,"18' 3""",2136.917,117,-18
58,T57,T88,J.B. Holmes,54,"18' 3""",1332.3329999999999,73,-13
59,T57,T57,Adam Long,52,"18' 3""",1893.6670000000001,104,-6
60,T57,T75,Adam Svensson,51,"18' 3""",1734.75,95,-18
61,T62,T63,Aaron Baddeley,51,"18' 4""",1430.5829999999999,78,-12
62,T62,T63,Paul Casey,51,"18' 4""",1139.0,62,-14
63,T62,T63,Branden Grace,62,"18' 4""",1741.5829999999999,95,-12
64,T62,T63,Charl Schwartzel,34,"18' 4""",457.583,25,-3
65,T62,T52,Hudson Swafford,59,"18' 4""",2109.833,115,-2
66,T62,72,Kevin Tway,62,"18' 4""",2275.75,124,-10
67,T62,50,Jimmy Walker,61,"18' 4""",1780.75,97,-11
68,T69,T57,Talor Gooch,37,"18' 5""",1067.75,58,-8
69,T69,T46,Jim Herman,37,"18' 5""",1399.5829999999999,76,-15
70,T71,T31,Dylan Frittelli,55,"18' 6""",1796.0,97,-20
71,T71,T68,Roger Sloan,62,"18' 6""",2259.917,122,-15
72,T71,T78,Robert Streb,60,"18' 6""",1816.0,98,-9
73,T74,T73,Charley Hoffman,58,"18' 7""",1448.75,78,-4
74,T74,T68,Whee Kim,57,"18' 7""",1228.333,66,-1
75,T74,T73,Si Woo Kim,65,"18' 7""",1545.0,83,-19
76,T77,T117,Jonathan Byrd,43,"18' 8""",1266.917,68,-9
77,T77,T75,Alex Cejka,41,"18' 8""",1215.667,65,-8
78,T77,T46,Roberto Díaz,51,"18' 8""",1496.3329999999999,80,-10
79,T80,T78,Stewart Cink,33,"18' 9""",862.8330000000001,46,-7
80,T80,T88,Zach Johnson,50,"18' 9""",1709.1670000000001,91,-17
81,T82,T82,Jason Dufner,56,"18' 10""",1961.0829999999999,104,-2
82,T82,T92,Julián Etulain,55,"18' 10""",1598.4170000000001,85,-13
83,T82,T117,Matt Every,38,"18' 10""",1240.333,66,-19
84,T82,T40,Joey Garber,44,"18' 10""",1110.583,59,-9
85,T82,T82,Max Homa,61,"18' 10""",1961.4170000000001,104,-8
86,T82,T82,Francesco Molinari,41,"18' 10""",1373.4170000000001,73,-7
87,T88,T101,Cameron Davis,54,"18' 11""",1742.75,92,-16
88,T88,T97,Hank Lebioda,55,"18' 11""",1795.75,95,-19
89,T88,999,Shane Lowry,30,"18' 11""",1174.917,62,-8
90,T88,T82,Denny McCarthy,63,"18' 11""",1988.4170000000001,105,-18
91,T88,T82,Ryan Palmer,56,"18' 11""",1718.25,91,-18
92,T88,999,Martin Piller,30,"18' 11""",871.1669999999999,46,-2
93,T94,T92,Kiradech Aphibarnrat,49,"19' 0""",1501.5829999999999,79,-12
94,T94,T92,Beau Hossler,66,"19' 0""",2428.917,128,-15
95,T94,T92,Anirban Lahiri,54,"19' 0""",1707.3329999999999,90,-13
96,T94,T88,Rory McIlroy,50,"19' 0""",1558.9170000000001,82,-14
97,T94,T78,Scott Piercy,70,"19' 0""",2654.333,140,-28
98,T94,T75,Ollie Schniederjans,63,"19' 0""",2067.417,109,-15
99,T94,T78,Scott Stallings,63,"19' 0""",1935.1670000000001,102,-9
100,T101,T97,Keegan Bradley,65,"19' 1""",1962.75,103,-4
101,T101,96,Ryan Moore,54,"19' 1""",1963.0829999999999,103,-18
102,T101,T97,Adam Schenk,80,"19' 1""",3010.667,158,-26
103,104,T121,Brice Garnett,63,"19' 2""",2143.083,112,-8
104,T105,T101,Sam Burns,66,"19' 3""",2217.333,115,-16
105,T105,T88,Wes Roach,45,"19' 3""",1388.4170000000001,72,-15
106,T105,T101,Rory Sabbatini,71,"19' 3""",2345.667,122,-26
107,T105,T119,Sam Saunders,53,"19' 3""",2177.0,113,-12
108,T105,T121,Brandt Snedeker,68,"19' 3""",2269.083,118,-24
109,T105,T82,Cameron Tringale,52,"19' 3""",1560.5829999999999,81,-6
110,T105,T101,Gary Woodland,63,"19' 3""",1711.5829999999999,89,-12
111,T112,T101,Brian Gay,79,"19' 4""",3290.0,170,-32
112,T112,T111,Sungjae Im,88,"19' 4""",3270.75,169,-31
113,T112,T106,Jason Kokrak,68,"19' 4""",2030.3329999999999,105,-11
114,T112,T97,Danny Lee,66,"19' 4""",1933.1670000000001,100,-13
115,T112,T106,Jon Rahm,51,"19' 4""",1547.8329999999999,80,-11
116,T112,T106,John Senden,39,"19' 4""",1197.917,62,-8
117,T112,T106,J.J. Spaun,68,"19' 4""",2219.583,115,-28
118,T119,T121,Wyndham Clark,61,"19' 5""",2042.6670000000001,105,-20
119,T119,T111,Matthew Fitzpatrick,42,"19' 5""",1298.25,67,-10
120,T119,T137,Kelly Kraft,67,"19' 5""",2137.5,110,-15
121,T119,T111,Andrew Putnam,57,"19' 5""",1840.6670000000001,95,-14
122,T119,T121,Webb Simpson,53,"19' 5""",1668.5,86,-9
123,T119,T111,Jordan Spieth,57,"19' 5""",1999.3329999999999,103,-24
124,T125,T111,Lucas Bjerregaard,37,"19' 7""",803.6669999999999,41,E
125,T125,134,Bill Haas,58,"19' 7""",2036.3329999999999,104,-13
126,T125,T111,David Hearn,41,"19' 7""",1135.667,58,+1
127,T125,T119,Matt Jones,67,"19' 7""",1564.75,80,-14
128,T125,T121,Aaron Wise,52,"19' 7""",1934.75,99,-10
129,T130,T143,Scott Brown,66,"19' 8""",1888.0,96,-13
130,T130,T128,Seamus Power,58,"19' 8""",1891.25,96,-3
131,T130,T162,Danny Willett,47,"19' 8""",1219.167,62,-11
132,T130,T121,Tiger Woods,31,"19' 8""",845.75,43,-4
