,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Brooks Koepka,49,90.91,50,55,-0.36
1,2,2,Hideki Matsuyama,59,89.36,42,47,-0.24
2,3,3,Corey Conners,62,88.6,101,114,-0.28
3,4,4,Chris Kirk,47,87.76,43,49,-0.23
4,T5,T5,Paul Casey,51,87.5,35,40,-0.23
5,T5,T5,Charles Howell III,64,87.5,70,80,-0.27
6,7,8,Andrew Putnam,57,85.25,52,61,-0.19
7,8,11,Jim Furyk,53,85.23,75,88,-0.31
8,9,7,Brice Garnett,63,84.62,66,78,-0.14
9,10,10,Tiger Woods,31,84.38,27,32,-0.26
10,11,9,Joaquin Niemann,68,83.19,99,119,-0.28
11,12,T13,Kevin Streelman,63,83.02,88,106,-0.3
12,13,T13,Dominic Bozzelli,53,82.81,53,64,-0.19
13,14,26,Ben Silverman,54,82.69,86,104,-0.27
14,15,T23,Chris Thompson,34,82.61,38,46,-0.18
15,16,18,Kevin Na,54,82.35,42,51,-0.29
16,17,19,Kyle Stanley,53,82.26,51,62,-0.18
17,18,21,D.A. Points,33,81.82,27,33,-0.19
18,19,22,Beau Hossler,66,81.65,89,109,-0.27
19,20,16,Denny McCarthy,63,81.61,71,87,-0.21
20,21,32,Adam Svensson,51,81.43,57,70,-0.18
21,22,29,Ben Crane,41,81.4,35,43,-0.31
22,T23,34,Brandon Harkins,67,81.25,78,96,-0.28
23,T23,999,Martin Piller,30,81.25,26,32,-0.19
24,25,20,Nate Lashley,44,81.08,60,74,-0.28
25,26,T13,J.J. Henry,42,81.03,47,58,-0.19
26,27,36,Nick Watney,67,81.0,81,100,-0.23
27,28,27,Sebastián Muñoz,58,80.7,46,57,-0.24
28,29,T39,Danny Willett,47,80.39,41,51,-0.32
29,30,T47,Harris English,72,80.37,86,107,-0.24
30,31,31,Xander Schauffele,55,80.33,49,61,-0.12
31,32,33,"Ted Potter, Jr.",56,80.25,65,81,-0.18
32,T33,35,James Hahn,34,80.0,28,35,-0.32
33,T33,T23,Rod Pampling,40,80.0,36,45,-0.19
34,35,25,Johnson Wagner,45,79.71,55,69,-0.33
35,36,46,Wyndham Clark,61,79.59,78,98,-0.27
36,37,41,Billy Horschel,73,79.49,62,78,-0.15
37,38,28,Jonas Blixt,66,79.44,85,107,-0.28
38,39,84,Jimmy Walker,61,79.07,68,86,-0.15
39,40,44,Emiliano Grillo,65,79.03,49,62,-0.27
40,41,63,Webb Simpson,53,78.79,52,66,-0.17
41,42,45,Tony Finau,61,78.75,63,80,-0.25
42,43,30,Bud Cauley,61,78.65,70,89,-0.26
43,T44,T47,Matthew Fitzpatrick,42,78.57,33,42,-0.45
44,T44,17,Matt Kuchar,65,78.57,66,84,-0.3
45,46,49,Anirban Lahiri,54,78.46,51,65,-0.39
46,47,50,Vaughn Taylor,69,78.38,87,111,-0.44
47,48,51,Matt Jones,67,78.31,65,83,-0.26
48,49,52,Rory Sabbatini,71,78.13,75,96,-0.29
49,50,53,Ryan Moore,54,78.08,57,73,-0.39
50,51,42,Ryan Armour,66,78.0,78,100,-0.31
51,52,55,C.T. Pan,64,77.91,67,86,-0.15
52,T53,T73,Russell Henley,56,77.78,56,72,-0.27
53,T53,43,Scott Piercy,70,77.78,84,108,-0.36
54,55,57,Chez Reavie,67,77.63,59,76,-0.27
55,T56,T58,Freddie Jacobson,37,77.5,31,40,-0.29
56,T56,T58,Michael Thompson,56,77.5,62,80,-0.35
57,58,60,Kyoung-Hoon Lee,72,77.38,65,84,-0.29
58,59,62,Aaron Baddeley,51,77.27,51,66,-0.31
59,60,T94,Carlos Ortiz,60,77.22,61,79,-0.21
60,61,T64,Brian Stuard,76,77.08,74,96,-0.32
61,62,T67,Patrick Cantlay,49,76.92,60,78,-0.32
62,63,61,Alex Prugh,54,76.83,63,82,-0.22
63,64,70,Jason Day,45,76.79,43,56,-0.3
64,65,T71,Si Woo Kim,65,76.62,59,77,-0.31
65,66,T71,Chase Wright,53,76.54,62,81,-0.23
66,T67,T39,Joey Garber,44,76.47,39,51,-0.31
67,T67,T73,Haotong Li,32,76.47,26,34,-0.19
68,T67,83,J.J. Spaun,68,76.47,78,102,-0.33
69,70,78,Jason Dufner,56,76.39,55,72,-0.25
70,71,T80,Kevin Kisner,65,76.25,61,80,-0.3
71,72,82,Russell Knox,65,76.19,64,84,-0.2
72,73,66,Brian Gay,79,76.15,83,109,-0.35
73,74,T80,Scott Langley,60,76.14,67,88,-0.34
74,T75,128,Sangmoon Bae,42,76.09,35,46,-0.09
75,T75,T73,Tyler Duncan,66,76.09,70,92,-0.2
76,T77,T100,Dylan Frittelli,55,76.06,54,71,-0.3
77,T77,T67,Josh Teater,47,76.06,54,71,-0.24
78,79,T67,Tom Hoge,70,76.04,73,96,-0.29
79,T80,12,Lucas Bjerregaard,37,76.0,19,25,-0.05
80,T80,T85,Chesson Hadley,58,76.0,76,100,-0.26
81,T80,T85,Justin Rose,42,76.0,38,50,-0.29
82,83,87,Lucas Glover,62,75.96,79,104,-0.27
83,84,T73,Peter Uihlein,65,75.95,60,79,-0.2
84,T85,96,Martin Laird,60,75.86,66,87,-0.26
85,T85,89,Patrick Reed,53,75.86,44,58,-0.25
86,87,37,Wes Roach,45,75.76,50,66,-0.34
87,T88,T91,Roberto Castro,54,75.68,56,74,-0.27
88,T88,T94,Pat Perez,52,75.68,28,37,-0.43
89,90,97,Francesco Molinari,41,75.51,37,49,-0.16
90,91,113,Hudson Swafford,59,75.49,77,102,-0.31
91,92,98,Cameron Smith,55,75.47,40,53,-0.33
92,93,38,Justin Thomas,49,75.41,46,61,-0.39
93,T94,124,Cameron Davis,54,75.0,57,76,-0.26
94,T94,T64,Talor Gooch,37,75.0,42,56,-0.29
95,T94,54,Jim Knous,55,75.0,54,72,-0.22
96,T94,999,Shane Lowry,30,75.0,33,44,-0.21
97,T94,104,Cameron Tringale,52,75.0,57,76,-0.28
98,99,102,Sungjae Im,88,74.8,92,123,-0.3
99,100,T114,Curtis Luck,51,74.6,47,63,-0.32
100,T101,106,Whee Kim,57,74.58,44,59,-0.23
