,Approaches_from_200-225_yards_Rgh_RANK THIS WEEK,Approaches_from_200-225_yards_Rgh_RANK LAST WEEK,Approaches_from_200-225_yards_Rgh_PLAYER NAME,Approaches_from_200-225_yards_Rgh_ROUNDS,Approaches_from_200-225_yards_Rgh_AVG,Approaches_from_200-225_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_Rgh_# OF ATTEMPTS,Approaches_from_200-225_yards_Rgh_RELATIVE TO PAR
0,1,1,Ollie Schniederjans,63,"30' 4""",182.0,6,-2
1,2,2,Troy Merritt,42,"39' 4""",236.0,6,E
2,3,999,Tyrone Van Aswegen,30,"41' 0""",163.917,4,E
3,4,3,Austin Cook,50,"42' 1""",252.583,6,-2
4,5,4,Josh Teater,47,"42' 4""",211.5,5,E
5,6,5,Matt Every,38,"44' 2""",132.583,3,+1
6,7,6,Scott Piercy,70,"46' 11""",938.5830000000001,20,+3
7,8,7,Kevin Streelman,63,"47' 0""",564.1669999999999,12,+4
8,9,8,James Hahn,34,"47' 2""",141.417,3,-2
9,10,9,Abraham Ancer,69,"47' 7""",476.167,10,+1
10,11,10,Tommy Fleetwood,43,"48' 4""",241.833,5,-2
11,12,11,Dylan Frittelli,55,"49' 2""",540.75,11,E
12,T13,T13,Danny Lee,66,"49' 10""",747.4169999999999,15,+1
13,T13,T13,Ryan Palmer,56,"49' 10""",249.083,5,E
14,15,16,Chase Wright,53,"50' 5""",302.33299999999997,6,-2
15,16,17,Rafa Cabrera Bello,57,"51' 2""",512.0,10,+1
16,17,18,Kyoung-Hoon Lee,72,"51' 8""",826.75,16,+2
17,18,T25,Sepp Straka,48,"52' 2""",730.3330000000001,14,-1
18,19,12,Cameron Davis,54,"52' 3""",835.5830000000001,16,-6
19,20,15,Harold Varner III,62,"52' 4""",575.5830000000001,11,-2
20,21,20,Whee Kim,57,"52' 6""",525.1669999999999,10,+2
21,22,21,Russell Knox,65,"52' 9""",949.5830000000001,18,E
22,T23,22,Paul Casey,51,"53' 1""",477.583,9,E
23,T23,T37,Sergio Garcia,39,"53' 1""",583.9169999999999,11,+4
24,T25,T23,Hudson Swafford,59,"53' 9""",860.0,16,-2
25,T25,T23,Vaughn Taylor,69,"53' 9""",914.1669999999999,17,+4
26,27,63,Daniel Berger,48,"54' 1""",487.083,9,-1
27,28,T25,Matt Wallace,31,"54' 3""",379.833,7,E
28,29,28,Martin Laird,60,"54' 6""",762.6669999999999,14,E
29,30,29,Adam Long,52,"54' 8""",437.583,8,E
30,31,30,Joel Dahmen,78,"54' 9""",1149.417,21,-3
31,32,31,Patrick Cantlay,49,"54' 10""",876.75,16,+3
32,33,32,Max Homa,61,"55' 1""",881.4169999999999,16,-4
33,T34,33,John Chin,38,"55' 5""",609.5830000000001,11,+4
34,T34,41,Dustin Johnson,47,"55' 5""",720.3330000000001,13,-2
35,36,35,Louis Oosthuizen,43,"55' 9""",223.0,4,+3
36,37,36,Chris Stroud,54,"55' 10""",838.0,15,+3
37,38,T37,Matt Kuchar,65,"55' 11""",726.6669999999999,13,+3
38,39,39,Kyle Stanley,53,"56' 4""",338.083,6,E
39,40,40,Cameron Champ,58,"56' 5""",1411.1670000000001,25,+2
40,41,T25,Justin Thomas,49,"56' 7""",961.6669999999999,17,-1
41,42,42,Lucas Glover,62,"56' 8""",170.0,3,E
42,43,43,Ernie Els,43,"57' 0""",798.25,14,+4
43,T44,T44,Sangmoon Bae,42,"57' 1""",342.417,6,+1
44,T44,T44,Patton Kizzire,58,"57' 1""",513.6669999999999,9,+1
45,46,T46,Beau Hossler,66,"57' 2""",1199.833,21,+9
46,47,48,Pat Perez,52,"57' 3""",629.3330000000001,11,+1
47,T48,T49,Keith Mitchell,64,"57' 6""",1150.5,20,-1
