,Approaches_from_150-175_yards_Rgh_RANK THIS WEEK,Approaches_from_150-175_yards_Rgh_RANK LAST WEEK,Approaches_from_150-175_yards_Rgh_PLAYER NAME,Approaches_from_150-175_yards_Rgh_ROUNDS,Approaches_from_150-175_yards_Rgh_AVG,Approaches_from_150-175_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_150-175_yards_Rgh_# OF ATTEMPTS,Approaches_from_150-175_yards_Rgh_RELATIVE TO PAR
0,1,1,Marc Leishman,52,"28' 1""",787.4169999999999,28,-8
1,2,2,"Ted Potter, Jr.",56,"28' 10""",1037.417,36,-3
2,3,T9,Henrik Stenson,46,"31' 9""",571.1669999999999,18,+5
3,4,5,Justin Harding,31,"32' 0""",127.917,4,+2
4,5,6,Hunter Mahan,45,"32' 1""",737.5,23,-3
5,6,7,Kevin Streelman,63,"32' 6""",909.4169999999999,28,+1
6,7,3,Rory McIlroy,50,"32' 7""",1108.75,34,E
7,8,999,Tyrone Van Aswegen,30,"32' 9""",490.75,15,+1
8,9,8,Kevin Na,54,"32' 10""",591.0830000000001,18,+6
9,10,15,Justin Thomas,49,"33' 0""",925.0830000000001,28,+1
10,11,11,Tyrrell Hatton,46,"33' 2""",597.5830000000001,18,E
11,12,T12,Aaron Baddeley,51,"33' 4""",1298.583,39,E
12,13,14,D.A. Points,33,"33' 8""",370.667,11,+1
13,14,18,Brandon Harkins,67,"33' 10""",1388.5829999999999,41,+4
14,T15,16,Haotong Li,32,"34' 0""",442.0,13,-1
15,T15,T9,Jimmy Walker,61,"34' 0""",1495.75,44,+7
16,17,T12,David Hearn,41,"34' 2""",752.0830000000001,22,+3
17,18,17,Troy Merritt,42,"34' 3""",548.25,16,E
18,19,19,Dustin Johnson,47,"34' 6""",690.0830000000001,20,-4
19,20,21,Matt Wallace,31,"34' 10""",627.5830000000001,18,E
20,21,23,Russell Knox,65,"35' 1""",1227.583,35,+1
21,22,20,Cameron Tringale,52,"35' 3""",1235.083,35,+3
22,T23,T24,Patton Kizzire,58,"35' 5""",1133.333,32,+6
23,T23,T24,John Senden,39,"35' 5""",673.5830000000001,19,+4
24,25,27,Andrew Landry,56,"35' 6""",852.9169999999999,24,+7
25,26,T24,Adam Schenk,80,"35' 7""",1637.4170000000001,46,+5
26,27,28,Patrick Cantlay,49,"35' 8""",713.6669999999999,20,+2
27,28,29,Jason Kokrak,68,"35' 9""",1786.3329999999999,50,+6
28,29,T34,Sergio Garcia,39,"36' 4""",690.8330000000001,19,+8
29,30,33,Xander Schauffele,55,"36' 5""",800.5830000000001,22,-1
30,31,T34,Michael Thompson,56,"36' 6""",1351.3329999999999,37,+5
31,32,37,Jhonattan Vegas,60,"36' 10""",1437.6670000000001,39,E
32,33,39,Matt Kuchar,65,"36' 11""",1330.0829999999999,36,+2
33,T34,38,Lucas Glover,62,"37' 1""",1370.5829999999999,37,-2
34,T34,T68,Talor Gooch,37,"37' 1""",1260.417,34,+4
35,T36,T40,Ernie Els,43,"37' 4""",895.0,24,+5
36,T36,31,Shawn Stefani,57,"37' 4""",1529.25,41,+3
37,T36,T40,Brian Stuard,76,"37' 4""",1566.6670000000001,42,+7
38,39,42,Jon Rahm,51,"37' 5""",674.1669999999999,18,+3
39,T40,T49,Cameron Davis,54,"37' 6""",1200.583,32,+3
40,T40,T43,Tony Finau,61,"37' 6""",1200.583,32,+4
41,T40,T43,Bill Haas,58,"37' 6""",1088.25,29,+3
42,43,45,Jim Knous,55,"37' 9""",1284.833,34,+6
43,44,46,Roger Sloan,62,"37' 10""",1626.25,43,+7
44,T45,73,Wes Roach,45,"37' 11""",1023.1669999999999,27,+5
45,T45,T59,Danny Willett,47,"37' 11""",1363.8329999999999,36,+6
46,47,T49,Martin Kaymer,38,"38' 3""",650.8330000000001,17,+1
47,48,T53,Abraham Ancer,69,"38' 4""",1303.5,34,E
48,49,T56,Rickie Fowler,54,"38' 6""",1269.417,33,+2
49,T50,T62,Patrick Rodgers,44,"38' 9""",1356.9170000000001,35,+7
50,T50,T53,Nick Watney,67,"38' 9""",1394.75,36,+6
51,52,64,Chesson Hadley,58,"38' 10""",1436.6670000000001,37,+2
52,53,T49,Jim Furyk,53,"39' 0""",819.8330000000001,21,+2
53,T54,T65,Paul Casey,51,"39' 1""",1015.4169999999999,26,+2
54,T54,T56,Sungjae Im,88,"39' 1""",2229.667,57,+7
55,T56,T71,Michael Kim,51,"39' 4""",1220.417,31,+2
56,T56,T62,Nate Lashley,44,"39' 4""",1257.5,32,+2
57,T56,T53,D.J. Trahan,33,"39' 4""",905.4169999999999,23,+6
58,T59,T71,Martin Laird,60,"39' 5""",1969.4170000000001,50,+2
59,T59,84,Josh Teater,47,"39' 5""",827.75,21,+6
60,61,74,Cameron Champ,58,"39' 7""",1822.25,46,+11
61,T62,76,Si Woo Kim,65,"39' 9""",1232.917,31,+8
62,T62,82,Sebastián Muñoz,58,"39' 9""",1430.1670000000001,36,+5
63,T62,22,Johnson Wagner,45,"39' 9""",1112.75,28,+1
64,T65,T65,Peter Malnati,64,"39' 10""",2073.25,52,+4
65,T65,T49,Brandt Snedeker,68,"39' 10""",1793.9170000000001,45,+2
66,T67,T77,Jim Herman,37,"39' 11""",877.3330000000001,22,+4
67,T67,T115,Brady Schnell,38,"39' 11""",638.6669999999999,16,+2
68,69,79,Jordan Spieth,57,"40' 0""",1720.6670000000001,43,+11
69,T70,T80,Matthew Fitzpatrick,42,"40' 1""",802.0,20,+2
