,Approaches_150-175_yards-Rgh_RTP_RANK THIS WEEK,Approaches_150-175_yards-Rgh_RTP_RANK LAST WEEK,Approaches_150-175_yards-Rgh_RTP_PLAYER NAME,Approaches_150-175_yards-Rgh_RTP_ROUNDS,Approaches_150-175_yards-Rgh_RTP_AVG RTP
0,1,1,Marc Leishman,52,-.286
1,2,2,Tommy Fleetwood,43,-.250
2,3,3,Dustin Johnson,47,-.200
3,4,4,Hunter Mahan,45,-.130
4,5,5,Harris English,72,-.087
5,6,6,"Ted Potter, Jr.",56,-.083
6,7,7,Haotong Li,32,-.077
7,8,8,Lucas Glover,62,-.054
8,9,9,Xander Schauffele,55,-.045
9,T10,T11,Abraham Ancer,69,E
10,T10,T11,Aaron Baddeley,51,E
11,T10,T11,Lucas Bjerregaard,37,E
12,T10,T11,Tyrrell Hatton,46,E
13,T10,T11,Kramer Hickok,59,E
14,T10,T11,Rory McIlroy,50,E
15,T10,T11,Troy Merritt,42,E
16,T10,T11,Jhonattan Vegas,60,E
17,T10,T11,Matt Wallace,31,E
18,19,23,Russell Knox,65,+.029
19,T20,T25,Justin Rose,42,+.036
20,T20,T25,Kevin Streelman,63,+.036
21,T20,78,Justin Thomas,49,+.036
22,T20,10,Johnson Wagner,45,+.036
23,24,22,Martin Laird,60,+.040
24,25,T44,Brandt Snedeker,68,+.044
25,26,T29,Chesson Hadley,58,+.054
26,27,24,Matt Kuchar,65,+.056
27,T28,T33,Martin Kaymer,38,+.059
28,T28,T33,Chez Reavie,67,+.059
29,30,35,Rickie Fowler,54,+.061
30,31,58,Nate Lashley,44,+.063
31,32,37,Michael Kim,51,+.065
32,T33,T38,Francesco Molinari,41,+.067
33,T33,999,Martin Piller,30,+.067
34,T33,999,Tyrone Van Aswegen,30,+.067
35,T36,40,Charles Howell III,64,+.068
36,T36,T29,Peter Uihlein,65,+.068
37,38,T41,Stewart Cink,33,+.069
38,39,43,Luke List,52,+.071
39,40,32,Shawn Stefani,57,+.073
40,41,T11,Aaron Wise,52,+.074
41,T42,T44,Paul Casey,51,+.077
42,T42,81,Peter Malnati,64,+.077
43,44,T46,Sung Kang,67,+.079
44,45,48,Satoshi Kodaira,51,+.080
45,46,T49,Kyoung-Hoon Lee,72,+.083
46,47,T38,Cameron Tringale,52,+.086
47,T48,T41,Brian Gay,79,+.088
48,T48,T114,José de Jesús Rodríguez,51,+.088
49,50,T62,Danny Lee,66,+.089
50,T51,31,Keegan Bradley,65,+.091
51,T51,27,Kyle Jones,49,+.091
52,T51,T51,D.A. Points,33,+.091
53,54,53,Cameron Davis,54,+.094
54,55,28,Jim Furyk,53,+.095
55,56,T54,Chris Stroud,54,+.097
56,57,T46,Brandon Harkins,67,+.098
57,T58,T11,Anders Albertson,48,+.100
58,T58,T54,Patrick Cantlay,49,+.100
59,T58,T54,Matthew Fitzpatrick,42,+.100
60,61,57,Bill Haas,58,+.103
