,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
87,T87,T95,Brandon Harkins,67,"33' 10""",18040.167,533,-0.06
88,T87,T81,Michael Kim,51,"33' 10""",13011.833,385,E
89,T87,T101,Peter Malnati,64,"33' 10""",19727.0,583,-0.13
90,T87,T81,Kevin Na,54,"33' 10""",13580.5,401,-0.09
91,T87,T81,Kevin Streelman,63,"33' 10""",22923.167,677,-0.09
92,T87,T87,Peter Uihlein,65,"33' 10""",14855.583,439,-0.08
93,T94,T70,Anders Albertson,48,"33' 11""",12958.417,382,-0.08
94,T94,T87,Paul Casey,51,"33' 11""",13115.417,387,-0.09
95,T94,T87,Bryson DeChambeau,45,"33' 11""",16063.917,474,-0.11
96,T94,T87,Adam Long,52,"33' 11""",18093.0,534,-0.04
97,T94,T118,Graeme McDowell,61,"33' 11""",16193.417,478,-0.10
98,T94,T87,Webb Simpson,53,"33' 11""",19182.083,566,-0.13
99,T94,T103,Chase Wright,53,"33' 11""",16578.0,489,-0.06
100,T101,T81,Fabián Gómez,44,"34' 0""",12602.667,371,-0.06
101,T101,T93,Branden Grace,62,"34' 0""",13319.333,392,-0.04
102,T101,T129,Cody Gribble,52,"34' 0""",14859.167,437,-0.05
103,T104,T103,Matt Every,38,"34' 1""",10093.833,296,-0.15
104,T104,T95,Tommy Fleetwood,43,"34' 1""",10680.667,313,-0.07
105,T104,T95,Martin Kaymer,38,"34' 1""",13950.083,409,-0.07
106,T104,T95,Louis Oosthuizen,43,"34' 1""",10325.0,303,-0.04
107,T104,T81,Roger Sloan,62,"34' 1""",18613.083,546,-0.05
108,T109,T111,Austin Cook,50,"34' 2""",15326.0,449,-0.05
109,T109,T118,Ben Crane,41,"34' 2""",11425.417,334,-0.06
110,T109,T103,Sergio Garcia,39,"34' 2""",10871.833,318,-0.12
111,T109,T101,James Hahn,34,"34' 2""",6699.5830000000005,196,-0.11
112,T113,T103,Jonas Blixt,66,"34' 3""",21833.583,638,-0.08
113,T113,T103,Sam Burns,66,"34' 3""",21283.25,622,-0.06
114,T113,T103,Sung Kang,67,"34' 3""",21537.417,629,-0.10
115,T113,T126,Jim Knous,55,"34' 3""",13277.833,388,-0.04
116,T113,T103,Patrick Rodgers,44,"34' 3""",14872.333,434,-0.11
117,T113,T115,Robert Streb,60,"34' 3""",17687.583,516,-0.05
118,T119,T111,John Huh,35,"34' 4""",11165.75,325,-0.02
119,T119,T115,Sam Saunders,53,"34' 4""",17437.5,508,-0.07
120,T119,T118,Ollie Schniederjans,63,"34' 4""",15494.583,451,-0.08
121,T119,T123,Shawn Stefani,57,"34' 4""",15935.083,464,-0.06
122,T119,T111,Michael Thompson,56,"34' 4""",22471.25,655,-0.11
123,T119,T111,Bubba Watson,47,"34' 4""",13527.75,394,-0.10
124,T125,T126,Brian Harman,67,"34' 5""",21292.833,619,-0.04
125,T125,T126,Dustin Johnson,47,"34' 5""",12214.0,355,-0.14
126,T125,T115,Francesco Molinari,41,"34' 5""",11013.917,320,-0.06
127,T125,T152,Sepp Straka,48,"34' 5""",12620.917,367,-0.07
128,T125,T167,Cameron Tringale,52,"34' 5""",13235.167,385,-0.06
129,T130,T123,Jim Herman,37,"34' 6""",12051.667,349,-0.04
130,T130,T118,Jhonattan Vegas,60,"34' 6""",18757.667,544,-0.08
131,T132,T123,Rory Sabbatini,71,"34' 7""",22265.75,644,-0.09
132,T132,T131,Richy Werenski,63,"34' 7""",21388.25,619,-0.09
133,T134,T131,Denny McCarthy,63,"34' 8""",20016.917,577,-0.11
134,T134,T129,Carlos Ortiz,60,"34' 8""",19340.667,558,-0.06
135,T136,T131,Cameron Champ,58,"34' 10""",17601.833,505,-0.08
136,T136,T131,Jason Day,45,"34' 10""",9988.167,287,-0.10
137,T136,T155,Ben Silverman,54,"34' 10""",19004.583,545,-0.07
138,139,T144,Cameron Davis,54,"34' 11""",13728.917,393,-0.03
139,T140,T157,Daniel Berger,48,"35' 0""",17500.667,500,-0.06
140,T140,T152,Lucas Bjerregaard,37,"35' 0""",8439.167,241,E
141,T140,T135,Stewart Cink,33,"35' 0""",7904.8330000000005,226,-0.09
142,T140,T135,Matthew Fitzpatrick,42,"35' 0""",12823.75,366,-0.07
143,T140,T135,Chris Kirk,47,"35' 0""",13872.667,396,-0.06
144,T140,T149,Kevin Tway,62,"35' 0""",16397.333,468,-0.07
145,T146,T155,David Hearn,41,"35' 1""",10664.5,304,-0.03
146,T146,138,Ian Poulter,49,"35' 1""",13015.75,371,-0.10
147,T148,T139,Sungjae Im,88,"35' 2""",28716.75,817,-0.12
148,T148,141,Martin Laird,60,"35' 2""",19785.583,563,-0.09
