,Approach_50-75_yards_RTP_Score_RANK THIS WEEK,Approach_50-75_yards_RTP_Score_RANK LAST WEEK,Approach_50-75_yards_RTP_Score_PLAYER NAME,Approach_50-75_yards_RTP_Score_ROUNDS,Approach_50-75_yards_RTP_Score_AVG RTP
0,1,1,Emiliano Grillo,65,-1.000
1,2,2,Cody Gribble,52,-.667
2,3,T3,Jason Day,45,-.600
3,4,5,Alex Cejka,41,-.556
4,5,6,Luke List,52,-.545
5,T6,T7,Bryson DeChambeau,45,-.500
6,T6,T7,Phil Mickelson,41,-.500
7,T6,T7,Grayson Murray,36,-.500
8,T6,T3,Chris Thompson,34,-.500
9,T10,11,Adam Hadwin,66,-.462
10,T10,12,Dustin Johnson,47,-.462
11,12,T13,Carlos Ortiz,60,-.444
12,13,T16,Jhonattan Vegas,60,-.429
13,14,T13,Rory McIlroy,50,-.421
14,15,18,Sam Burns,66,-.417
15,T16,T19,Rickie Fowler,54,-.400
16,T16,T19,Danny Lee,66,-.400
17,T16,T19,Jordan Spieth,57,-.400
18,T16,T19,Chase Wright,53,-.400
19,T20,T23,Paul Casey,51,-.385
20,T20,T23,Pat Perez,52,-.385
21,T22,T25,Aaron Baddeley,51,-.375
22,T22,T25,Bronson Burgoon,37,-.375
23,T22,T16,Justin Thomas,49,-.375
24,25,27,Matt Kuchar,65,-.357
25,26,36,Kevin Tway,62,-.350
26,T27,T28,Rafa Cabrera Bello,57,-.333
27,T27,T28,Kyle Jones,49,-.333
28,T27,T28,Sung Kang,67,-.333
29,T27,T28,D.A. Points,33,-.333
30,T27,T28,Xander Schauffele,55,-.333
31,T27,T28,Adam Svensson,51,-.333
32,T27,T28,Matt Wallace,31,-.333
33,T34,T38,Branden Grace,62,-.308
34,T34,T38,Seth Reeves,52,-.308
35,T36,T40,Ben Crane,41,-.300
36,T36,T13,Brice Garnett,63,-.300
37,T36,T40,John Huh,35,-.300
38,T36,T40,Patton Kizzire,58,-.300
39,T36,T40,Troy Merritt,42,-.300
40,41,T44,Peter Malnati,64,-.286
41,42,37,Robert Streb,60,-.278
42,T43,T47,Tommy Fleetwood,43,-.273
43,T43,T47,Freddie Jacobson,37,-.273
44,T45,T47,Dylan Frittelli,55,-.250
45,T45,T51,Kyoung-Hoon Lee,72,-.250
46,T45,T51,J.J. Spaun,68,-.250
47,T45,T28,Johnson Wagner,45,-.250
48,49,50,Martin Trainer,51,-.238
49,50,T51,Denny McCarthy,63,-.231
50,T51,T60,Roberto Díaz,51,-.222
51,T51,T44,Matt Every,38,-.222
52,T51,T74,Scott Langley,60,-.222
53,T51,T51,Nate Lashley,44,-.222
54,T51,T60,Louis Oosthuizen,43,-.222
55,T51,T60,Ian Poulter,49,-.222
56,T51,T51,Wes Roach,45,-.222
57,T51,T60,Patrick Rodgers,44,-.222
58,59,64,Michael Kim,51,-.214
59,T60,T51,Harris English,72,-.200
60,T60,T66,Whee Kim,57,-.200
61,T60,T51,Rod Pampling,40,-.200
62,T60,T66,Brendan Steele,50,-.200
63,64,65,Trey Mullinax,67,-.190
64,65,T78,Jonas Blixt,66,-.188
65,T66,T70,Matthew Fitzpatrick,42,-.182
66,T66,T70,Cameron Tringale,52,-.182
67,68,73,Andrew Landry,56,-.176
68,T69,T66,Sergio Garcia,39,-.167
69,T69,T112,Sebastián Muñoz,58,-.167
70,T69,999,Martin Piller,30,-.167
71,72,97,Brandt Snedeker,68,-.154
72,73,77,Ollie Schniederjans,63,-.150
73,T74,T74,Scott Brown,66,-.143
74,T74,T78,Cameron Champ,58,-.143
75,T74,T78,Billy Horschel,73,-.143
76,T74,T78,Curtis Luck,51,-.143
77,T74,T78,Justin Rose,42,-.143
78,T74,T78,Sam Ryder,52,-.143
79,T74,T78,Shawn Stefani,57,-.143
80,81,T112,Sungjae Im,88,-.136
81,82,59,Wyndham Clark,61,-.133
82,83,T66,Brian Gay,79,-.130
83,T84,T86,Patrick Cantlay,49,-.125
84,T84,T86,Chris Kirk,47,-.125
85,T84,T86,Ryan Moore,54,-.125
86,T84,T86,Alex Prugh,54,-.125
87,T84,T86,John Senden,39,-.125
88,T84,T86,Kevin Streelman,63,-.125
89,T84,T112,Danny Willett,47,-.125
90,91,93,J.T. Poston,76,-.118
91,T92,T94,Ryan Armour,66,-.111
92,T92,T94,Corey Conners,62,-.111
93,T92,T94,J.B. Holmes,54,-.111
94,95,T44,Ben Silverman,54,-.100
95,T96,T98,Francesco Molinari,41,-.091
96,T96,T98,Andrew Putnam,57,-.091
97,T96,T112,Sam Saunders,53,-.091
98,T96,T98,Jimmy Walker,61,-.091
99,T100,T70,Jonathan Byrd,43,-.083
100,T100,T101,Fabián Gómez,44,-.083
101,T100,T101,Webb Simpson,53,-.083
102,T100,T101,Roger Sloan,62,-.083
103,T104,T104,Tony Finau,61,-.077
104,T104,T104,Bill Haas,58,-.077
105,T106,T106,Keegan Bradley,65,-.071
106,T106,T106,Rory Sabbatini,71,-.071
107,108,109,José de Jesús Rodríguez,51,-.067
108,T109,T110,Kramer Hickok,59,-.059
109,T109,T110,Jon Rahm,51,-.059
110,T111,T78,Dominic Bozzelli,53,E
111,T111,T112,Bud Cauley,61,E
112,T111,T112,Stewart Cink,33,E
113,T111,T112,Joel Dahmen,78,E
114,T111,T112,Cameron Davis,54,E
115,T111,T112,Jason Dufner,56,E
116,T111,T74,Jim Furyk,53,E
117,T111,T112,James Hahn,34,E
118,T111,T112,Justin Harding,31,E
119,T111,T112,Brandon Harkins,67,E
120,T111,T112,Tyrrell Hatton,46,E
121,T111,T112,David Hearn,41,E
122,T111,T112,J.J. Henry,42,E
123,T111,T112,Tom Hoge,70,E
124,T111,T112,Max Homa,61,E
125,T111,T51,Mackenzie Hughes,58,E
126,T111,T112,Stephan Jaeger,59,E
127,T111,T112,Martin Kaymer,38,E
128,T111,T112,Si Woo Kim,65,E
129,T111,T112,Kevin Kisner,65,E
130,T111,T86,Kelly Kraft,67,E
131,T111,T112,Anirban Lahiri,54,E
132,T111,T112,Martin Laird,60,E
133,T111,999,Shane Lowry,30,E
134,T111,T112,Hideki Matsuyama,59,E
135,T111,T112,Graeme McDowell,61,E
136,T111,T112,Keith Mitchell,64,E
137,T111,T112,Kevin Na,54,E
138,T111,T112,Joaquin Niemann,68,E
139,T111,T171,Ryan Palmer,56,E
140,T111,T112,C.T. Pan,64,E
141,T111,T112,Patrick Reed,53,E
142,T111,T112,Adam Schenk,80,E
143,T111,T112,Brady Schnell,38,E
144,T111,T112,Charl Schwartzel,34,E
145,T111,T112,Vaughn Taylor,69,E
146,T111,T112,Josh Teater,47,E
147,T111,T112,Michael Thompson,56,E
148,T111,T112,Nick Watney,67,E
149,T111,T106,Bubba Watson,47,E
150,T111,T112,Tiger Woods,31,E
151,152,153,Beau Hossler,66,+.056
152,153,154,Russell Knox,65,+.059
153,T154,155,Charles Howell III,64,+.067
154,T154,T156,Seamus Power,58,+.067
155,T154,T156,Nick Taylor,70,+.067
156,T157,T158,Chris Stroud,54,+.077
157,T157,T158,Brian Stuard,76,+.077
158,T159,161,Jim Knous,55,+.083
159,T159,160,Scott Piercy,70,+.083
160,T159,T112,Harold Varner III,62,+.083
161,162,T177,Russell Henley,56,+.091
162,T163,T164,Sangmoon Bae,42,+.100
163,T163,T162,Ryan Blaum,67,+.100
164,T163,T162,Adam Long,52,+.100
165,166,166,Aaron Wise,52,+.105
166,T167,T164,Kiradech Aphibarnrat,49,+.111
167,T167,T167,Brooks Koepka,49,+.111
168,T169,T188,Anders Albertson,48,+.125
169,T169,T171,John Chin,38,+.125
170,T169,T167,"Ted Potter, Jr.",56,+.125
171,T169,T180,Peter Uihlein,65,+.125
172,T173,T169,Brian Harman,67,+.133
173,T173,T169,Gary Woodland,63,+.133
174,T175,T171,Kyle Stanley,53,+.143
175,T175,174,Sepp Straka,48,+.143
176,177,T175,Tyler Duncan,66,+.150
177,T178,T175,Matt Jones,67,+.167
178,T178,T112,Alex Noren,49,+.167
179,180,T177,Scott Stallings,63,+.182
180,T181,183,Julián Etulain,55,+.200
181,T181,T177,Lucas Glover,62,+.200
182,T183,T180,Roberto Castro,54,+.214
183,T183,T180,Marc Leishman,52,+.214
184,185,184,Satoshi Kodaira,51,+.231
185,T186,185,Joey Garber,44,+.250
186,T186,T188,Hank Lebioda,55,+.250
187,T186,999,Tyrone Van Aswegen,30,+.250
188,189,186,Abraham Ancer,69,+.259
189,190,187,Jason Kokrak,68,+.273
190,T191,T190,Byeong Hun An,54,+.333
191,T191,T112,Talor Gooch,37,+.333
192,T191,T190,Chesson Hadley,58,+.333
193,T191,T190,Hunter Mahan,45,+.333
194,T191,T190,Chez Reavie,67,+.333
195,T191,T190,Adam Scott,41,+.333
196,T191,T190,Cameron Smith,55,+.333
197,198,T198,Henrik Stenson,46,+.375
198,T199,T204,Lucas Bjerregaard,37,+.400
199,T199,196,Zach Johnson,50,+.400
200,201,197,Hudson Swafford,59,+.455
201,T202,T198,Daniel Berger,48,+.500
202,T202,T198,Jim Herman,37,+.500
203,T202,T198,Charley Hoffman,58,+.500
204,T202,T198,Richy Werenski,63,+.500
205,206,203,Ernie Els,43,+.600
206,207,T204,Haotong Li,32,+.667
207,208,206,Austin Cook,50,+.800
