,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Cody Gribble,52,"48' 7""",291.25,6,-6
1,2,2,Matt Wallace,31,"49' 5""",98.75,2,E
2,3,3,Sam Burns,66,"54' 4""",598.0,11,-4
3,4,4,Daniel Berger,48,"57' 8""",345.833,6,-1
4,5,5,Matt Every,38,"58' 11""",530.0,9,-7
5,6,6,Kevin Na,54,"59' 10""",538.25,9,E
6,7,7,Tony Finau,61,"61' 2""",1039.167,17,-13
7,8,8,Russell Henley,56,"61' 4""",429.417,7,-4
8,9,9,Marc Leishman,52,"62' 1""",434.667,7,-2
9,10,10,Adam Scott,41,"62' 3""",560.0,9,-7
10,11,11,Ollie Schniederjans,63,"64' 0""",384.0,6,-3
11,12,12,Byeong Hun An,54,"64' 4""",450.333,7,-3
12,T13,T13,Chesson Hadley,58,"65' 2""",325.91700000000003,5,E
13,T13,T13,Nick Watney,67,"65' 2""",456.417,7,-4
14,15,15,Gary Woodland,63,"65' 5""",523.25,8,-9
15,16,16,Hank Lebioda,55,"66' 9""",734.4169999999999,11,-9
16,17,18,Trey Mullinax,67,"67' 11""",746.75,11,-7
17,18,19,Tiger Woods,31,"68' 10""",481.583,7,-4
18,T19,T20,Nate Lashley,44,"69' 1""",552.5,8,-8
19,T19,T20,Phil Mickelson,41,"69' 1""",483.583,7,E
20,21,22,Ryan Palmer,56,"69' 10""",698.0,10,-4
21,T22,T23,Si Woo Kim,65,"70' 4""",984.5,14,-8
22,T22,T23,Kevin Tway,62,"70' 4""",914.75,13,-6
23,24,25,Jimmy Walker,61,"70' 8""",565.5,8,-1
24,T25,T26,Sergio Garcia,39,"70' 10""",849.8330000000001,12,-8
25,T25,T26,Brooks Koepka,49,"70' 10""",495.917,7,-5
26,27,28,Chase Wright,53,"70' 11""",779.75,11,-8
27,T28,T29,Matt Jones,67,"71' 1""",1065.833,15,-11
28,T28,T29,Xander Schauffele,55,"71' 1""",710.6669999999999,10,-8
29,30,31,Martin Laird,60,"71' 2""",1066.917,15,-8
30,31,32,Kyle Stanley,53,"71' 3""",783.75,11,-6
31,32,33,Corey Conners,62,"71' 8""",358.333,5,-1
32,33,34,Adam Long,52,"72' 2""",504.917,7,-6
33,34,35,Sung Kang,67,"72' 10""",1238.75,17,-7
34,T35,T36,Lucas Bjerregaard,37,"72' 11""",510.583,7,-2
35,T35,T36,Keegan Bradley,65,"72' 11""",802.4169999999999,11,-8
36,37,38,Lucas Glover,62,"73' 5""",954.1669999999999,13,-12
37,38,39,Cameron Smith,55,"73' 7""",367.75,5,E
38,T39,T40,Dylan Frittelli,55,"73' 8""",957.4169999999999,13,-5
39,T39,T40,James Hahn,34,"73' 8""",147.25,2,-2
40,41,42,Emiliano Grillo,65,"74' 0""",666.0,9,-2
41,T42,T43,Mackenzie Hughes,58,"74' 6""",819.3330000000001,11,-3
42,T42,T43,Hudson Swafford,59,"74' 6""",670.4169999999999,9,-4
43,44,45,J.J. Henry,42,"74' 9""",224.167,3,-1
44,T45,T46,Tyrrell Hatton,46,"74' 10""",299.41700000000003,4,-2
45,T45,T46,Peter Uihlein,65,"74' 10""",747.9169999999999,10,-7
46,47,48,Bud Cauley,61,"74' 11""",1123.167,15,-11
47,48,17,Henrik Stenson,46,"75' 3""",1354.0,18,-6
48,49,49,Alex Prugh,54,"75' 4""",301.33299999999997,4,E
49,50,50,Justin Rose,42,"75' 5""",678.8330000000001,9,-5
50,51,51,Alex Noren,49,"75' 7""",831.4169999999999,11,-4
51,52,52,Bronson Burgoon,37,"75' 9""",75.75,1,E
52,53,53,Seamus Power,58,"75' 10""",985.8330000000001,13,-7
53,54,54,John Senden,39,"76' 0""",987.5830000000001,13,-10
54,55,55,Jim Knous,55,"76' 1""",685.0,9,-5
55,T56,T57,Dustin Johnson,47,"76' 10""",768.5,10,-7
56,T56,T57,Luke List,52,"76' 10""",461.0,6,-6
57,T58,T59,Rickie Fowler,54,"77' 2""",540.0,7,-6
58,T58,T59,Charley Hoffman,58,"77' 2""",694.5830000000001,9,-6
59,T60,T61,Russell Knox,65,"77' 5""",619.5830000000001,8,-3
60,T60,T61,Joaquin Niemann,68,"77' 5""",1006.1669999999999,13,-5
61,62,91,Ben Silverman,54,"77' 6""",775.0,10,-6
62,63,63,Martin Kaymer,38,"77' 8""",776.8330000000001,10,-8
63,T64,T64,Bill Haas,58,"77' 11""",1168.75,15,-12
64,T64,T64,Max Homa,61,"77' 11""",701.5,9,-5
65,66,66,Michael Kim,51,"78' 3""",626.0,8,-1
66,67,67,Kevin Kisner,65,"78' 5""",470.25,6,-5
67,68,68,Seth Reeves,52,"78' 6""",627.9169999999999,8,-2
68,69,56,Adam Hadwin,66,"78' 7""",707.4169999999999,9,-2
69,70,69,Brandt Snedeker,68,"78' 8""",629.5830000000001,8,-5
70,71,70,Ernie Els,43,"78' 10""",315.25,4,-3
71,72,71,Curtis Luck,51,"79' 3""",872.0830000000001,11,-7
72,73,72,Keith Mitchell,64,"79' 4""",317.25,4,E
73,T74,T73,Louis Oosthuizen,43,"79' 11""",479.333,6,-2
74,T74,T73,Scott Stallings,63,"79' 11""",718.9169999999999,9,-5
75,76,75,Pat Perez,52,"80' 2""",721.8330000000001,9,-7
76,77,999,Tyrone Van Aswegen,30,"80' 4""",240.917,3,-1
77,78,76,J.T. Poston,76,"80' 5""",803.9169999999999,10,-4
78,T79,T77,Wyndham Clark,61,"80' 6""",965.5830000000001,12,-8
79,T79,T77,Jim Herman,37,"80' 6""",805.3330000000001,10,-4
80,81,79,Hideki Matsuyama,59,"81' 2""",1380.25,17,-6
81,82,80,Denny McCarthy,63,"81' 3""",1218.333,15,-3
82,83,81,Julián Etulain,55,"81' 4""",1220.417,15,-8
83,84,82,Anders Albertson,48,"81' 7""",652.5830000000001,8,-4
84,85,83,Justin Thomas,49,"81' 8""",408.333,5,-5
85,86,84,Roger Sloan,62,"81' 11""",819.4169999999999,10,-4
86,T87,T85,Tommy Fleetwood,43,"82' 1""",738.75,9,-6
87,T87,T85,Josh Teater,47,"82' 1""",410.583,5,-4
88,89,87,Aaron Wise,52,"82' 3""",740.25,9,-3
89,90,88,Jordan Spieth,57,"82' 4""",1235.0,15,-8
90,91,89,Jon Rahm,51,"82' 5""",1071.333,13,-7
91,92,90,Ian Poulter,49,"82' 6""",412.667,5,-4
92,93,92,Stewart Cink,33,"82' 10""",496.833,6,-2
93,94,93,J.B. Holmes,54,"83' 1""",498.583,6,E
94,95,94,Talor Gooch,37,"83' 5""",750.4169999999999,9,-5
95,96,95,Beau Hossler,66,"83' 9""",1172.833,14,-6
96,97,96,Shawn Stefani,57,"83' 11""",1510.75,18,-7
97,98,97,Danny Willett,47,"84' 1""",924.6669999999999,11,-3
98,99,98,John Chin,38,"84' 3""",758.5,9,-3
99,100,99,Rory McIlroy,50,"84' 7""",676.8330000000001,8,-4
100,101,100,Brian Harman,67,"84' 8""",592.75,7,-3
101,102,101,Ryan Armour,66,"85' 1""",255.167,3,-2
102,103,102,Wes Roach,45,"85' 2""",1021.75,12,-10
103,104,103,Patton Kizzire,58,"85' 3""",937.9169999999999,11,-4
104,105,104,Dominic Bozzelli,53,"85' 6""",1368.3329999999999,16,-7
105,106,105,Richy Werenski,63,"86' 0""",774.25,9,-3
106,107,106,Haotong Li,32,"86' 1""",344.25,4,-3
107,108,107,Rafa Cabrera Bello,57,"86' 2""",1292.917,15,-4
108,T109,T108,Justin Harding,31,"86' 3""",431.167,5,-3
109,T109,T108,Sam Saunders,53,"86' 3""",1034.5,12,-7
110,111,110,Johnson Wagner,45,"86' 8""",953.0,11,-10
111,112,111,Adam Schenk,80,"87' 11""",615.6669999999999,7,-3
112,113,112,Brian Gay,79,"88' 3""",706.0,8,-6
113,114,113,Ryan Moore,54,"88' 7""",1506.5829999999999,17,-8
114,115,114,Sebastián Muñoz,58,"88' 11""",1066.75,12,-5
115,116,115,J.J. Spaun,68,"89' 1""",1069.417,12,-4
116,117,116,Satoshi Kodaira,51,"89' 3""",714.1669999999999,8,-5
117,118,117,Cameron Tringale,52,"89' 8""",806.75,9,-3
118,T119,T118,Freddie Jacobson,37,"89' 9""",358.917,4,-1
119,T119,T118,Harold Varner III,62,"89' 9""",1076.667,12,-3
120,121,120,Roberto Castro,54,"89' 10""",718.4169999999999,8,-3
121,122,121,Matthew Fitzpatrick,42,"89' 11""",719.3330000000001,8,-3
122,T123,T123,Scott Piercy,70,"90' 3""",812.5,9,-7
123,T123,T123,Jhonattan Vegas,60,"90' 3""",992.9169999999999,11,-4
124,T125,T125,Paul Casey,51,"90' 7""",724.8330000000001,8,-4
125,T125,T125,"Ted Potter, Jr.",56,"90' 7""",814.9169999999999,9,-2
126,127,127,Brandon Harkins,67,"90' 8""",725.0,8,-1
127,128,128,Patrick Reed,53,"91' 2""",638.25,7,-1
128,129,129,Brice Garnett,63,"91' 6""",549.0830000000001,6,-1
129,130,131,C.T. Pan,64,"91' 9""",1100.833,12,-6
130,131,132,Martin Trainer,51,"91' 10""",367.333,4,E
131,132,133,Jonas Blixt,66,"92' 1""",920.6669999999999,10,-5
132,T133,T134,Scott Brown,66,"92' 3""",1567.75,17,-4
133,T133,T134,Michael Thompson,56,"92' 3""",1475.6670000000001,16,-4
134,T135,T136,Peter Malnati,64,"92' 6""",1202.25,13,-7
135,T135,T136,Sepp Straka,48,"92' 6""",1109.917,12,-6
136,T137,T138,Austin Cook,50,"92' 10""",928.3330000000001,10,-2
137,T137,T138,José de Jesús Rodríguez,51,"92' 10""",835.1669999999999,9,-5
138,139,140,Jason Day,45,"93' 0""",558.0,6,-5
139,140,141,Harris English,72,"93' 1""",744.9169999999999,8,-2
140,141,142,Danny Lee,66,"93' 2""",1397.3329999999999,15,-4
141,142,143,Hunter Mahan,45,"93' 3""",839.0830000000001,9,-4
142,143,144,Vaughn Taylor,69,"93' 6""",1215.167,13,-8
143,144,145,Jason Dufner,56,"93' 8""",561.9169999999999,6,-1
144,T145,T146,Branden Grace,62,"93' 10""",656.9169999999999,7,-3
145,T145,T146,Whee Kim,57,"93' 10""",375.167,4,-3
146,T147,T148,Kiradech Aphibarnrat,49,"93' 11""",563.3330000000001,6,-2
147,T147,T148,Joel Dahmen,78,"93' 11""",1221.0,13,-5
148,149,150,Billy Horschel,73,"94' 0""",1033.75,11,-3
149,150,151,D.J. Trahan,33,"94' 2""",471.0,5,-3
150,T151,T152,Chris Kirk,47,"94' 4""",849.3330000000001,9,-4
151,T151,T152,Patrick Rodgers,44,"94' 4""",566.1669999999999,6,-2
152,153,154,Kramer Hickok,59,"94' 5""",944.25,10,-4
153,T154,T155,Kevin Streelman,63,"94' 6""",1511.9170000000001,16,-8
154,T154,T155,Chris Thompson,34,"94' 6""",945.0,10,-3
155,T156,T157,Sungjae Im,88,"94' 7""",2365.0,25,-10
156,T156,T157,Nick Taylor,70,"94' 7""",1608.3329999999999,17,-7
157,158,159,D.A. Points,33,"94' 9""",284.25,3,-2
158,T159,160,Jim Furyk,53,"94' 11""",474.583,5,-1
159,T159,130,Rod Pampling,40,"94' 11""",1044.5,11,-4
160,161,161,Bryson DeChambeau,45,"95' 4""",953.0,10,-9
161,162,162,Robert Streb,60,"95' 6""",1241.75,13,-2
162,163,175,Matt Kuchar,65,"95' 8""",765.3330000000001,8,-2
163,164,163,Rory Sabbatini,71,"95' 10""",1054.333,11,-6
164,165,164,Grayson Murray,36,"96' 0""",288.0,3,+2
165,166,165,David Hearn,41,"96' 4""",289.08299999999997,3,-1
166,167,166,Graeme McDowell,61,"96' 7""",772.75,8,-4
167,168,167,Patrick Cantlay,49,"97' 0""",678.9169999999999,7,-2
168,169,168,Kelly Kraft,67,"97' 1""",873.5830000000001,9,-5
169,170,169,Troy Merritt,42,"98' 0""",588.0,6,-2
170,171,170,Chris Stroud,54,"98' 3""",589.3330000000001,6,-4
171,172,171,Brady Schnell,38,"98' 6""",393.917,4,-3
172,173,172,Jason Kokrak,68,"99' 0""",890.8330000000001,9,-3
173,T174,T173,Andrew Putnam,57,"99' 2""",495.833,5,-4
174,T174,T173,Adam Svensson,51,"99' 2""",1190.333,12,-8
175,176,176,Sangmoon Bae,42,"99' 8""",1195.5,12,-6
176,177,177,Kyle Jones,49,"99' 9""",1097.167,11,-2
177,178,178,Brian Stuard,76,"99' 10""",898.25,9,-3
178,179,179,Charl Schwartzel,34,"100' 10""",302.41700000000003,3,-1
179,T180,T180,Tyler Duncan,66,"100' 11""",1211.25,12,-5
180,T180,T180,Tom Hoge,70,"100' 11""",1211.25,12,-1
181,182,182,Carlos Ortiz,60,"101' 6""",1623.4170000000001,16,-4
182,T183,T183,Aaron Baddeley,51,"102' 0""",1122.25,11,-4
183,T183,T183,Stephan Jaeger,59,"102' 0""",1325.6670000000001,13,-8
184,185,185,Roberto Díaz,51,"102' 1""",816.8330000000001,8,-4
185,186,186,Webb Simpson,53,"102' 4""",1433.1670000000001,14,-6
186,187,187,Brendan Steele,50,"102' 5""",409.5,4,-3
187,188,188,Andrew Landry,56,"103' 0""",720.75,7,-3
188,189,189,Francesco Molinari,41,"103' 8""",725.8330000000001,7,-3
189,190,190,Cameron Davis,54,"104' 3""",1147.167,11,-3
190,191,191,Abraham Ancer,69,"104' 4""",939.3330000000001,9,-5
191,192,192,Ryan Blaum,67,"106' 11""",2031.1670000000001,19,-7
192,193,193,Chez Reavie,67,"107' 1""",1178.083,11,-4
193,194,194,Alex Cejka,41,"109' 10""",988.25,9,-3
194,195,195,Joey Garber,44,"110' 5""",331.333,3,-1
195,196,999,Martin Piller,30,"111' 1""",666.4169999999999,6,-2
196,197,196,Bubba Watson,47,"111' 9""",782.4169999999999,7,-2
197,198,197,Sam Ryder,52,"112' 5""",899.0,8,-5
198,199,198,Charles Howell III,64,"113' 4""",1359.5,12,-4
199,200,199,Jonathan Byrd,43,"113' 6""",680.75,6,-1
200,201,200,Cameron Champ,58,"115' 5""",577.25,5,-2
201,202,201,Anirban Lahiri,54,"121' 3""",727.4169999999999,6,-1
202,203,202,Scott Langley,60,"123' 6""",370.583,3,-1
203,204,203,Kyoung-Hoon Lee,72,"123' 10""",1609.4170000000001,13,-5
204,205,204,Fabián Gómez,44,"124' 7""",747.5830000000001,6,-3
205,206,205,Ben Crane,41,"127' 3""",508.917,4,E
206,207,206,Zach Johnson,50,"132' 2""",925.25,7,E
207,208,207,John Huh,35,"132' 9""",265.41700000000003,2,E
