,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
103,104,106,D.A. Points,33,22.39,15,67
104,105,109,Emiliano Grillo,65,22.32,25,112
105,106,107,Cameron Davis,54,22.22,34,153
106,107,T111,Lucas Glover,62,22.16,39,176
107,108,96,Nick Taylor,70,22.12,50,226
108,109,113,Sam Burns,66,22.11,42,190
109,110,97,Martin Laird,60,21.84,38,174
110,111,118,Phil Mickelson,41,21.8,29,133
111,112,147,Chris Thompson,34,21.74,20,92
112,113,119,Kevin Kisner,65,21.68,31,143
113,114,100,Fabián Gómez,44,21.67,26,120
114,115,120,Kyoung-Hoon Lee,72,21.66,34,157
115,116,129,Jonas Blixt,66,21.62,40,185
116,117,116,Danny Lee,66,21.61,43,199
117,118,104,Trey Mullinax,67,21.49,49,228
118,119,93,Scott Stallings,63,21.39,37,173
119,120,105,Roberto Díaz,51,21.37,28,131
120,T121,126,Tom Hoge,70,21.3,36,169
121,T121,125,Francesco Molinari,41,21.3,23,108
122,123,117,Mackenzie Hughes,58,21.12,34,161
123,T124,127,Abraham Ancer,69,21.08,39,185
124,T124,T122,Carlos Ortiz,60,21.08,35,166
125,126,115,Aaron Wise,52,21.05,32,152
126,127,145,Robert Streb,60,20.89,33,158
127,128,T131,Charles Howell III,64,20.73,34,164
128,129,102,Kelly Kraft,67,20.63,33,160
129,130,135,Patrick Reed,53,20.61,27,131
130,131,136,"Ted Potter, Jr.",56,20.59,35,170
131,132,128,Stephan Jaeger,59,20.57,29,141
132,133,137,Ian Poulter,49,20.56,22,107
133,134,139,Charley Hoffman,58,20.47,26,127
134,T135,141,Martin Trainer,51,20.45,45,220
135,T135,T122,Richy Werenski,63,20.45,36,176
