,Approaches_200-225_yards-Rgh_RTP_RANK THIS WEEK,Approaches_200-225_yards-Rgh_RTP_RANK LAST WEEK,Approaches_200-225_yards-Rgh_RTP_PLAYER NAME,Approaches_200-225_yards-Rgh_RTP_ROUNDS,Approaches_200-225_yards-Rgh_RTP_AVG RTP
0,1,1,James Hahn,34,-.667
1,2,2,Grayson Murray,36,-.571
2,T3,T4,Tommy Fleetwood,43,-.400
3,T3,6,Trey Mullinax,67,-.400
4,T3,T4,Brendan Steele,50,-.400
5,6,T7,Cameron Davis,54,-.375
6,T7,T7,Austin Cook,50,-.333
7,T7,T7,Brandon Harkins,67,-.333
8,T7,T7,Xander Schauffele,55,-.333
9,T7,3,Ollie Schniederjans,63,-.333
10,T7,T7,Chase Wright,53,-.333
11,12,12,Wyndham Clark,61,-.313
12,T13,16,J.B. Holmes,54,-.250
13,T13,T13,Max Homa,61,-.250
14,T13,T13,Gary Woodland,63,-.250
15,T16,T23,Cody Gribble,52,-.231
16,T16,15,Jhonattan Vegas,60,-.231
17,18,T17,Charl Schwartzel,34,-.200
18,19,20,Luke List,52,-.188
19,T20,21,Marc Leishman,52,-.182
20,T20,T17,Harold Varner III,62,-.182
21,22,22,Julián Etulain,55,-.176
22,T23,T17,Brooks Koepka,49,-.167
23,T23,T23,Wes Roach,45,-.167
24,25,T42,Dustin Johnson,47,-.154
25,T26,T25,Joel Dahmen,78,-.143
26,T26,T25,Brady Schnell,38,-.143
27,28,27,Patrick Rodgers,44,-.133
28,T29,28,Hudson Swafford,59,-.125
29,T29,T42,Bubba Watson,47,-.125
30,31,T37,Robert Streb,60,-.118
31,32,T42,Daniel Berger,48,-.111
32,T33,T29,Sungjae Im,88,-.100
33,T33,T29,Webb Simpson,53,-.100
34,T35,T32,Seth Reeves,52,-.077
35,T35,T32,Sam Ryder,52,-.077
36,T37,34,Sam Burns,66,-.071
37,T37,31,Sepp Straka,48,-.071
38,39,T35,Hideki Matsuyama,59,-.067
39,40,T37,Bryson DeChambeau,45,-.063
40,T41,39,Adam Scott,41,-.059
41,T41,T35,Justin Thomas,49,-.059
42,43,40,Aaron Baddeley,51,-.056
43,44,41,Keith Mitchell,64,-.050
44,T45,T42,Byeong Hun An,54,E
45,T45,T42,Dominic Bozzelli,53,E
46,T45,T42,Paul Casey,51,E
47,T45,T42,Dylan Frittelli,55,E
48,T45,T42,Lucas Glover,62,E
49,T45,T42,Fabián Gómez,44,E
50,T45,T42,J.J. Henry,42,E
51,T45,T42,Russell Knox,65,E
52,T45,T42,Martin Laird,60,E
53,T45,T42,Adam Long,52,E
54,T45,999,Shane Lowry,30,E
55,T45,T42,Rory McIlroy,50,E
56,T45,T42,Troy Merritt,42,E
57,T45,T42,Phil Mickelson,41,E
58,T45,T42,Joaquin Niemann,68,E
59,T45,T42,Ryan Palmer,56,E
60,T45,T42,Kyle Stanley,53,E
61,T45,T42,Josh Teater,47,E
62,T45,T42,D.J. Trahan,33,E
63,T45,999,Tyrone Van Aswegen,30,E
64,T45,T42,Matt Wallace,31,E
65,66,65,Mackenzie Hughes,58,+.050
66,67,T83,Kevin Tway,62,+.063
67,68,67,Danny Lee,66,+.067
68,69,68,Nick Watney,67,+.071
69,70,69,Cameron Champ,58,+.080
70,71,70,Pat Perez,52,+.091
71,T72,T71,Abraham Ancer,69,+.100
72,T72,T71,Rafa Cabrera Bello,57,+.100
73,T72,T71,Justin Rose,42,+.100
74,T72,T71,Adam Schenk,80,+.100
75,76,66,Jimmy Walker,61,+.105
76,T77,T104,Harris English,72,+.111
77,T77,76,Patton Kizzire,58,+.111
78,T79,T77,Jim Furyk,53,+.125
79,T79,T77,Adam Hadwin,66,+.125
80,T79,T77,Kyoung-Hoon Lee,72,+.125
81,T79,T77,Adam Svensson,51,+.125
82,83,81,Sung Kang,67,+.130
83,84,82,Patrick Reed,53,+.133
84,T85,T83,Emiliano Grillo,65,+.143
85,T85,T83,Charles Howell III,64,+.143
86,T85,T83,Andrew Landry,56,+.143
87,T85,T83,Carlos Ortiz,60,+.143
88,T85,T83,Ian Poulter,49,+.143
89,T85,T83,J.J. Spaun,68,+.143
90,91,90,Scott Piercy,70,+.150
91,T92,T95,Keegan Bradley,65,+.154
92,T92,T91,Roger Sloan,62,+.154
93,T92,T91,Johnson Wagner,45,+.154
94,95,94,Brandt Snedeker,68,+.158
95,T96,T95,Sangmoon Bae,42,+.167
96,T96,T95,Lucas Bjerregaard,37,+.167
97,T96,T95,Scott Brown,66,+.167
98,T96,T42,Joey Garber,44,+.167
99,T96,T95,Chesson Hadley,58,+.167
100,T96,T95,Anirban Lahiri,54,+.167
101,T96,T95,Ryan Moore,54,+.167
102,T96,T95,D.A. Points,33,+.167
103,T96,T95,Ben Silverman,54,+.167
104,T96,T142,Danny Willett,47,+.167
105,T106,T104,Bud Cauley,61,+.176
106,T106,T104,Scott Langley,60,+.176
107,108,108,J.T. Poston,76,+.179
108,T109,T109,Jonathan Byrd,43,+.182
109,T109,T109,Billy Horschel,73,+.182
110,T109,T109,Michael Kim,51,+.182
111,T109,T109,Hunter Mahan,45,+.182
112,T109,T109,Andrew Putnam,57,+.182
113,T109,T109,Rory Sabbatini,71,+.182
