,Approaches_250-275_yards-Rgh_RTP_RANK THIS WEEK,Approaches_250-275_yards-Rgh_RTP_RANK LAST WEEK,Approaches_250-275_yards-Rgh_RTP_PLAYER NAME,Approaches_250-275_yards-Rgh_RTP_ROUNDS,Approaches_250-275_yards-Rgh_RTP_AVG RTP
0,1,1,Alex Prugh,54,-1.500
1,2,2,Joaquin Niemann,68,-1.333
2,T3,T3,Roberto Díaz,51,-1.000
3,T3,T3,Jason Dufner,56,-1.000
4,T3,T3,Chesson Hadley,58,-1.000
5,T3,T3,Max Homa,61,-1.000
6,T3,T3,Billy Horschel,73,-1.000
7,T3,T3,Freddie Jacobson,37,-1.000
8,T3,T3,Jim Knous,55,-1.000
9,T3,T3,Nate Lashley,44,-1.000
10,T3,T3,Marc Leishman,52,-1.000
11,T3,999,Shane Lowry,30,-1.000
12,T3,T3,Louis Oosthuizen,43,-1.000
13,T3,T3,Wes Roach,45,-1.000
14,T3,T3,Brady Schnell,38,-1.000
15,T3,T3,Roger Sloan,62,-1.000
16,T3,T3,Hudson Swafford,59,-1.000
17,T3,T3,Aaron Wise,52,-1.000
18,T19,T18,Wyndham Clark,61,-.889
19,T19,T18,Cameron Tringale,52,-.889
20,21,20,Denny McCarthy,63,-.833
21,T22,T21,Abraham Ancer,69,-.800
22,T22,T36,Jonathan Byrd,43,-.800
23,T22,T21,Sungjae Im,88,-.800
24,T22,T21,Satoshi Kodaira,51,-.800
25,T22,T25,Adam Svensson,51,-.800
26,T22,T21,Vaughn Taylor,69,-.800
27,T28,T25,Ernie Els,43,-.750
28,T28,T25,Rickie Fowler,54,-.750
29,T28,T25,Matt Kuchar,65,-.750
30,T28,T36,Ryan Palmer,56,-.750
31,T32,T30,Branden Grace,62,-.714
32,T32,T30,Si Woo Kim,65,-.714
33,T32,T30,Carlos Ortiz,60,-.714
34,T32,T30,Webb Simpson,53,-.714
35,T32,T30,Richy Werenski,63,-.714
36,37,T36,Dylan Frittelli,55,-.700
37,T38,T36,Rafa Cabrera Bello,57,-.667
38,T38,T36,Paul Casey,51,-.667
39,T38,T36,Cameron Champ,58,-.667
40,T38,T36,Matt Every,38,-.667
41,T38,T36,Tommy Fleetwood,43,-.667
42,T38,T36,Sergio Garcia,39,-.667
43,T38,T36,Dustin Johnson,47,-.667
44,T38,T36,Chris Kirk,47,-.667
45,T38,T36,Russell Knox,65,-.667
46,T38,T36,Danny Lee,66,-.667
47,T38,T36,Hunter Mahan,45,-.667
48,T38,T36,Graeme McDowell,61,-.667
49,T38,T36,Andrew Putnam,57,-.667
50,T38,T36,Seth Reeves,52,-.667
51,T38,T36,Sam Ryder,52,-.667
52,T38,T36,Justin Thomas,49,-.667
53,54,35,Tom Hoge,70,-.636
54,T55,T66,José de Jesús Rodríguez,51,-.625
55,T55,55,Scott Stallings,63,-.625
56,T57,T56,Jonas Blixt,66,-.600
57,T57,T56,Bronson Burgoon,37,-.600
58,T57,T56,Patrick Cantlay,49,-.600
59,T57,T56,Cameron Davis,54,-.600
60,T57,T56,Fabián Gómez,44,-.600
61,T57,T25,Adam Hadwin,66,-.600
62,T57,T56,Russell Henley,56,-.600
63,T57,T56,Sung Kang,67,-.600
64,T57,T56,Ryan Moore,54,-.600
65,T57,T56,Martin Trainer,51,-.600
66,67,65,J.T. Poston,76,-.583
67,T68,T66,Kyoung-Hoon Lee,72,-.571
68,T68,T66,Brandt Snedeker,68,-.571
69,T68,T66,Jhonattan Vegas,60,-.571
70,T71,T70,Anders Albertson,48,-.500
71,T71,T70,Alex Cejka,41,-.500
72,T71,T89,Corey Conners,62,-.500
73,T71,T70,Ben Crane,41,-.500
74,T71,T70,Tyler Duncan,66,-.500
75,T71,T70,Beau Hossler,66,-.500
76,T71,T70,Troy Merritt,42,-.500
77,T71,999,Martin Piller,30,-.500
78,T71,T70,Ian Poulter,49,-.500
79,T71,T70,Seamus Power,58,-.500
80,T71,T70,Chez Reavie,67,-.500
81,T71,T70,Justin Rose,42,-.500
82,T71,T94,J.J. Spaun,68,-.500
83,T71,T70,Kyle Stanley,53,-.500
84,T71,T142,Chris Thompson,34,-.500
85,T71,T70,Kevin Tway,62,-.500
86,T71,T70,Gary Woodland,63,-.500
87,T71,T70,Tiger Woods,31,-.500
88,89,88,Nick Taylor,70,-.444
89,T90,T89,Tony Finau,61,-.429
90,T90,T89,C.T. Pan,64,-.429
91,T90,T89,Adam Schenk,80,-.429
92,T90,T89,Chris Stroud,54,-.429
93,T94,T94,Kiradech Aphibarnrat,49,-.400
94,T94,T94,Jason Day,45,-.400
95,T94,T94,Patton Kizzire,58,-.400
96,T94,T70,Scott Langley,60,-.400
97,T94,T94,Brian Stuard,76,-.400
98,T99,T99,Mackenzie Hughes,58,-.375
99,T99,T99,Danny Willett,47,-.375
100,101,101,Rory Sabbatini,71,-.364
101,T102,T102,Byeong Hun An,54,-.333
102,T102,T102,Daniel Berger,48,-.333
103,T102,T102,Scott Brown,66,-.333
104,T102,T102,Lucas Glover,62,-.333
105,T102,T102,Talor Gooch,37,-.333
106,T102,T102,Jordan Spieth,57,-.333
107,T102,T102,Peter Uihlein,65,-.333
108,T102,T102,Jimmy Walker,61,-.333
109,T102,T102,Bubba Watson,47,-.333
110,T111,T112,Matt Jones,67,-.286
111,T111,T112,Jason Kokrak,68,-.286
112,T113,T114,Aaron Baddeley,51,-.250
113,T113,T114,Matthew Fitzpatrick,42,-.250
114,T113,T102,Joey Garber,44,-.250
115,T113,T114,Bill Haas,58,-.250
116,T113,T114,Stephan Jaeger,59,-.250
117,T113,T114,Zach Johnson,50,-.250
118,T113,T114,Martin Kaymer,38,-.250
119,T113,T114,Kevin Kisner,65,-.250
120,T113,T114,Sebastián Muñoz,58,-.250
121,T113,T114,Trey Mullinax,67,-.250
122,T113,T114,Jon Rahm,51,-.250
123,T113,T114,Sam Saunders,53,-.250
124,T113,T114,John Senden,39,-.250
125,T113,T114,Kevin Streelman,63,-.250
126,T113,T70,Josh Teater,47,-.250
127,T113,T114,Harold Varner III,62,-.250
128,T129,T128,Bud Cauley,61,-.200
129,T129,T128,Bryson DeChambeau,45,-.200
130,T129,T128,Brice Garnett,63,-.200
131,T129,T142,Kramer Hickok,59,-.200
132,T129,T128,Scott Piercy,70,-.200
133,T129,T128,Chase Wright,53,-.200
134,T135,T142,Brian Gay,79,-.167
135,T135,T128,Brooks Koepka,49,-.167
136,T135,T128,Kelly Kraft,67,-.167
137,T135,T135,Anirban Lahiri,54,-.167
138,T135,T135,Luke List,52,-.167
139,T135,T135,Kevin Na,54,-.167
140,T135,T135,Xander Schauffele,55,-.167
141,142,139,Michael Thompson,56,-.143
142,T143,T140,Peter Malnati,64,-.111
143,T143,T140,Patrick Reed,53,-.111
144,T145,T142,Ryan Armour,66,E
145,T145,T142,Sangmoon Bae,42,E
146,T145,T142,Lucas Bjerregaard,37,E
147,T145,T70,Dominic Bozzelli,53,E
148,T145,T142,Keegan Bradley,65,E
149,T145,T142,Sam Burns,66,E
150,T145,T142,Roberto Castro,54,E
151,T145,T142,Stewart Cink,33,E
152,T145,T142,Harris English,72,E
153,T145,T142,Cody Gribble,52,E
154,T145,T142,Emiliano Grillo,65,E
155,T145,T142,James Hahn,34,E
156,T145,T189,Brian Harman,67,E
157,T145,T142,Tyrrell Hatton,46,E
158,T145,T142,David Hearn,41,E
159,T145,T142,J.J. Henry,42,E
160,T145,T142,Charley Hoffman,58,E
161,T145,T142,J.B. Holmes,54,E
162,T145,T142,John Huh,35,E
163,T145,T196,Kyle Jones,49,E
164,T145,T142,Andrew Landry,56,E
165,T145,T142,Hank Lebioda,55,E
166,T145,T142,Adam Long,52,E
167,T145,T142,Curtis Luck,51,E
168,T145,T142,Hideki Matsuyama,59,E
169,T145,T142,Rory McIlroy,50,E
170,T145,T142,Phil Mickelson,41,E
171,T145,T142,Keith Mitchell,64,E
172,T145,T142,Grayson Murray,36,E
173,T145,T142,Patrick Rodgers,44,E
174,T145,T142,Adam Scott,41,E
175,T145,T142,Cameron Smith,55,E
176,T145,T142,Brendan Steele,50,E
