,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
0,1,1,Troy Merritt,42,-.386
1,2,2,Adam Scott,41,-.384
2,3,3,D.J. Trahan,33,-.340
3,4,4,Justin Rose,42,-.337
4,5,5,Jon Rahm,51,-.333
5,6,8,Talor Gooch,37,-.320
6,7,6,Justin Thomas,49,-.314
7,8,9,Si Woo Kim,65,-.313
8,9,7,Bud Cauley,61,-.307
9,10,15,Rory McIlroy,50,-.304
10,11,11,Sam Ryder,52,-.300
11,12,13,Jordan Spieth,57,-.290
12,13,14,Martin Kaymer,38,-.287
13,14,16,Ian Poulter,49,-.283
14,15,T21,Seamus Power,58,-.282
15,16,17,Ryan Blaum,67,-.278
16,17,18,Xander Schauffele,55,-.277
17,18,10,Trey Mullinax,67,-.275
18,19,12,Stephan Jaeger,59,-.272
19,20,23,Tony Finau,61,-.270
20,21,32,Wes Roach,45,-.269
21,22,24,Jason Kokrak,68,-.268
22,23,25,Brendan Steele,50,-.267
23,24,T34,Bubba Watson,47,-.258
24,25,T28,Sung Kang,67,-.256
25,26,20,Cody Gribble,52,-.255
26,T27,T21,Denny McCarthy,63,-.254
27,T27,30,Tiger Woods,31,-.254
28,T29,31,Aaron Baddeley,51,-.250
29,T29,19,Nick Watney,67,-.250
30,31,33,Bryson DeChambeau,45,-.242
31,32,T34,Gary Woodland,63,-.241
32,33,37,Lucas Glover,62,-.236
33,34,38,Hideki Matsuyama,59,-.233
34,T35,T41,Adam Hadwin,66,-.232
35,T35,39,Matt Jones,67,-.232
36,T37,T43,Paul Casey,51,-.228
37,T37,T43,Luke List,52,-.228
38,39,T51,Wyndham Clark,61,-.225
39,T40,40,Ollie Schniederjans,63,-.223
40,T40,36,Brandt Snedeker,68,-.223
41,42,T48,Nick Taylor,70,-.222
42,T43,T26,Sergio Garcia,39,-.220
43,T43,T53,Emiliano Grillo,65,-.220
44,45,56,Patrick Rodgers,44,-.219
45,46,T46,Sungjae Im,88,-.216
46,47,57,Keith Mitchell,64,-.215
47,T48,58,Byeong Hun An,54,-.213
48,T48,T41,Jonas Blixt,66,-.213
49,50,T53,Matt Every,38,-.209
50,T51,75,Hank Lebioda,55,-.208
51,T51,60,Hunter Mahan,45,-.208
52,53,61,Jason Dufner,56,-.207
53,T54,T82,Martin Laird,60,-.206
54,T54,62,Vaughn Taylor,69,-.206
55,T56,T63,Sam Burns,66,-.205
56,T56,T63,Michael Thompson,56,-.205
57,T58,T65,James Hahn,34,-.204
58,T58,T26,Sepp Straka,48,-.204
59,T58,79,Richy Werenski,63,-.204
60,T61,78,Matt Kuchar,65,-.201
61,T61,69,Rory Sabbatini,71,-.201
62,T63,T67,Scott Stallings,63,-.200
63,T63,70,Kevin Streelman,63,-.200
64,T65,T72,Rickie Fowler,54,-.197
65,T65,T72,Russell Knox,65,-.197
66,67,T65,Dustin Johnson,47,-.196
67,T68,T76,Max Homa,61,-.195
68,T68,T76,Marc Leishman,52,-.195
69,70,45,Hudson Swafford,59,-.194
70,71,T72,Carlos Ortiz,60,-.191
71,72,81,Chris Kirk,47,-.190
72,T73,T67,Whee Kim,57,-.189
