,Approaches_from__200_yards_Rgh_RANK THIS WEEK,Approaches_from__200_yards_Rgh_RANK LAST WEEK,Approaches_from__200_yards_Rgh_PLAYER NAME,Approaches_from__200_yards_Rgh_ROUNDS,Approaches_from__200_yards_Rgh_AVG,Approaches_from__200_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__200_yards_Rgh_# OF ATTEMPTS,Approaches_from__200_yards_Rgh_RELATIVE TO PAR
0,1,1,Justin Harding,31,"23' 8""",23.666999999999998,1,-2
1,2,2,Cameron Davis,54,"52' 10""",2114.167,40,-21
2,T3,T3,Lucas Glover,62,"54' 6""",817.8330000000001,15,-5
3,T3,T3,Pat Perez,52,"54' 6""",817.25,15,+1
4,T5,6,Kyoung-Hoon Lee,72,"56' 7""",1584.0,28,-3
5,T5,5,Harold Varner III,62,"56' 7""",1189.083,21,-5
6,7,7,Russell Knox,65,"57' 5""",1779.6670000000001,31,-6
7,8,T12,Sergio Garcia,39,"58' 6""",1346.0,23,-1
8,9,8,Matt Kuchar,65,"58' 9""",1293.25,22,-3
9,10,9,Matthew Fitzpatrick,42,"58' 11""",942.5,16,E
10,11,10,Talor Gooch,37,"59' 0""",1062.167,18,-1
11,12,11,Stewart Cink,33,"59' 4""",534.25,9,-1
12,13,T12,Webb Simpson,53,"59' 6""",1725.4170000000001,29,-12
13,14,14,Aaron Baddeley,51,"60' 4""",1750.1670000000001,29,E
14,15,15,Abraham Ancer,69,"61' 2""",1528.9170000000001,25,-5
15,16,16,Cameron Champ,58,"61' 6""",2520.75,41,-5
16,17,17,Kevin Streelman,63,"61' 10""",1422.0,23,+2
17,18,18,Kyle Stanley,53,"61' 11""",929.25,15,+1
18,T19,T19,Joel Dahmen,78,"62' 1""",2420.667,39,-12
19,T19,T19,Scott Piercy,70,"62' 1""",2172.75,35,+3
20,T19,T19,Alex Prugh,54,"62' 1""",1241.167,20,+1
21,22,23,Hudson Swafford,59,"63' 1""",1893.3329999999999,30,-11
22,T23,T24,Jim Furyk,53,"63' 4""",759.5830000000001,12,E
23,T23,T24,Troy Merritt,42,"63' 4""",823.25,13,-4
24,25,26,Keith Mitchell,64,"63' 9""",2102.917,33,-5
25,26,28,Austin Cook,50,"64' 3""",1028.5,16,-4
26,27,29,Jason Dufner,56,"64' 4""",1221.667,19,+3
27,28,30,Michael Kim,51,"64' 6""",1547.1670000000001,24,+2
28,T29,T31,Danny Lee,66,"64' 7""",2196.333,34,-5
29,T29,T31,Nick Taylor,70,"64' 7""",2582.167,40,-5
30,31,33,Aaron Wise,52,"64' 8""",1034.083,16,-4
31,T32,35,Max Homa,61,"64' 11""",2532.917,39,-15
32,T32,22,Ryan Palmer,56,"64' 11""",1557.3329999999999,24,-8
33,34,36,Cameron Smith,55,"65' 0""",2145.167,33,+6
34,35,T41,Adam Svensson,51,"65' 4""",2091.0,32,-5
35,36,27,Whee Kim,57,"65' 5""",1373.25,21,+2
36,T37,49,Dustin Johnson,47,"65' 8""",1576.0,24,-7
37,T37,T37,Sung Kang,67,"65' 8""",3151.0,48,-6
38,39,40,Adam Scott,41,"66' 1""",1585.9170000000001,24,-3
39,40,T41,Ernie Els,43,"66' 2""",1323.8329999999999,20,E
40,41,43,Chris Stroud,54,"66' 5""",1660.5,25,E
41,42,44,Rafa Cabrera Bello,57,"66' 6""",1463.8329999999999,22,-4
42,T43,T45,Patrick Cantlay,49,"66' 8""",2465.75,37,-11
43,T43,T45,Louis Oosthuizen,43,"66' 8""",533.3330000000001,8,E
44,T45,34,Keegan Bradley,65,"66' 9""",1469.3329999999999,22,-1
45,T45,T47,J.B. Holmes,54,"66' 9""",1534.75,23,-5
46,T45,T47,Henrik Stenson,46,"66' 9""",800.75,12,+6
47,48,76,Tyler Duncan,66,"66' 10""",1804.4170000000001,27,-1
48,49,65,Sungjae Im,88,"67' 3""",3226.0,48,-24
