,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
184,T184,T184,Kelly Kraft,67,"39' 11""",33610.75,842,200
185,T184,T186,Curtis Luck,51,"39' 11""",22650.25,568,193
186,T184,T186,Denny McCarthy,63,"39' 11""",33495.667,840,131
187,T188,183,Charles Howell III,64,"40' 0""",30781.667,769,5
188,T188,T191,Wes Roach,45,"40' 0""",20670.583,517,120
189,190,T184,Harris English,72,"40' 1""",41220.583,1029,106
190,191,T191,J.J. Spaun,68,"40' 2""",33067.917,823,43
191,192,T188,Johnson Wagner,45,"40' 3""",23174.083,576,17
192,T193,T197,Lucas Bjerregaard,37,"40' 5""",15721.333,389,111
193,T193,T191,Freddie Jacobson,37,"40' 5""",17248.417,427,206
194,195,190,Dominic Bozzelli,53,"40' 6""",23767.583,587,128
195,T196,195,Chris Thompson,34,"40' 7""",15994.833,394,107
196,T196,T188,Bubba Watson,47,"40' 7""",26064.5,642,74
197,T198,T200,Wyndham Clark,61,"40' 8""",33813.083,831,159
198,T198,194,Seamus Power,58,"40' 8""",31483.417,774,209
199,200,196,Beau Hossler,66,"40' 9""",37049.667,910,108
200,201,T197,Charl Schwartzel,34,"40' 11""",10877.0,266,201
201,T202,T200,Alex Noren,49,"41' 0""",24085.667,587,158
202,T202,T200,Seth Reeves,52,"41' 0""",26262.583,640,110
203,204,203,Justin Harding,31,"41' 2""",8812.833,214,180
204,T205,207,Stephan Jaeger,59,"41' 3""",30152.5,731,175
205,T205,204,Rod Pampling,40,"41' 3""",19883.75,482,197
206,207,205,Patrick Reed,53,"41' 6""",27529.75,663,143
207,208,206,Martin Trainer,51,"42' 1""",30019.75,714,205
208,209,999,Martin Piller,30,"42' 3""",12811.833,303,190
