,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
0,1,1,Matt Every,38,-.375
1,2,2,Vaughn Taylor,69,-.365
2,3,3,Peter Malnati,64,-.343
3,4,T4,James Hahn,34,-.333
4,5,6,Matthew Fitzpatrick,42,-.303
5,T6,9,Wes Roach,45,-.286
6,T6,8,Justin Rose,42,-.286
7,8,14,Zach Johnson,50,-.269
8,9,7,Jim Furyk,53,-.268
9,10,T11,Julián Etulain,55,-.265
10,11,13,Si Woo Kim,65,-.264
11,12,T11,Joey Garber,44,-.263
12,13,16,Paul Casey,51,-.258
13,14,17,Phil Mickelson,41,-.257
14,15,18,Anirban Lahiri,54,-.255
15,T16,T19,Justin Harding,31,-.250
16,T16,45,Brooks Koepka,49,-.250
17,T16,T19,Sam Ryder,52,-.250
18,T16,10,J.J. Spaun,68,-.250
19,20,T19,Brian Gay,79,-.244
20,21,23,Hideki Matsuyama,59,-.243
21,22,15,Kelly Kraft,67,-.241
22,T23,22,Adam Schenk,80,-.235
23,T23,26,D.J. Trahan,33,-.235
24,25,24,Jim Herman,37,-.229
25,T26,28,Haotong Li,32,-.227
26,T26,25,Peter Uihlein,65,-.227
27,28,27,Richy Werenski,63,-.226
28,29,T36,Jonas Blixt,66,-.220
29,T30,46,Wyndham Clark,61,-.219
30,T30,T31,Trey Mullinax,67,-.219
31,32,33,Jason Day,45,-.216
32,33,30,Sungjae Im,88,-.215
33,T34,T34,Patrick Cantlay,49,-.214
34,T34,T34,Stewart Cink,33,-.214
35,T34,T40,Nate Lashley,44,-.214
36,T34,29,Johnson Wagner,45,-.214
37,38,T36,Charles Howell III,64,-.213
38,39,43,Brandon Harkins,67,-.209
39,T40,T55,Ryan Palmer,56,-.208
40,T40,T40,J.T. Poston,76,-.208
41,T40,T40,Jhonattan Vegas,60,-.208
42,43,39,Scott Piercy,70,-.207
43,44,54,Sergio Garcia,39,-.200
44,T45,T47,Kiradech Aphibarnrat,49,-.196
45,T45,T47,Matt Jones,67,-.196
46,T47,T49,Abraham Ancer,69,-.194
47,T47,T49,Kevin Kisner,65,-.194
48,T49,T51,Andrew Landry,56,-.192
49,T49,T51,Tiger Woods,31,-.192
50,51,T81,Ben Crane,41,-.189
51,52,38,Justin Thomas,49,-.186
52,53,T55,Bubba Watson,47,-.184
53,T54,62,Chesson Hadley,58,-.182
54,T54,T31,Rod Pampling,40,-.182
55,56,44,Matt Kuchar,65,-.181
56,T57,T55,Stephan Jaeger,59,-.179
57,T57,63,Patrick Reed,53,-.179
