,Approaches_from_250-275_yards_Rgh_RANK THIS WEEK,Approaches_from_250-275_yards_Rgh_RANK LAST WEEK,Approaches_from_250-275_yards_Rgh_PLAYER NAME,Approaches_from_250-275_yards_Rgh_ROUNDS,Approaches_from_250-275_yards_Rgh_AVG,Approaches_from_250-275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_250-275_yards_Rgh_# OF ATTEMPTS,Approaches_from_250-275_yards_Rgh_RELATIVE TO PAR
0,1,1,Talor Gooch,37,"27' 5""",82.167,3,-1
1,2,2,Alex Prugh,54,"35' 1""",70.083,2,-3
2,3,3,Aaron Wise,52,"38' 10""",38.833,1,-1
3,4,4,Bill Haas,58,"39' 0""",156.083,4,-1
4,5,5,Matthew Fitzpatrick,42,"39' 11""",159.75,4,-1
5,6,6,Stewart Cink,33,"41' 2""",41.167,1,E
6,7,7,Adam Svensson,51,"44' 5""",222.083,5,-4
7,8,9,Sergio Garcia,39,"48' 7""",145.75,3,-2
8,9,13,Adam Hadwin,66,"48' 8""",243.333,5,-3
9,10,10,Henrik Stenson,46,"49' 4""",49.333,1,E
10,11,11,Russell Knox,65,"51' 7""",309.33299999999997,6,-4
11,12,12,Marc Leishman,52,"52' 8""",158.083,3,-3
12,13,14,Abraham Ancer,69,"53' 8""",268.41700000000003,5,-4
13,14,15,Roberto Díaz,51,"54' 8""",218.5,4,-4
14,15,16,Dustin Johnson,47,"55' 5""",166.333,3,-2
15,16,17,Curtis Luck,51,"55' 6""",221.833,4,E
16,17,18,Max Homa,61,"56' 1""",168.333,3,-3
17,18,19,Sung Kang,67,"56' 3""",562.8330000000001,10,-6
18,19,20,Kyoung-Hoon Lee,72,"56' 8""",396.75,7,-4
19,20,21,Fabián Gómez,44,"57' 8""",288.16700000000003,5,-3
20,21,22,Hudson Swafford,59,"58' 9""",117.5,2,-2
21,22,23,Webb Simpson,53,"58' 11""",412.333,7,-5
22,23,24,Tiger Woods,31,"60' 4""",120.583,2,-1
23,24,25,Lucas Bjerregaard,37,"60' 9""",121.417,2,E
24,25,8,Ryan Palmer,56,"61' 0""",244.0,4,-3
25,26,26,Martin Trainer,51,"61' 2""",305.75,5,-3
26,27,27,Justin Rose,42,"61' 5""",245.75,4,-2
27,28,999,Shane Lowry,30,"62' 1""",124.167,2,-2
28,29,28,Jordan Spieth,57,"62' 10""",376.833,6,-2
29,30,29,C.T. Pan,64,"64' 8""",452.5,7,-3
30,31,37,Dylan Frittelli,55,"65' 4""",652.9169999999999,10,-7
31,32,30,Kyle Stanley,53,"65' 6""",130.917,2,-1
32,33,36,Brooks Koepka,49,"66' 4""",398.167,6,-1
33,34,33,Joaquin Niemann,68,"66' 5""",199.25,3,-4
34,35,34,Hideki Matsuyama,59,"66' 6""",132.917,2,E
35,36,35,Aaron Baddeley,51,"66' 8""",266.5,4,-1
36,37,38,Nate Lashley,44,"67' 0""",201.083,3,-3
37,38,39,Zach Johnson,50,"67' 1""",268.25,4,-1
38,39,40,Freddie Jacobson,37,"67' 9""",203.333,3,-3
39,40,41,Tony Finau,61,"68' 0""",475.833,7,-3
40,41,42,Cameron Tringale,52,"68' 3""",614.0,9,-8
41,42,43,Emiliano Grillo,65,"69' 3""",346.25,5,E
42,43,44,Sam Saunders,53,"69' 4""",554.5830000000001,8,-2
43,44,45,Matt Wallace,31,"69' 8""",69.667,1,E
44,45,46,Satoshi Kodaira,51,"69' 11""",349.5,5,-4
45,46,47,Scott Brown,66,"70' 1""",210.333,3,-1
46,47,48,Bud Cauley,61,"70' 2""",350.917,5,-1
47,48,49,Rickie Fowler,54,"70' 3""",281.08299999999997,4,-3
48,49,50,Si Woo Kim,65,"70' 5""",493.083,7,-5
49,50,51,Carlos Ortiz,60,"70' 8""",494.5,7,-5
50,51,52,Matt Kuchar,65,"70' 9""",282.91700000000003,4,-3
51,52,53,John Huh,35,"70' 10""",212.5,3,E
52,53,T87,Brian Harman,67,"71' 3""",213.667,3,E
53,54,55,Bubba Watson,47,"71' 7""",429.5,6,-2
54,55,56,Adam Schenk,80,"71' 11""",503.167,7,-3
55,56,54,José de Jesús Rodríguez,51,"72' 1""",576.4169999999999,8,-5
56,57,57,Hunter Mahan,45,"72' 8""",218.083,3,-2
57,58,58,Jason Dufner,56,"73' 1""",146.167,2,-2
58,59,59,Troy Merritt,42,"73' 3""",293.0,4,-2
59,T60,T60,"Ted Potter, Jr.",56,"73' 9""",295.08299999999997,4,+1
60,T60,T60,Roger Sloan,62,"73' 9""",295.08299999999997,4,-4
61,62,62,Anders Albertson,48,"74' 1""",296.25,4,-2
62,63,32,Josh Teater,47,"74' 5""",595.0830000000001,8,-2
63,64,63,Gary Woodland,63,"74' 7""",447.417,6,-3
64,65,31,Wes Roach,45,"74' 8""",223.917,3,-3
65,66,64,Branden Grace,62,"74' 9""",523.4169999999999,7,-5
66,67,66,Bryson DeChambeau,45,"76' 2""",380.917,5,-1
67,68,67,Nick Watney,67,"76' 7""",153.083,2,+1
68,T69,T106,Corey Conners,62,"77' 1""",616.75,8,-4
69,T69,68,Seth Reeves,52,"77' 1""",694.0830000000001,9,-6
70,71,65,J.J. Spaun,68,"77' 4""",464.0,6,-3
71,72,69,Denny McCarthy,63,"77' 6""",464.75,6,-5
72,73,70,Sam Ryder,52,"77' 9""",699.9169999999999,9,-6
73,74,71,Ryan Moore,54,"78' 0""",390.083,5,-3
74,75,72,Kevin Streelman,63,"78' 6""",313.91700000000003,4,-1
75,T76,T73,Lucas Glover,62,"78' 8""",236.083,3,-1
76,T76,T73,Danny Willett,47,"78' 8""",629.25,8,-3
77,78,75,Cameron Davis,54,"78' 9""",393.583,5,-3
78,79,76,Stephan Jaeger,59,"78' 11""",631.3330000000001,8,-2
79,80,77,J.B. Holmes,54,"79' 0""",157.917,2,E
80,81,79,Brian Stuard,76,"79' 2""",395.917,5,-2
81,82,80,Daniel Berger,48,"79' 4""",476.167,6,-2
82,T83,T81,Patrick Cantlay,49,"79' 6""",794.6669999999999,10,-6
83,T83,T81,Russell Henley,56,"79' 6""",397.417,5,-3
84,T83,T81,Ollie Schniederjans,63,"79' 6""",794.5830000000001,10,+3
85,T86,T84,Jonas Blixt,66,"80' 2""",400.833,5,-3
86,T86,T84,Nick Taylor,70,"80' 2""",721.4169999999999,9,-4
