,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
192,T191,T194,Chris Thompson,34,33.3,7,21,-3.00
193,194,191,Peter Malnati,64,32.7,18,55,-3.00
194,T195,192,Ryan Armour,66,32.3,10,31,-2.00
195,T195,T194,Matt Every,38,32.3,10,31,-3.00
196,197,197,Seth Reeves,52,32.0,8,25,-1.00
197,198,190,Jim Herman,37,31.6,6,19,-2.00
198,199,193,Kramer Hickok,59,30.4,7,23,-2.00
199,T200,202,Kyle Jones,49,29.6,8,27,-1.00
200,T200,199,Scott Langley,60,29.6,8,27,-1.00
201,202,198,Chris Stroud,54,29.2,14,48,-5.00
202,T203,203,Lucas Bjerregaard,37,26.7,4,15,-1.00
203,T203,201,Aaron Wise,52,26.7,8,30,-1.00
204,205,200,Joey Garber,44,26.3,5,19,E
205,206,204,Haotong Li,32,25.0,3,12,-1.00
206,207,206,Roberto Castro,54,20.7,6,29,-2.00
207,208,205,Hunter Mahan,45,20.0,3,15,-1.00
208,209,207,Fabián Gómez,44,16.0,4,25,E
