,Approaches_from_100-125_yards_RANK THIS WEEK,Approaches_from_100-125_yards_RANK LAST WEEK,Approaches_from_100-125_yards_PLAYER NAME,Approaches_from_100-125_yards_ROUNDS,Approaches_from_100-125_yards_AVG,Approaches_from_100-125_yards_TOTAL DISTANCE (FEET),Approaches_from_100-125_yards_# OF ATTEMPTS,Approaches_from_100-125_yards_RELATIVE TO PAR
0,1,1,Sergio Garcia,39,"15' 5""",386.083,25,-5
1,2,3,Adam Scott,41,"15' 7""",295.83299999999997,19,-3
2,3,2,Jim Furyk,53,"16' 0""",1136.333,71,-19
3,4,4,Vaughn Taylor,69,"16' 1""",1365.25,85,-31
4,5,5,Justin Rose,42,"16' 5""",573.8330000000001,35,-10
5,T6,T9,Nate Lashley,44,"16' 11""",948.75,56,-12
6,T6,T7,Brian Stuard,76,"16' 11""",1388.5,82,-14
7,8,T9,Sebastián Muñoz,58,"17' 3""",742.0,43,-7
8,9,T18,Adam Svensson,51,"17' 4""",866.9169999999999,50,-7
9,10,6,Rod Pampling,40,"17' 5""",573.6669999999999,33,-6
10,T11,T24,J.B. Holmes,54,"17' 6""",684.0830000000001,39,-6
11,T11,12,Russell Knox,65,"17' 6""",1297.083,74,-8
12,T13,T13,Kevin Na,54,"17' 7""",719.9169999999999,41,-6
13,T13,T7,Joaquin Niemann,68,"17' 7""",1546.4170000000001,88,-14
14,T15,15,Joey Garber,44,"17' 9""",674.0,38,-10
15,T15,T16,Emiliano Grillo,65,"17' 9""",924.0830000000001,52,-4
16,T15,T16,Sam Ryder,52,"17' 9""",852.6669999999999,48,-12
17,18,T18,Anirban Lahiri,54,"17' 10""",838.0830000000001,47,-12
18,19,T18,Jim Knous,55,"17' 11""",771.5830000000001,43,-4
19,20,23,Jason Day,45,"18' 0""",665.6669999999999,37,-8
20,T21,T21,Corey Conners,62,"18' 1""",1792.4170000000001,99,-15
21,T21,T24,Chesson Hadley,58,"18' 1""",1192.833,66,-12
22,T21,999,Tyrone Van Aswegen,30,"18' 1""",506.5,28,+3
23,T24,T27,Chez Reavie,67,"18' 2""",1144.667,63,-11
24,T24,T27,Kevin Streelman,63,"18' 2""",1491.75,82,-10
25,T24,11,Justin Thomas,49,"18' 2""",782.0830000000001,43,-8
26,27,T29,Ben Silverman,54,"18' 3""",1530.1670000000001,84,-14
27,28,T121,Brooks Koepka,49,"18' 4""",660.6669999999999,36,-9
28,29,T38,Anders Albertson,48,"18' 5""",902.4169999999999,49,-7
29,T30,T32,Charles Howell III,64,"18' 6""",1128.833,61,-13
30,T30,31,Peter Malnati,64,"18' 6""",1293.167,70,-24
31,T30,T13,Wes Roach,45,"18' 6""",907.0830000000001,49,-14
32,T30,T32,Charl Schwartzel,34,"18' 6""",258.75,14,+1
33,T34,T34,Byeong Hun An,54,"18' 7""",689.0,37,-3
