,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
0,1,1,Corey Conners,62,72.81,83,114,-0.04
1,2,2,Tiger Woods,31,71.05,54,76,-0.20
2,3,4,Justin Rose,42,69.32,61,88,-0.18
3,4,3,Rory McIlroy,50,68.6,59,86,-0.05
4,5,5,Brooks Koepka,49,66.18,45,68,-0.09
5,6,8,Nate Lashley,44,65.63,63,96,-0.14
6,7,7,Marc Leishman,52,65.0,78,120,-0.23
7,8,6,Aaron Wise,52,64.76,68,105,-0.15
8,9,11,Adam Schenk,80,64.02,137,214,-0.13
9,10,13,Sepp Straka,48,62.38,63,101,-0.21
10,11,15,Trey Mullinax,67,62.07,90,145,-0.11
11,12,9,Alex Noren,49,61.82,68,110,-0.09
12,13,14,Johnson Wagner,45,61.76,63,102,-0.13
13,14,16,Kyoung-Hoon Lee,72,61.73,100,162,-0.20
14,15,18,Jim Furyk,53,61.49,107,174,-0.06
15,16,17,Russell Henley,56,61.38,89,145,-0.11
16,17,T19,Matt Kuchar,65,61.22,90,147,-0.12
17,18,22,Daniel Berger,48,61.15,85,139,-0.08
18,19,12,Kevin Tway,62,61.11,88,144,-0.14
19,20,26,Ryan Palmer,56,61.06,69,113,-0.17
20,T21,28,Keegan Bradley,65,60.71,85,140,-0.12
21,T21,T19,Emiliano Grillo,65,60.71,85,140,-0.08
22,23,21,Grayson Murray,36,60.49,49,81,-0.04
23,T24,25,Roberto Díaz,51,60.34,70,116,-0.04
24,T24,23,Haotong Li,32,60.34,35,58,-0.11
25,26,T68,Justin Thomas,49,60.19,62,103,-0.03
26,27,27,Sungjae Im,88,59.91,127,212,-0.10
27,28,24,Hideki Matsuyama,59,59.88,97,162,-0.19
28,29,33,Shawn Stefani,57,59.71,83,139,-0.18
29,30,29,Xander Schauffele,55,59.62,62,104,-0.10
30,31,30,Jason Kokrak,68,59.56,109,183,-0.18
31,32,31,Jason Dufner,56,59.54,78,131,+0.01
32,33,32,Rickie Fowler,54,59.46,88,148,-0.16
33,T34,36,Sebastián Muñoz,58,59.38,76,128,-0.14
34,T34,52,Alex Prugh,54,59.38,57,96,-0.07
35,36,999,Shane Lowry,30,59.32,35,59,+0.03
36,37,42,Hank Lebioda,55,59.23,77,130,-0.09
37,38,35,Lucas Glover,62,59.22,106,179,-0.12
38,39,37,James Hahn,34,59.09,26,44,-0.04
39,40,38,Troy Merritt,42,58.88,63,107,-0.11
40,41,39,Adam Long,52,58.44,90,154,-0.12
41,42,T40,Scott Piercy,70,58.39,87,149,-0.14
42,T43,43,Bryson DeChambeau,45,58.18,64,110,-0.17
43,T43,T68,Talor Gooch,37,58.18,64,110,-0.14
44,45,T40,Kramer Hickok,59,58.11,86,148,-0.12
45,46,44,Hudson Swafford,59,57.89,88,152,-0.16
46,47,46,Max Homa,61,57.8,100,173,-0.15
47,48,47,Kevin Streelman,63,57.78,104,180,-0.10
48,49,48,Sam Ryder,52,57.75,82,142,-0.09
49,50,49,Hunter Mahan,45,57.73,56,97,-0.16
