,Approaches_175-200_yards-Rgh_RTP_RANK THIS WEEK,Approaches_175-200_yards-Rgh_RTP_RANK LAST WEEK,Approaches_175-200_yards-Rgh_RTP_PLAYER NAME,Approaches_175-200_yards-Rgh_RTP_ROUNDS,Approaches_175-200_yards-Rgh_RTP_AVG RTP
0,1,T1,Haotong Li,32,-.375
1,2,T1,D.J. Trahan,33,-.333
2,3,3,Russell Henley,56,-.125
3,4,4,Paul Casey,51,-.118
4,5,5,Justin Rose,42,-.100
5,6,7,Luke List,52,-.091
6,7,6,Kevin Tway,62,-.087
7,8,8,Trey Mullinax,67,-.080
8,9,9,Tommy Fleetwood,43,-.063
9,10,10,Ernie Els,43,-.056
10,11,11,Seth Reeves,52,-.050
11,12,T12,Aaron Wise,52,-.048
12,T13,T12,Patrick Cantlay,49,E
13,T13,T12,Cameron Davis,54,E
14,T13,T12,Stephan Jaeger,59,E
15,T13,T12,Marc Leishman,52,E
16,T13,T12,Ryan Moore,54,E
17,T13,T12,Pat Perez,52,E
18,T13,T12,Sam Saunders,53,E
19,T13,T12,Tiger Woods,31,E
20,21,23,Keith Mitchell,64,+.043
21,22,24,Dustin Johnson,47,+.045
22,23,26,Brian Harman,67,+.050
23,24,29,J.T. Poston,76,+.065
24,T25,T30,Ryan Armour,66,+.067
25,T25,T30,Cameron Champ,58,+.067
26,T25,T64,Josh Teater,47,+.067
27,T28,T32,Michael Kim,51,+.071
28,T28,T32,Alex Prugh,54,+.071
29,30,34,Matt Wallace,31,+.077
30,T31,T35,Patton Kizzire,58,+.087
31,T31,T35,Peter Malnati,64,+.087
32,T31,T35,C.T. Pan,64,+.087
33,T31,25,Harold Varner III,62,+.087
34,T35,T38,Brandt Snedeker,68,+.088
35,T35,T38,Jordan Spieth,57,+.088
36,37,40,John Senden,39,+.091
37,38,41,Lucas Glover,62,+.095
38,39,42,Charles Howell III,64,+.097
39,40,T44,Ollie Schniederjans,63,+.098
40,41,43,Andrew Putnam,57,+.100
41,42,T44,Beau Hossler,66,+.103
42,43,46,Rafa Cabrera Bello,57,+.105
43,T44,T47,Keegan Bradley,65,+.111
44,T44,T47,Austin Cook,50,+.111
45,T44,T47,Rickie Fowler,54,+.111
46,T44,T27,Danny Willett,47,+.111
47,48,50,Webb Simpson,53,+.120
48,49,T57,Peter Uihlein,65,+.130
49,T50,T52,Sam Burns,66,+.133
50,T50,T52,Stewart Cink,33,+.133
51,T50,T52,Ryan Palmer,56,+.133
52,53,56,Martin Kaymer,38,+.136
53,T54,T57,Tyrrell Hatton,46,+.143
54,T54,T57,Matt Kuchar,65,+.143
55,T54,T57,Jon Rahm,51,+.143
56,T54,T61,Adam Svensson,51,+.143
57,T58,T12,Talor Gooch,37,+.150
58,T58,T61,Xander Schauffele,55,+.150
59,T60,T64,Branden Grace,62,+.154
60,T60,T64,Si Woo Kim,65,+.154
61,T60,T64,Joaquin Niemann,68,+.154
62,63,69,Chris Stroud,54,+.156
63,64,T70,Scott Piercy,70,+.158
64,T65,T27,Dominic Bozzelli,53,+.167
65,T65,T70,John Huh,35,+.167
66,T65,T70,Nate Lashley,44,+.167
67,T65,T70,Rory Sabbatini,71,+.167
68,T65,T70,Charl Schwartzel,34,+.167
69,70,76,Brian Stuard,76,+.172
70,T71,77,"Ted Potter, Jr.",56,+.174
71,T71,T61,J.J. Spaun,68,+.174
72,73,T78,Hunter Mahan,45,+.176
73,T74,80,Michael Thompson,56,+.179
74,T74,51,Jimmy Walker,61,+.179
75,76,T64,Julián Etulain,55,+.185
76,77,81,Ian Poulter,49,+.188
77,T78,T82,Chesson Hadley,58,+.190
78,T78,T86,Shawn Stefani,57,+.190
79,80,T125,Cameron Tringale,52,+.192
80,T81,T93,Jonas Blixt,66,+.194
81,T81,85,Nick Taylor,70,+.194
82,T83,T86,Bronson Burgoon,37,+.200
83,T83,T86,Jim Herman,37,+.200
84,T83,T86,Brooks Koepka,49,+.200
85,T83,T86,Hideki Matsuyama,59,+.200
86,87,91,Grayson Murray,36,+.208
87,88,95,Tony Finau,61,+.217
88,T89,T99,Bud Cauley,61,+.222
89,T89,T96,Cameron Smith,55,+.222
90,T91,98,Anirban Lahiri,54,+.227
91,T91,92,Curtis Luck,51,+.227
92,93,T99,Emiliano Grillo,65,+.231
93,T94,T101,Abraham Ancer,69,+.235
94,T94,T101,Bryson DeChambeau,45,+.235
95,T94,T101,Chez Reavie,67,+.235
96,T97,T110,Mackenzie Hughes,58,+.238
97,T97,T105,Patrick Reed,53,+.238
98,T97,T105,Sam Ryder,52,+.238
99,T97,T119,Justin Thomas,49,+.238
100,101,107,Russell Knox,65,+.240
101,102,T108,Jason Kokrak,68,+.242
102,T103,T70,Ben Crane,41,+.250
103,T103,T96,Zach Johnson,50,+.250
104,T103,T110,Kevin Kisner,65,+.250
105,T103,T52,Jim Knous,55,+.250
106,T103,T110,Kyoung-Hoon Lee,72,+.250
107,T103,T110,Adam Long,52,+.250
108,T103,T119,Graeme McDowell,61,+.250
109,T103,T110,Adam Scott,41,+.250
110,T103,T110,Hudson Swafford,59,+.250
111,T103,T93,Chris Thompson,34,+.250
112,113,117,Sung Kang,67,+.258
113,114,134,Martin Laird,60,+.259
114,T115,118,Matt Jones,67,+.261
115,T115,T82,Seamus Power,58,+.261
116,T115,T125,Martin Trainer,51,+.261
117,T118,T119,Byeong Hun An,54,+.263
118,T118,T119,Scott Stallings,63,+.263
119,T118,T119,Robert Streb,60,+.263
120,121,T108,Harris English,72,+.265
121,T122,T125,David Hearn,41,+.273
122,T122,T125,Adam Schenk,80,+.273
123,124,129,Jhonattan Vegas,60,+.276
124,T125,T141,Alex Cejka,41,+.278
125,T125,T78,Sergio Garcia,39,+.278
126,T125,T101,J.J. Henry,42,+.278
127,T125,T130,Billy Horschel,73,+.278
128,T125,T130,Kevin Streelman,63,+.278
129,T125,T130,Vaughn Taylor,69,+.278
130,T125,T170,Johnson Wagner,45,+.278
131,132,140,Sungjae Im,88,+.280
132,133,135,Brandon Harkins,67,+.281
133,T134,T136,Aaron Baddeley,51,+.286
134,T134,T144,Kyle Jones,49,+.286
135,T134,999,Shane Lowry,30,+.286
136,T134,T159,Sebastián Muñoz,58,+.286
137,T134,T136,Chase Wright,53,+.286
138,139,139,Carlos Ortiz,60,+.290
139,T140,T159,Jonathan Byrd,43,+.294
140,T140,T141,Chris Kirk,47,+.294
141,T140,T141,Brendan Steele,50,+.294
142,T140,999,Tyrone Van Aswegen,30,+.294
143,T144,T144,Sangmoon Bae,42,+.300
144,T144,T144,Rory McIlroy,50,+.300
145,146,T136,Brian Gay,79,+.304
