,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
87,88,T84,Harold Varner III,62,"43' 6""",84,3653.583,+10.00
88,89,T96,J.J. Spaun,68,"43' 9""",55,2408.25,+1.00
89,T90,92,Andrew Putnam,57,"43' 10""",53,2325.167,+4.00
90,T90,90,Nick Taylor,70,"43' 10""",98,4298.167,+12.00
91,92,T93,C.T. Pan,64,"43' 11""",67,2942.25,+6.00
92,T93,113,Wyndham Clark,61,"44' 0""",88,3871.667,+4.00
93,T93,95,Ryan Moore,54,"44' 0""",35,1540.9170000000001,-5.00
94,95,T96,Cameron Smith,55,"44' 1""",64,2822.667,+6.00
95,T96,T71,Scott Brown,66,"44' 2""",76,3356.25,+2.00
96,T96,91,Bill Haas,58,"44' 2""",60,2648.833,-1.00
97,98,99,Luke List,52,"44' 3""",93,4114.75,+10.00
98,T99,T111,Adam Svensson,51,"44' 4""",59,2613.333,+7.00
99,T99,T59,Chris Thompson,34,"44' 4""",50,2214.833,+1.00
100,T101,T88,Jim Herman,37,"44' 5""",37,1643.3329999999999,+6.00
101,T101,T101,John Huh,35,"44' 5""",31,1377.9170000000001,+5.00
102,T101,T101,Satoshi Kodaira,51,"44' 5""",43,1908.1670000000001,+10.00
103,T104,T103,Byeong Hun An,54,"44' 6""",62,2759.083,+7.00
104,T104,T93,Sam Saunders,53,"44' 6""",63,2804.25,+10.00
105,T104,T120,Peter Uihlein,65,"44' 6""",96,4275.25,+14.00
106,T104,T118,Nick Watney,67,"44' 6""",82,3651.083,+12.00
107,T108,T88,Harris English,72,"44' 7""",108,4818.25,+1.00
108,T108,T107,Branden Grace,62,"44' 7""",44,1961.5829999999999,+7.00
109,T108,T107,Adam Long,52,"44' 7""",75,3341.417,+19.00
110,T108,T107,Keith Mitchell,64,"44' 7""",74,3297.25,+2.00
111,112,T78,Aaron Wise,52,"44' 9""",61,2729.333,-2.00
112,113,T118,Ben Silverman,54,"44' 10""",61,2737.25,+7.00
113,114,T103,Roger Sloan,62,"44' 11""",72,3234.083,+7.00
114,T115,T125,Ryan Armour,66,"45' 0""",57,2563.417,+7.00
115,T115,T78,Dominic Bozzelli,53,"45' 0""",56,2520.167,+3.00
116,T117,T114,Max Homa,61,"45' 1""",75,3383.167,-3.00
117,T117,T114,Jordan Spieth,57,"45' 1""",83,3742.25,+11.00
118,119,116,Webb Simpson,53,"45' 2""",64,2888.083,+11.00
119,120,117,Pat Perez,52,"45' 4""",40,1812.75,+11.00
120,121,T123,Hudson Swafford,59,"45' 5""",87,3954.833,+5.00
121,122,T138,Seamus Power,58,"45' 6""",81,3687.667,+29.00
122,123,T130,Alex Cejka,41,"45' 7""",43,1960.1670000000001,+11.00
123,124,T120,Rafa Cabrera Bello,57,"45' 8""",45,2053.917,+8.00
124,125,T123,Brendan Steele,50,"45' 9""",66,3016.917,+12.00
125,126,T125,Jason Dufner,56,"45' 10""",56,2565.583,+13.00
126,127,T111,Dustin Johnson,47,"45' 11""",67,3075.667,+5.00
127,T128,129,Phil Mickelson,41,"46' 0""",79,3632.0,+13.00
128,T128,T127,Brandt Snedeker,68,"46' 0""",97,4461.667,+8.00
129,130,T130,Cameron Champ,58,"46' 1""",108,4980.417,+8.00
130,131,132,Jon Rahm,51,"46' 2""",59,2722.667,+5.00
131,132,137,Fabián Gómez,44,"46' 3""",45,2079.833,+9.00
132,133,T134,Xander Schauffele,55,"46' 5""",64,2973.167,+3.00
133,134,T120,Dylan Frittelli,55,"46' 8""",75,3498.333,-3.00
134,135,T138,Chez Reavie,67,"46' 9""",43,2011.1670000000001,+3.00
135,T136,T171,Austin Cook,50,"46' 10""",51,2386.917,+6.00
136,T136,T142,Justin Thomas,49,"46' 10""",66,3092.333,-1.00
137,T136,T107,Johnson Wagner,45,"46' 10""",50,2340.25,+6.00
138,139,T149,Martin Laird,60,"46' 11""",88,4127.583,+16.00
139,140,141,Francesco Molinari,41,"47' 0""",34,1598.8329999999999,+5.00
140,141,T142,Michael Thompson,56,"47' 1""",75,3533.333,+11.00
141,T142,133,Anders Albertson,48,"47' 4""",68,3220.167,+14.00
142,T142,T144,Louis Oosthuizen,43,"47' 4""",34,1609.6670000000001,+13.00
143,T142,175,Rod Pampling,40,"47' 4""",41,1941.5,+22.00
144,T142,T144,Patrick Rodgers,44,"47' 4""",78,3691.417,+8.00
145,T146,146,Bronson Burgoon,37,"47' 5""",46,2179.583,+15.00
146,T146,T167,Curtis Luck,51,"47' 5""",53,2513.833,+14.00
147,148,T127,Sangmoon Bae,42,"47' 6""",42,1995.5829999999999,+7.00
148,149,148,Kyle Stanley,53,"47' 7""",43,2045.0829999999999,+12.00
149,T150,140,Zach Johnson,50,"47' 8""",77,3669.583,+8.00
150,T150,T149,Andrew Landry,56,"47' 8""",57,2716.75,+22.00
151,T150,T149,Gary Woodland,63,"47' 8""",75,3573.25,+16.00
152,T153,T152,Paul Casey,51,"47' 10""",49,2345.167,+6.00
153,T153,T152,Anirban Lahiri,54,"47' 10""",61,2919.25,+11.00
154,T153,999,Shane Lowry,30,"47' 10""",43,2057.5,+3.00
155,T156,T167,Brice Garnett,63,"47' 11""",53,2538.833,+13.00
156,T156,T155,Patton Kizzire,58,"47' 11""",69,3304.083,+9.00
157,T156,T155,Tiger Woods,31,"47' 11""",36,1724.25,+2.00
158,159,190,Brady Schnell,38,"48' 0""",41,1969.3329999999999,+9.00
159,160,T157,Beau Hossler,66,"48' 1""",86,4138.5,+18.00
160,T161,T161,Ryan Blaum,67,"48' 2""",99,4768.583,+37.00
161,T161,T161,Martin Kaymer,38,"48' 2""",50,2408.417,+7.00
162,163,136,Sebastián Muñoz,58,"48' 3""",69,3329.417,+12.00
163,164,163,Bryson DeChambeau,45,"48' 4""",58,2802.333,-2.00
