,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
143,T143,T142,Billy Horschel,73,+.131
144,T143,105,Wes Roach,45,+.131
145,T146,T145,Beau Hossler,66,+.132
146,T146,T145,Francesco Molinari,41,+.132
147,148,T171,Adam Hadwin,66,+.133
148,T149,T106,Dominic Bozzelli,53,+.135
149,T149,149,Matt Jones,67,+.135
150,151,T150,Adam Long,52,+.136
151,152,110,Kramer Hickok,59,+.137
152,T153,T100,Rod Pampling,40,+.138
153,T153,180,Johnson Wagner,45,+.138
154,155,153,D.A. Points,33,+.139
155,156,T154,Matthew Fitzpatrick,42,+.140
156,T157,133,Curtis Luck,51,+.143
157,T157,T158,Louis Oosthuizen,43,+.143
158,159,138,Ben Silverman,54,+.145
159,160,T145,Adam Schenk,80,+.146
160,T161,T160,Anirban Lahiri,54,+.148
161,T161,T160,Vaughn Taylor,69,+.148
162,T161,T154,Nick Watney,67,+.148
163,164,162,C.T. Pan,64,+.149
164,T165,T163,Max Homa,61,+.150
165,T165,T154,Scott Stallings,63,+.150
166,167,189,José de Jesús Rodríguez,51,+.151
167,T168,T167,Cameron Champ,58,+.154
168,T168,T167,Michael Kim,51,+.154
169,T168,T167,Grayson Murray,36,+.154
170,T168,T167,Chez Reavie,67,+.154
171,172,T171,Michael Thompson,56,+.156
172,173,T163,Peter Malnati,64,+.157
173,174,166,Brice Garnett,63,+.161
174,T175,T173,Emiliano Grillo,65,+.162
175,T175,T173,Charl Schwartzel,34,+.162
176,177,175,Adam Scott,41,+.163
177,178,999,Tyrone Van Aswegen,30,+.167
178,179,176,Richy Werenski,63,+.169
179,180,T158,Zach Johnson,50,+.170
180,181,177,Kevin Streelman,63,+.171
181,182,178,Ryan Blaum,67,+.177
182,183,179,Branden Grace,62,+.179
183,184,T191,Austin Cook,50,+.182
184,185,181,Kevin Kisner,65,+.183
185,186,183,Alex Prugh,54,+.184
186,187,198,Alex Noren,49,+.188
187,188,182,Jason Day,45,+.190
188,189,T187,Ryan Armour,66,+.194
189,190,T191,John Chin,38,+.196
190,191,T185,John Huh,35,+.197
191,192,195,Kelly Kraft,67,+.198
192,193,T185,Aaron Wise,52,+.206
193,194,184,Matt Every,38,+.212
194,195,194,Scott Brown,66,+.213
195,196,201,Whee Kim,57,+.217
196,197,193,Kyle Stanley,53,+.224
197,T198,190,Roberto Castro,54,+.226
198,T198,205,Tyler Duncan,66,+.226
199,200,196,Justin Rose,42,+.232
200,201,T199,Shawn Stefani,57,+.234
201,202,197,Jason Dufner,56,+.237
202,203,T199,Cody Gribble,52,+.244
203,204,202,Tiger Woods,31,+.250
204,205,203,Henrik Stenson,46,+.258
205,206,T187,Ben Crane,41,+.273
206,T207,207,Jim Herman,37,+.302
207,T207,204,Martin Trainer,51,+.302
208,209,206,Freddie Jacobson,37,+.327
