,Approaches_50-75_yards-Rgh_RTP_RANK THIS WEEK,Approaches_50-75_yards-Rgh_RTP_RANK LAST WEEK,Approaches_50-75_yards-Rgh_RTP_PLAYER NAME,Approaches_50-75_yards-Rgh_RTP_ROUNDS,Approaches_50-75_yards-Rgh_RTP_AVG RTP
0,T1,,Austin Cook,50,-1.000
1,T1,T1,Ernie Els,43,-1.000
2,T1,T1,Grayson Murray,36,-1.000
3,4,T4,Paul Casey,51,-.667
4,T5,T7,Brian Gay,79,-.500
5,T5,T7,Justin Harding,31,-.500
6,T5,T7,Luke List,52,-.500
7,T5,T7,Troy Merritt,42,-.500
8,T5,T7,Ben Silverman,54,-.500
9,T5,T7,Harold Varner III,62,-.500
10,T5,T7,Jhonattan Vegas,60,-.500
11,T12,T1,Lucas Bjerregaard,37,-.400
12,T12,T16,Scott Brown,66,-.400
13,T12,T16,Lucas Glover,62,-.400
14,T12,T16,Ryan Moore,54,-.400
15,T12,T7,Alex Prugh,54,-.400
16,T12,T7,Josh Teater,47,-.400
17,18,26,Brooks Koepka,49,-.375
18,T19,T28,Jonathan Byrd,43,-.333
19,T19,T19,Mackenzie Hughes,58,-.333
20,T19,T56,Scott Langley,60,-.333
21,T19,T19,Marc Leishman,52,-.333
22,T19,T19,Louis Oosthuizen,43,-.333
23,T19,T19,Pat Perez,52,-.333
24,T19,T4,J.J. Spaun,68,-.333
25,T19,T19,Justin Thomas,49,-.333
26,27,T19,Roger Sloan,62,-.286
27,28,27,Nick Taylor,70,-.273
28,T29,T28,Joel Dahmen,78,-.250
29,T29,T28,Bryson DeChambeau,45,-.250
30,T29,T46,Julián Etulain,55,-.250
31,T32,T33,Aaron Baddeley,51,-.222
32,T32,T28,Dylan Frittelli,55,-.222
33,T32,T33,Chris Kirk,47,-.222
34,T35,T35,Kiradech Aphibarnrat,49,-.200
35,T35,T35,Patrick Cantlay,49,-.200
36,T35,T28,Kelly Kraft,67,-.200
37,T35,T35,Hank Lebioda,55,-.200
38,T35,T35,Haotong Li,32,-.200
39,T35,T35,Brian Stuard,76,-.200
40,T35,T35,Matt Wallace,31,-.200
41,42,T35,Wyndham Clark,61,-.188
42,T43,T44,Xander Schauffele,55,-.167
43,T43,T44,Peter Uihlein,65,-.167
44,45,T35,Bubba Watson,47,-.154
45,T46,T46,Daniel Berger,48,-.143
46,T46,T19,Zach Johnson,50,-.143
47,T46,T46,Patrick Reed,53,-.143
48,49,55,Trey Mullinax,67,-.133
49,T50,T50,Bill Haas,58,-.125
50,T50,T46,Jim Knous,55,-.125
51,T50,T50,Webb Simpson,53,-.125
52,T50,T56,Brandt Snedeker,68,-.125
53,T54,T52,Kyoung-Hoon Lee,72,-.111
54,T54,T52,Kevin Tway,62,-.111
55,T56,54,Francesco Molinari,41,-.091
56,T56,T56,Robert Streb,60,-.091
57,T56,T35,Nick Watney,67,-.091
58,T59,T56,Sangmoon Bae,42,E
59,T59,T56,Keegan Bradley,65,E
60,T59,T56,Roberto Castro,54,E
61,T59,T56,Alex Cejka,41,E
62,T59,T56,Roberto Díaz,51,E
63,T59,T56,Tyler Duncan,66,E
64,T59,T56,Matt Every,38,E
65,T59,T56,Matthew Fitzpatrick,42,E
66,T59,T56,Tommy Fleetwood,43,E
67,T59,T56,Brice Garnett,63,E
68,T59,T56,Talor Gooch,37,E
69,T59,T56,Branden Grace,62,E
70,T59,T56,Adam Hadwin,66,E
71,T59,T56,James Hahn,34,E
72,T59,T56,Charley Hoffman,58,E
73,T59,T56,J.B. Holmes,54,E
74,T59,T56,Si Woo Kim,65,E
75,T59,T56,Matt Kuchar,65,E
76,T59,T56,Anirban Lahiri,54,E
77,T59,T56,Hunter Mahan,45,E
