,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
147,T145,T161,Ben Silverman,54,"33' 8""",581,19543.667,-40.00
148,T145,T147,Richy Werenski,63,"33' 8""",654,22021.583,-53.00
149,T150,T168,Sangmoon Bae,42,"33' 9""",336,11340.583,-22.00
150,T150,T158,Brice Garnett,63,"33' 9""",571,19293.417,-8.00
151,T150,T141,Ian Poulter,49,"33' 9""",402,13559.167,-43.00
152,T153,T161,Daniel Berger,48,"33' 10""",537,18176.083,-26.00
153,T153,T143,Keith Mitchell,64,"33' 10""",534,18068.25,-39.00
154,T153,T155,Jimmy Walker,61,"33' 10""",550,18597.5,-26.00
155,T156,T145,Roberto Díaz,51,"33' 11""",431,14610.5,-30.00
156,T156,T143,Julián Etulain,55,"33' 11""",437,14807.333,-30.00
157,T156,T180,Mackenzie Hughes,58,"33' 11""",532,18057.5,-9.00
158,T159,T145,Brian Gay,79,"34' 0""",811,27578.833,-53.00
159,T159,T147,Charles Howell III,64,"34' 0""",551,18722.5,-84.00
160,T159,T147,Freddie Jacobson,37,"34' 0""",291,9887.083,-11.00
161,T159,T147,Satoshi Kodaira,51,"34' 0""",465,15796.417,+8.00
162,T163,T168,David Hearn,41,"34' 1""",324,11035.75,-4.00
163,T163,T151,Chris Stroud,54,"34' 1""",503,17123.083,-6.00
164,T165,T161,Dylan Frittelli,55,"34' 2""",550,18798.667,-39.00
165,T165,T161,Aaron Wise,52,"34' 2""",487,16628.917,-36.00
166,T167,T155,Kyoung-Hoon Lee,72,"34' 3""",623,21329.75,-28.00
167,T167,T175,Wes Roach,45,"34' 3""",385,13202.083,-45.00
168,T169,157,Patton Kizzire,58,"34' 4""",470,16152.25,-26.00
169,T169,167,Kelly Kraft,67,"34' 4""",595,20436.0,-4.00
170,T169,T168,Seth Reeves,52,"34' 4""",429,14730.333,-2.00
171,172,T158,Billy Horschel,73,"34' 5""",576,19804.167,-55.00
172,T173,T190,Jonathan Byrd,43,"34' 6""",342,11793.333,-13.00
173,T173,T177,Kyle Jones,49,"34' 6""",465,16047.5,-19.00
174,T173,T161,Anirban Lahiri,54,"34' 6""",517,17835.167,-14.00
175,T173,T168,Seamus Power,58,"34' 6""",537,18540.167,-38.00
176,177,T180,Nick Taylor,70,"34' 7""",746,25810.0,-67.00
177,T178,T168,Matt Jones,67,"34' 8""",579,20080.083,-58.00
178,T178,T168,Pat Perez,52,"34' 8""",404,14004.833,-15.00
179,T178,T168,D.A. Points,33,"34' 8""",254,8815.25,+5.00
180,T181,T175,Ryan Blaum,67,"34' 9""",674,23442.5,-73.00
181,T181,T185,Wyndham Clark,61,"34' 9""",541,18810.167,-50.00
182,T181,T177,J.J. Henry,42,"34' 9""",357,12419.167,+4.00
183,T184,T177,Ernie Els,43,"34' 10""",322,11217.583,-15.00
184,T184,188,Stephan Jaeger,59,"34' 10""",482,16779.0,-46.00
185,T186,T180,Kiradech Aphibarnrat,49,"34' 11""",433,15125.167,-30.00
186,T186,T190,Joey Garber,44,"34' 11""",332,11588.833,-13.00
