,Approaches_from_225-250_yards_Rgh_RANK THIS WEEK,Approaches_from_225-250_yards_Rgh_RANK LAST WEEK,Approaches_from_225-250_yards_Rgh_PLAYER NAME,Approaches_from_225-250_yards_Rgh_ROUNDS,Approaches_from_225-250_yards_Rgh_AVG,Approaches_from_225-250_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_225-250_yards_Rgh_# OF ATTEMPTS,Approaches_from_225-250_yards_Rgh_RELATIVE TO PAR
0,1,1,Justin Harding,31,"23' 8""",23.666999999999998,1,-2
1,2,2,Kevin Streelman,63,"40' 8""",162.583,4,-3
2,3,3,Lucas Glover,62,"44' 2""",353.333,8,-3
3,4,4,Harold Varner III,62,"45' 2""",271.08299999999997,6,-2
4,5,6,Luke List,52,"45' 10""",366.417,8,-2
5,6,7,Hank Lebioda,55,"46' 0""",138.083,3,E
6,7,11,Joey Garber,44,"46' 6""",185.917,4,-2
7,8,8,Pat Perez,52,"47' 0""",187.917,4,E
8,9,23,José de Jesús Rodríguez,51,"48' 1""",240.5,5,-2
9,10,9,Cameron Smith,55,"48' 5""",532.1669999999999,11,-4
10,11,10,Cameron Davis,54,"48' 8""",876.1669999999999,18,-11
11,12,12,Scott Brown,66,"49' 5""",247.25,5,E
12,13,13,Ben Crane,41,"49' 10""",149.5,3,-1
13,14,15,Stewart Cink,33,"50' 11""",203.75,4,-2
14,15,16,Bronson Burgoon,37,"51' 4""",102.667,2,E
15,16,17,Whee Kim,57,"51' 9""",258.83299999999997,5,-1
16,17,19,Chris Kirk,47,"53' 2""",159.5,3,-2
17,18,20,Andrew Putnam,57,"53' 10""",484.75,9,-2
18,19,21,Danny Lee,66,"56' 0""",728.0830000000001,13,-4
19,20,22,Gary Woodland,63,"56' 3""",731.1669999999999,13,-5
20,21,24,Nick Taylor,70,"56' 10""",511.333,9,-5
21,22,39,Sungjae Im,88,"57' 4""",916.75,16,-12
22,T23,T26,Aaron Baddeley,51,"57' 11""",347.667,6,+4
23,T23,T26,D.A. Points,33,"57' 11""",115.833,2,+2
24,25,28,Keith Mitchell,64,"58' 4""",466.333,8,-4
25,26,29,Bryson DeChambeau,45,"58' 6""",350.833,6,-2
26,27,30,Kevin Kisner,65,"58' 9""",470.0,8,-2
27,28,32,Kevin Na,54,"59' 7""",178.833,3,-3
28,29,33,Alex Prugh,54,"60' 3""",421.583,7,+1
29,30,31,Sergio Garcia,39,"61' 1""",427.667,7,-2
30,31,35,Marc Leishman,52,"61' 2""",305.66700000000003,5,+1
31,32,36,Webb Simpson,53,"61' 6""",368.75,6,-1
32,T33,T37,Cameron Champ,58,"61' 11""",681.0830000000001,11,-5
33,T33,T37,Haotong Li,32,"61' 11""",123.75,2,-1
34,35,57,Graeme McDowell,61,"62' 4""",187.0,3,E
35,36,40,Grayson Murray,36,"62' 7""",625.75,10,-4
36,37,41,Brendan Steele,50,"62' 9""",376.417,6,-5
37,T38,55,Bud Cauley,61,"62' 10""",314.0,5,E
38,T38,42,Julián Etulain,55,"62' 10""",188.583,3,-2
39,40,T76,Kevin Tway,62,"63' 3""",695.6669999999999,11,-2
40,41,43,Ernie Els,43,"63' 6""",63.5,1,-1
41,42,109,J.J. Henry,42,"63' 8""",127.25,2,-1
42,T43,T44,Jonathan Byrd,43,"63' 10""",191.583,3,+3
43,T43,T44,Joel Dahmen,78,"63' 10""",1021.6669999999999,16,-8
44,45,46,Michael Kim,51,"63' 11""",511.25,8,+1
45,46,47,Talor Gooch,37,"64' 3""",321.16700000000003,5,-1
46,47,999,Martin Piller,30,"64' 6""",193.417,3,-2
47,T48,18,Sebastián Muñoz,58,"64' 7""",581.5830000000001,9,-5
48,T48,T49,J.T. Poston,76,"64' 7""",774.5,12,-6
49,50,51,Jonas Blixt,66,"64' 8""",582.25,9,-3
50,51,48,J.J. Spaun,68,"64' 9""",582.9169999999999,9,-4
51,52,52,Scott Stallings,63,"65' 1""",195.167,3,-2
52,T53,T53,Phil Mickelson,41,"65' 2""",391.0,6,-2
53,T53,T53,Jon Rahm,51,"65' 2""",325.66700000000003,5,E
54,55,56,Si Woo Kim,65,"65' 9""",722.8330000000001,11,-4
55,56,58,Anirban Lahiri,54,"65' 11""",527.1669999999999,8,-1
