,Approach_225-250_yards_RTP_RANK THIS WEEK,Approach_225-250_yards_RTP_RANK LAST WEEK,Approach_225-250_yards_RTP_PLAYER NAME,Approach_225-250_yards_RTP_ROUNDS,Approach_225-250_yards_RTP_AVG RTP
0,1,1,Cody Gribble,52,-.593
1,2,2,D.J. Trahan,33,-.556
2,3,3,Kevin Na,54,-.517
3,T4,T4,Aaron Baddeley,51,-.500
4,T4,T4,Talor Gooch,37,-.500
5,6,6,Bud Cauley,61,-.490
6,7,T13,Austin Cook,50,-.483
7,8,17,Matt Every,38,-.478
8,9,7,Adam Scott,41,-.476
9,10,8,Adam Svensson,51,-.474
10,11,10,Jonathan Byrd,43,-.467
11,12,9,Si Woo Kim,65,-.457
12,13,11,Carlos Ortiz,60,-.450
13,14,12,Sam Burns,66,-.447
14,15,T13,Ernie Els,43,-.444
15,16,15,Troy Merritt,42,-.440
16,17,16,Sam Ryder,52,-.438
17,18,20,Matt Kuchar,65,-.429
18,19,18,Jason Dufner,56,-.424
19,20,19,Lucas Glover,62,-.419
20,21,T67,Sangmoon Bae,42,-.412
21,22,21,Patrick Reed,53,-.405
22,23,45,Brandt Snedeker,68,-.395
23,24,42,Nick Taylor,70,-.386
24,T25,30,Brian Harman,67,-.385
25,T25,T22,Stephan Jaeger,59,-.385
26,T25,25,Keith Mitchell,64,-.385
27,T25,T22,Justin Thomas,49,-.385
28,29,26,Trey Mullinax,67,-.382
29,30,T28,Keegan Bradley,65,-.381
30,31,T36,Ollie Schniederjans,63,-.379
31,32,27,Joel Dahmen,78,-.378
32,33,44,Danny Lee,66,-.371
33,34,31,Justin Rose,42,-.370
34,35,32,Phil Mickelson,41,-.368
35,T36,24,Jim Furyk,53,-.367
36,T36,T33,Patrick Rodgers,44,-.367
37,T36,T33,Michael Thompson,56,-.367
38,T39,999,Martin Piller,30,-.364
39,T39,35,Nick Watney,67,-.364
40,41,T39,Zach Johnson,50,-.359
41,T42,T36,Ian Poulter,49,-.357
42,T42,T28,Ben Silverman,54,-.357
43,T44,38,Scott Brown,66,-.353
44,T44,T39,Bryson DeChambeau,45,-.353
45,T44,T39,Patton Kizzire,58,-.353
46,47,43,Matt Wallace,31,-.348
47,T48,T46,Wyndham Clark,61,-.333
48,T48,T57,Fabián Gómez,44,-.333
49,T48,T67,Jim Herman,37,-.333
50,T48,T46,Jon Rahm,51,-.333
51,52,49,Ryan Blaum,67,-.324
52,53,51,Andrew Landry,56,-.321
53,54,T46,Roberto Díaz,51,-.320
54,55,52,Tommy Fleetwood,43,-.318
55,56,53,Kevin Streelman,63,-.317
56,57,T55,Hideki Matsuyama,59,-.308
57,58,T80,Bubba Watson,47,-.306
58,T59,50,Brooks Koepka,49,-.303
59,T59,72,Denny McCarthy,63,-.303
60,T61,T57,Byeong Hun An,54,-.300
61,T61,T57,Anirban Lahiri,54,-.300
62,T61,T57,Hunter Mahan,45,-.300
63,T64,63,Kiradech Aphibarnrat,49,-.294
64,T64,T84,Brandon Harkins,67,-.294
65,66,T65,Paul Casey,51,-.290
66,T67,T67,Whee Kim,57,-.286
67,T67,T67,Haotong Li,32,-.286
68,T67,T55,Alex Noren,49,-.286
69,T67,T80,Seamus Power,58,-.286
70,T67,T57,Sepp Straka,48,-.286
71,72,73,Chris Kirk,47,-.280
72,73,54,J.B. Holmes,54,-.278
73,74,75,Tony Finau,61,-.276
74,75,T84,Corey Conners,62,-.273
