,Approaches_100-125_yards-Rgh_RTP_RANK THIS WEEK,Approaches_100-125_yards-Rgh_RTP_RANK LAST WEEK,Approaches_100-125_yards-Rgh_RTP_PLAYER NAME,Approaches_100-125_yards-Rgh_RTP_ROUNDS,Approaches_100-125_yards-Rgh_RTP_AVG RTP
0,1,1,Matthew Fitzpatrick,42,-.625
1,2,T2,Aaron Baddeley,51,-.385
2,3,T2,Brooks Koepka,49,-.375
3,T4,T5,Patrick Cantlay,49,-.333
4,T4,T5,Stephan Jaeger,59,-.333
5,T4,T5,Ryan Moore,54,-.333
6,7,15,Nate Lashley,44,-.308
7,8,9,Alex Cejka,41,-.300
8,9,T5,Ryan Palmer,56,-.278
9,10,11,Pat Perez,52,-.273
10,11,12,Kevin Streelman,63,-.269
11,12,14,Tony Finau,61,-.259
12,13,4,Josh Teater,47,-.250
13,14,13,Justin Thomas,49,-.235
14,T15,10,Tom Hoge,70,-.222
15,T15,17,Joaquin Niemann,68,-.222
16,T17,T18,Paul Casey,51,-.200
17,T17,16,Sergio Garcia,39,-.200
18,19,22,Matt Jones,67,-.190
19,20,38,Scott Brown,66,-.182
20,21,T18,Dominic Bozzelli,53,-.176
21,T22,T18,Kramer Hickok,59,-.167
22,T22,T23,Scott Piercy,70,-.167
23,T22,T23,Chez Reavie,67,-.167
24,25,T18,Ollie Schniederjans,63,-.148
25,T26,T26,Kevin Na,54,-.143
26,T26,T26,Rory Sabbatini,71,-.143
27,T26,T26,Vaughn Taylor,69,-.143
28,T29,29,Bill Haas,58,-.136
29,T29,T35,Dustin Johnson,47,-.136
30,31,39,Robert Streb,60,-.130
31,T32,T46,Jim Furyk,53,-.125
32,T32,T31,Hideki Matsuyama,59,-.125
33,34,T31,Hudson Swafford,59,-.120
34,T35,T31,Bud Cauley,61,-.118
35,T35,T23,Chris Stroud,54,-.118
36,T37,T35,Patrick Rodgers,44,-.111
37,T37,T31,Johnson Wagner,45,-.111
38,39,37,Mackenzie Hughes,58,-.097
39,40,30,Nick Taylor,70,-.094
40,41,T40,Julián Etulain,55,-.087
41,T42,T43,Kiradech Aphibarnrat,49,-.083
42,T42,T60,Ryan Armour,66,-.083
43,T42,T43,Jason Dufner,56,-.083
44,T42,T43,Cameron Smith,55,-.083
45,T46,T60,Harris English,72,-.077
46,T46,T46,Emiliano Grillo,65,-.077
47,T46,T40,J.J. Henry,42,-.077
48,T46,T46,Cameron Tringale,52,-.077
49,50,T49,Anirban Lahiri,54,-.071
50,T51,T52,Max Homa,61,-.067
51,T51,T52,"Ted Potter, Jr.",56,-.067
52,T51,T52,Jordan Spieth,57,-.067
53,T54,55,Anders Albertson,48,-.063
54,T54,T49,Denny McCarthy,63,-.063
55,T54,T49,Seamus Power,58,-.063
56,57,56,Scott Langley,60,-.059
57,58,57,Curtis Luck,51,-.056
58,59,58,Rickie Fowler,54,-.050
59,60,59,Luke List,52,-.042
60,61,T93,Brandt Snedeker,68,-.038
61,62,T60,Roger Sloan,62,-.033
62,T63,T60,Rafa Cabrera Bello,57,E
63,T63,T60,Wyndham Clark,61,E
64,T63,T60,Corey Conners,62,E
65,T63,T60,Ben Crane,41,E
66,T63,T60,Jason Day,45,E
67,T63,T60,Bryson DeChambeau,45,E
68,T63,T60,David Hearn,41,E
69,T63,T60,Jim Herman,37,E
70,T63,T60,John Huh,35,E
71,T63,T60,Chris Kirk,47,E
72,T63,T60,Russell Knox,65,E
73,T63,T60,Phil Mickelson,41,E
74,T63,T60,Alex Noren,49,E
75,T63,T60,Louis Oosthuizen,43,E
76,T63,T60,D.A. Points,33,E
77,T63,T60,Ian Poulter,49,E
78,T63,T60,Jon Rahm,51,E
79,T63,T60,Charl Schwartzel,34,E
80,T63,T60,Adam Scott,41,E
81,T63,T60,Matt Wallace,31,E
82,T63,T60,Chase Wright,53,E
83,84,90,Beau Hossler,66,+.032
84,85,T91,Adam Schenk,80,+.034
85,86,T91,Cameron Champ,58,+.037
86,T87,T93,Dylan Frittelli,55,+.040
87,T87,T120,Jim Knous,55,+.040
88,T89,T60,Cameron Davis,54,+.043
89,T89,T93,Lucas Glover,62,+.043
90,91,96,Gary Woodland,63,+.045
91,92,T129,Jonathan Byrd,43,+.050
92,T93,T102,Brian Gay,79,+.053
93,T93,97,Charley Hoffman,58,+.053
94,T93,T98,Ben Silverman,54,+.053
95,T96,T98,Michael Kim,51,+.056
96,T96,T98,C.T. Pan,64,+.056
97,T96,T138,Nick Watney,67,+.056
98,99,101,Si Woo Kim,65,+.059
99,100,T102,Charles Howell III,64,+.063
100,T101,T104,Joel Dahmen,78,+.067
101,T101,T107,Carlos Ortiz,60,+.067
102,T101,125,J.J. Spaun,68,+.067
103,T101,T104,Jhonattan Vegas,60,+.067
104,T105,T107,Zach Johnson,50,+.071
105,T105,T40,Wes Roach,45,+.071
106,T105,T60,Sepp Straka,48,+.071
107,T108,106,Sam Burns,66,+.074
108,T108,T60,Kevin Tway,62,+.074
109,110,T107,Keith Mitchell,64,+.077
110,111,T113,Martin Laird,60,+.080
111,T112,T110,Martin Kaymer,38,+.083
112,T112,T110,Whee Kim,57,+.083
113,114,T116,Sam Saunders,53,+.087
114,115,T113,Satoshi Kodaira,51,+.091
115,116,T116,Trey Mullinax,67,+.094
116,T117,T126,Roberto Díaz,51,+.100
117,T117,T133,Talor Gooch,37,+.100
118,T117,T116,Francesco Molinari,41,+.100
119,T117,T60,Henrik Stenson,46,+.100
120,T117,T116,Michael Thompson,56,+.100
121,T117,T126,Danny Willett,47,+.100
122,T123,T120,Sungjae Im,88,+.105
123,T123,T120,Andrew Landry,56,+.105
