,Approaches_225-250_yards-Rgh_RTP_RANK THIS WEEK,Approaches_225-250_yards-Rgh_RTP_RANK LAST WEEK,Approaches_225-250_yards-Rgh_RTP_PLAYER NAME,Approaches_225-250_yards-Rgh_RTP_ROUNDS,Approaches_225-250_yards-Rgh_RTP_AVG RTP
153,T126,T117,Peter Uihlein,65,E
154,T126,T117,Tiger Woods,31,E
155,156,150,Bill Haas,58,+.091
156,T157,T151,Adam Long,52,+.111
157,T157,T151,Scott Piercy,70,+.111
158,T159,T154,Michael Kim,51,+.125
159,T159,T154,Andrew Landry,56,+.125
160,161,156,Alex Prugh,54,+.143
161,T162,T157,Kiradech Aphibarnrat,49,+.167
162,T162,T157,Charley Hoffman,58,+.167
163,T162,T157,Beau Hossler,66,+.167
164,T165,T160,Brian Gay,79,+.200
165,T165,T160,Fabián Gómez,44,+.200
166,T165,T160,Marc Leishman,52,+.200
167,T165,T160,C.T. Pan,64,+.200
168,T165,T160,Matt Wallace,31,+.200
169,T170,T167,Ryan Blaum,67,+.250
170,T170,T167,Peter Malnati,64,+.250
171,T172,T169,Daniel Berger,48,+.286
172,T172,T169,Ryan Moore,54,+.286
173,T174,T171,Ryan Armour,66,+.333
174,T174,T171,Paul Casey,51,+.333
175,T174,179,Cody Gribble,52,+.333
176,T174,T171,Billy Horschel,73,+.333
177,T174,T171,Freddie Jacobson,37,+.333
178,T174,T171,Zach Johnson,50,+.333
179,T174,T185,Nate Lashley,44,+.333
180,T174,T171,Curtis Luck,51,+.333
181,T174,T180,Josh Teater,47,+.333
182,T174,T171,Nick Watney,67,+.333
183,T184,T117,Rod Pampling,40,+.400
184,T184,T180,Wes Roach,45,+.400
185,T186,T182,Russell Henley,56,+.429
186,T186,T182,"Ted Potter, Jr.",56,+.429
187,T186,T182,Seamus Power,58,+.429
188,T189,T185,Matt Every,38,+.500
189,T189,T185,Scott Langley,60,+.500
190,T189,195,Brady Schnell,38,+.500
191,T189,T185,Ben Silverman,54,+.500
192,T189,T185,Kyle Stanley,53,+.500
193,T189,T185,Robert Streb,60,+.500
194,T189,T185,Vaughn Taylor,69,+.500
195,T189,T185,Danny Willett,47,+.500
196,197,194,Kyle Jones,49,+.571
197,T198,T196,Aaron Baddeley,51,+.667
198,T198,T196,Tommy Fleetwood,43,+.667
199,T198,T196,James Hahn,34,+.667
200,T198,T196,Michael Thompson,56,+.667
201,202,200,Chez Reavie,67,+.750
202,T203,T201,Jonathan Byrd,43,+1.000
203,T203,T201,Jim Herman,37,+1.000
204,T203,T201,D.A. Points,33,+1.000
205,T203,T201,Henrik Stenson,46,+1.000
