,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
0,1,1,Justin Harding,31,-2.000
1,2,T3,Cameron Davis,54,-.525
2,3,2,Wyndham Clark,61,-.523
3,T4,6,Sungjae Im,88,-.500
4,T4,T3,Brendan Steele,50,-.500
5,6,7,Jhonattan Vegas,60,-.438
6,7,T3,Brooks Koepka,49,-.429
7,8,9,Webb Simpson,53,-.414
8,9,8,Dylan Frittelli,55,-.400
9,10,11,Max Homa,61,-.385
10,11,T12,Gary Woodland,63,-.379
11,T12,10,Adam Hadwin,66,-.375
12,T12,999,Shane Lowry,30,-.375
13,14,33,Joaquin Niemann,68,-.368
14,15,T12,Hudson Swafford,59,-.367
15,16,15,Trey Mullinax,67,-.359
16,17,14,Cameron Tringale,52,-.345
17,T18,16,Lucas Glover,62,-.333
18,T18,T22,Ryan Palmer,56,-.333
19,20,17,Julián Etulain,55,-.318
20,T21,T19,Joel Dahmen,78,-.308
21,T21,T19,Troy Merritt,42,-.308
22,T21,T19,Grayson Murray,36,-.308
23,T24,T22,Byeong Hun An,54,-.300
24,T24,T22,Seth Reeves,52,-.300
25,T24,T22,Charl Schwartzel,34,-.300
26,27,26,Patrick Cantlay,49,-.297
27,28,18,Chase Wright,53,-.294
28,T29,T52,Dustin Johnson,47,-.292
29,T29,T41,Bubba Watson,47,-.292
30,T31,T28,Sam Burns,66,-.290
31,T31,T28,Si Woo Kim,65,-.290
32,33,30,Rory Sabbatini,71,-.289
33,T34,T31,Tommy Fleetwood,43,-.286
34,T34,T31,Sam Ryder,52,-.286
35,36,27,Justin Thomas,49,-.276
36,37,999,Martin Piller,30,-.273
37,38,48,Lucas Bjerregaard,37,-.267
38,39,34,Denny McCarthy,63,-.257
39,T40,T35,Austin Cook,50,-.250
40,T40,43,Harris English,72,-.250
41,T40,T35,Fabián Gómez,44,-.250
42,T40,T35,Aaron Wise,52,-.250
43,T44,T41,Marc Leishman,52,-.238
44,T44,49,Rory McIlroy,50,-.238
45,T44,T35,Harold Varner III,62,-.238
46,47,40,Mackenzie Hughes,58,-.233
47,48,T45,Brandon Harkins,67,-.222
48,49,57,J.B. Holmes,54,-.217
49,50,50,Xander Schauffele,55,-.208
50,51,51,Luke List,52,-.206
51,T52,T52,Abraham Ancer,69,-.200
52,T52,44,Roberto Díaz,51,-.200
53,T52,T52,Branden Grace,62,-.200
54,T52,47,Ollie Schniederjans,63,-.200
55,T52,T45,D.J. Trahan,33,-.200
56,57,56,Russell Knox,65,-.194
57,58,T59,Rafa Cabrera Bello,57,-.182
58,T59,T59,Tom Hoge,70,-.174
59,T59,61,Patton Kizzire,58,-.174
60,T59,T70,José de Jesús Rodríguez,51,-.174
61,62,T95,Kevin Tway,62,-.171
62,63,63,Bryson DeChambeau,45,-.161
63,T64,T77,Daniel Berger,48,-.160
64,T64,64,Patrick Rodgers,44,-.160
65,T66,T35,Dominic Bozzelli,53,-.158
66,T66,58,Joey Garber,44,-.158
67,68,76,Adam Svensson,51,-.156
68,69,65,J.T. Poston,76,-.154
69,70,66,Keith Mitchell,64,-.152
70,T71,69,Danny Lee,66,-.147
71,T71,T95,J.J. Spaun,68,-.147
72,73,67,Adam Schenk,80,-.146
73,74,T70,Ian Poulter,49,-.143
74,T75,T72,Chesson Hadley,58,-.136
75,T75,T72,Matt Kuchar,65,-.136
76,T77,T74,Rickie Fowler,54,-.133
77,T77,98,Wes Roach,45,-.133
78,T77,T74,John Senden,39,-.133
79,T80,T92,Roger Sloan,62,-.129
80,T80,94,Richy Werenski,63,-.129
81,T82,T77,Sung Kang,67,-.125
82,T82,T52,Graeme McDowell,61,-.125
83,T82,T77,Andrew Putnam,57,-.125
84,T82,T77,Adam Scott,41,-.125
85,T82,T77,Nick Taylor,70,-.125
86,T82,999,Tyrone Van Aswegen,30,-.125
87,T88,T82,Cameron Champ,58,-.122
88,T88,T82,Matt Jones,67,-.122
89,90,84,Tony Finau,61,-.121
90,T91,T85,Hideki Matsuyama,59,-.115
91,T91,T85,Phil Mickelson,41,-.115
92,T93,T87,Sangmoon Bae,42,-.111
93,T93,T87,Bronson Burgoon,37,-.111
94,T93,T87,Stewart Cink,33,-.111
95,T96,90,Kyoung-Hoon Lee,72,-.107
96,T96,68,Scott Stallings,63,-.107
97,T98,T92,Jason Kokrak,68,-.103
98,T98,91,Carlos Ortiz,60,-.103
99,100,62,Josh Teater,47,-.095
100,T101,T115,J.J. Henry,42,-.091
101,T101,T99,Sepp Straka,48,-.091
102,103,112,Robert Streb,60,-.080
103,104,97,Martin Trainer,51,-.074
104,105,113,Corey Conners,62,-.071
105,106,T99,Chris Kirk,47,-.067
106,107,T101,Bud Cauley,61,-.063
107,108,T115,Sebastián Muñoz,58,-.061
108,109,103,Justin Rose,42,-.059
109,T110,T104,Talor Gooch,37,-.056
110,T110,T104,Jon Rahm,51,-.056
111,112,106,Paul Casey,51,-.053
112,113,107,Patrick Reed,53,-.051
113,T114,108,Keegan Bradley,65,-.045
114,T114,109,Charley Hoffman,58,-.045
115,T116,T115,Sergio Garcia,39,-.043
116,T116,T110,Charles Howell III,64,-.043
117,T116,T110,Hunter Mahan,45,-.043
118,119,T115,Danny Willett,47,-.040
119,120,T115,Tyler Duncan,66,-.037
120,121,T115,Martin Laird,60,-.031
121,122,T101,Jimmy Walker,61,-.029
122,123,114,Brandt Snedeker,68,-.026
123,T124,T115,Aaron Baddeley,51,E
124,T124,T115,Jonas Blixt,66,E
125,T124,T115,Scott Brown,66,E
126,T124,T168,Jonathan Byrd,43,E
127,T124,T115,Ben Crane,41,E
128,T124,T115,Ernie Els,43,E
129,T124,T115,Matt Every,38,E
130,T124,T115,Matthew Fitzpatrick,42,E
