,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
104,105,98,Brandt Snedeker,68,164.1,70297100.0,119
105,T106,106,Curtis Luck,51,164.2,65630800.0,111
106,T106,T104,Grayson Murray,36,164.2,58527500.0,99
107,108,99,Cody Gribble,52,164.4,85820200.0,145
108,109,108,Andrew Landry,56,164.5,72256300.0,122
109,110,T133,Wes Roach,45,164.6,42651400.0,72
110,111,T110,Jason Day,45,164.7,45053900.0,76
111,T112,112,Ryan Blaum,67,164.8,95542900.0,161
112,T112,T158,Bubba Watson,47,164.8,58725900.0,99
113,114,113,C.T. Pan,64,164.9,65283200.0,110
114,115,T131,Brady Schnell,38,165.0,45131300.0,76
115,T116,T100,Zach Johnson,50,165.1,70118300.0,118
116,T116,T94,Josh Teater,47,165.1,51114400.0,86
117,T118,T118,Brian Gay,79,165.3,93439500.0,157
118,T118,T89,Jim Knous,55,165.3,67241200.0,113
119,T118,T115,José de Jesús Rodríguez,51,165.3,65461700.0,110
120,121,107,Hank Lebioda,55,165.4,70837800.0,119
121,T122,T115,Matt Every,38,165.5,45281500.0,76
122,T122,T94,Adam Svensson,51,165.5,67923500.0,114
123,124,123,J.T. Poston,76,165.7,111522100.0,187
124,T125,117,Dylan Frittelli,55,165.8,72818800.0,122
125,T125,124,"Ted Potter, Jr.",56,165.8,92492200.0,155
126,T127,T120,Fabián Gómez,44,165.9,52545500.0,88
127,T127,T125,Kevin Kisner,65,165.9,71660200.0,120
128,T127,T125,Hideki Matsuyama,59,165.9,60916500.0,102
129,T127,T118,Webb Simpson,53,165.9,56138000.0,94
130,T131,T127,Tony Finau,61,166.0,65125600.0,109
131,T131,T127,Vaughn Taylor,69,166.0,88470000.0,148
132,133,T139,Brian Harman,67,166.1,85488400.0,143
133,134,130,Francesco Molinari,41,166.2,43669000.0,73
134,T135,109,Dominic Bozzelli,53,166.3,59256500.0,99
135,T135,T133,Kelly Kraft,67,166.3,105394900.0,176
136,T137,T131,Whee Kim,57,166.4,62318100.0,104
137,T137,T146,Chris Thompson,34,166.4,38940900.0,65
138,T139,T120,Russell Henley,56,166.6,71952200.0,120
139,T139,T146,Justin Thomas,49,166.6,50381200.0,84
140,T141,136,Ryan Armour,66,166.7,84009000.0,140
141,T141,137,Rory Sabbatini,71,166.7,84629200.0,141
142,143,138,Patrick Reed,53,166.8,61850800.0,103
143,144,T166,Martin Laird,60,166.9,81727900.0,136
144,145,T164,Jonathan Byrd,43,167.1,49917800.0,83
145,T146,T139,Kyle Jones,49,167.2,66819500.0,111
146,T146,T153,J.J. Spaun,68,167.2,81878800.0,136
147,T148,T143,Kiradech Aphibarnrat,49,167.4,56643000.0,94
148,T148,T143,Jason Kokrak,68,167.4,79546500.0,132
149,T150,T191,David Hearn,41,167.6,42847200.0,71
150,T150,T153,Robert Streb,60,167.6,68763800.0,114
151,T152,135,J.B. Holmes,54,167.8,53156400.0,88
152,T152,145,Patrick Rodgers,44,167.8,65235100.0,108
153,T154,T139,Scott Piercy,70,167.9,71938000.0,119
154,T154,T146,Gary Woodland,63,167.9,70718800.0,117
155,T156,T187,Lucas Bjerregaard,37,168.0,42933600.0,71
156,T156,T150,Luke List,52,168.0,80437500.0,133
157,T156,T169,Ben Silverman,54,168.0,76807600.0,127
158,T156,T150,Matt Wallace,31,168.0,34479500.0,57
159,T160,T161,Scott Brown,66,168.3,87266700.0,144
160,T160,T169,Brooks Koepka,49,168.3,44842500.0,74
161,T160,155,Xander Schauffele,55,168.3,47266600.0,78
162,T163,T156,Bryson DeChambeau,45,168.4,60028800.0,99
163,T163,T156,Matt Jones,67,168.4,71519100.0,118
164,165,T158,John Huh,35,168.6,46723100.0,77
165,T166,T174,Carlos Ortiz,60,168.7,77726400.0,128
166,T166,T146,Jimmy Walker,61,168.7,79574300.0,131
167,T168,196,John Chin,38,168.9,47434700.0,78
168,T168,T161,Chris Kirk,47,168.9,58978500.0,97
169,T168,160,Danny Willett,47,168.9,69300600.0,114
170,T171,T164,Rickie Fowler,54,169.0,63876300.0,105
171,T171,T150,Rod Pampling,40,169.0,59021800.0,97
172,T173,T166,Aaron Baddeley,51,169.2,57852900.0,95
173,T173,142,Kramer Hickok,59,169.2,76770900.0,126
174,T173,T172,Stephan Jaeger,59,169.2,73093400.0,120
175,176,T161,Roberto Díaz,51,169.3,63382800.0,104
176,177,168,Justin Harding,31,169.4,23171200.0,38
177,178,T181,Brice Garnett,63,169.5,85413600.0,140
178,T179,T179,Daniel Berger,48,169.7,75137000.0,123
179,T179,T172,Matthew Fitzpatrick,42,169.7,51315200.0,84
180,181,T174,Michael Thompson,56,169.8,80695600.0,132
181,182,178,John Senden,39,170.1,47762400.0,78
182,T183,T169,Bill Haas,58,170.2,87015900.0,142
183,T183,T176,Sebastián Muñoz,58,170.2,69232400.0,113
184,T183,T179,Kyle Stanley,53,170.2,64351500.0,105
185,186,T181,Chez Reavie,67,170.3,69291500.0,113
186,187,T176,Harris English,72,170.6,85969000.0,140
187,T188,T184,Patrick Cantlay,49,170.8,36902300.0,60
188,T188,T184,Tiger Woods,31,170.8,35045200.0,57
189,190,186,Satoshi Kodaira,51,171.0,84947700.0,138
190,T191,197,Jim Furyk,53,171.2,56094000.0,91
191,T191,T187,Ryan Moore,54,171.2,69633900.0,113
192,T191,T187,D.A. Points,33,171.2,41900900.0,68
193,T191,T191,Johnson Wagner,45,171.2,62232900.0,101
194,195,190,Cameron Smith,55,171.4,59240400.0,96
195,196,T181,Nate Lashley,44,171.9,48257800.0,78
