,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
165,166,170,Harris English,72,186.5,132939000.0,198
166,167,T159,Marc Leishman,52,186.7,94107300.0,140
167,168,142,Dylan Frittelli,55,186.8,102899500.0,153
168,169,162,Rickie Fowler,54,187.0,127882700.0,190
169,T170,T163,Haotong Li,32,187.1,45799500.0,68
170,T170,T163,C.T. Pan,64,187.1,86208500.0,128
171,172,T165,Patrick Cantlay,49,187.3,99100100.0,147
172,173,T174,Stephan Jaeger,59,187.7,94609600.0,140
173,174,T174,Sebastián Muñoz,58,187.9,108223700.0,160
174,175,179,Bill Haas,58,188.0,100856400.0,149
175,176,T168,Jimmy Walker,61,188.5,96371200.0,142
176,177,173,Martin Laird,60,188.7,122982000.0,181
177,178,T176,Kyle Stanley,53,189.0,66670600.0,98
178,179,172,Bubba Watson,47,189.2,94008400.0,138
179,180,T176,D.J. Trahan,33,189.5,47069100.0,69
180,T181,181,Seamus Power,58,190.0,96453700.0,141
181,T181,180,Patrick Reed,53,190.0,95082900.0,139
182,T181,T182,Seth Reeves,52,190.0,88218600.0,129
183,184,T182,Matt Jones,67,190.4,121977100.0,178
184,185,191,Alex Noren,49,190.5,73392100.0,107
185,186,186,Daniel Berger,48,190.6,96038800.0,140
186,187,184,Bud Cauley,61,190.7,140024100.0,204
187,188,T176,Justin Thomas,49,191.0,118943300.0,173
188,189,185,Martin Kaymer,38,191.8,85623800.0,124
189,190,187,James Hahn,34,192.4,36008100.0,52
190,191,189,John Senden,39,192.7,54806000.0,79
191,192,190,Jon Rahm,51,193.1,99428000.0,143
192,193,T194,Webb Simpson,53,193.3,123161300.0,177
193,194,T198,Sergio Garcia,39,193.5,76608400.0,110
