,Approaches_from_150-175_yards_RANK THIS WEEK,Approaches_from_150-175_yards_RANK LAST WEEK,Approaches_from_150-175_yards_PLAYER NAME,Approaches_from_150-175_yards_ROUNDS,Approaches_from_150-175_yards_AVG,Approaches_from_150-175_yards_TOTAL DISTANCE (FEET),Approaches_from_150-175_yards_# OF ATTEMPTS,Approaches_from_150-175_yards_RELATIVE TO PAR
0,1,1,Danny Willett,47,"22' 10""",2123.667,93,-10
1,2,2,Haotong Li,32,"23' 1""",1178.5,51,E
2,3,3,Patrick Cantlay,49,"23' 8""",1963.3329999999999,83,-9
3,4,5,Chez Reavie,67,"24' 2""",3237.5,134,-8
4,T5,T6,Abraham Ancer,69,"24' 4""",3748.25,154,-19
5,T5,T6,Tiger Woods,31,"24' 4""",1608.0829999999999,66,-10
6,T7,4,Matt Every,38,"24' 6""",1444.4170000000001,59,-11
7,T7,8,Emiliano Grillo,65,"24' 6""",3213.083,131,-9
8,9,T9,Rory McIlroy,50,"24' 7""",2238.417,91,-9
9,10,T9,Phil Mickelson,41,"24' 8""",1331.0829999999999,54,-3
10,11,T9,Justin Thomas,49,"24' 10""",2064.167,83,-13
11,T12,T14,Corey Conners,62,"25' 2""",3292.833,131,-14
12,T12,12,Whee Kim,57,"25' 2""",2615.917,104,-2
13,T14,T14,Byeong Hun An,54,"25' 3""",2601.917,103,-1
14,T14,T14,Adam Svensson,51,"25' 3""",2350.083,93,-4
15,T16,T17,Kyle Stanley,53,"25' 4""",2302.333,91,-7
16,T16,13,Henrik Stenson,46,"25' 4""",2228.083,88,-8
17,T16,T36,Sepp Straka,48,"25' 4""",1825.9170000000001,72,+2
18,T19,21,Keegan Bradley,65,"25' 6""",3819.833,150,-1
19,T19,19,Scott Piercy,70,"25' 6""",3719.25,146,-14
20,T19,T17,Brady Schnell,38,"25' 6""",1859.0829999999999,73,-8
21,22,20,Alex Cejka,41,"25' 7""",2023.5,79,-4
22,T23,T22,Tyrrell Hatton,46,"25' 10""",2481.083,96,+1
23,T23,T22,Hideki Matsuyama,59,"25' 10""",3566.0,138,-12
24,T23,T22,Andrew Putnam,57,"25' 10""",2662.75,103,-21
25,26,T25,Jason Kokrak,68,"25' 11""",4101.0,158,-13
26,T27,T25,Talor Gooch,37,"26' 0""",1926.8329999999999,74,-5
27,T27,T28,Tom Hoge,70,"26' 0""",3326.5,128,-3
28,T29,T39,Graeme McDowell,61,"26' 1""",2815.917,108,-20
29,T29,27,Adam Scott,41,"26' 1""",1773.5829999999999,68,-11
30,T31,T28,Justin Rose,42,"26' 2""",2016.25,77,-7
31,T31,T28,Gary Woodland,63,"26' 2""",2900.667,111,-21
32,33,31,Kiradech Aphibarnrat,49,"26' 3""",2364.083,90,E
33,T34,T32,Joel Dahmen,78,"26' 5""",4117.083,156,-6
34,T34,T32,Adam Hadwin,66,"26' 5""",3698.333,140,-6
35,T34,T32,Billy Horschel,73,"26' 5""",2830.25,107,-13
36,37,T50,Matt Kuchar,65,"26' 6""",3631.25,137,-6
37,T38,T36,Paul Casey,51,"26' 8""",2135.417,80,+2
38,T38,35,Cameron Davis,54,"26' 8""",1949.3329999999999,73,-5
39,T38,T36,Vaughn Taylor,69,"26' 8""",4319.833,162,-6
40,T41,T53,Brooks Koepka,49,"26' 9""",1949.75,73,-6
41,T41,T39,Kevin Na,54,"26' 9""",2489.167,93,-7
42,T41,T39,Brendan Steele,50,"26' 9""",2515.583,94,E
43,T41,T74,Chris Thompson,34,"26' 9""",1098.25,41,-1
44,T41,T44,Aaron Wise,52,"26' 9""",2464.667,92,+3
45,T46,T39,Ryan Armour,66,"26' 10""",4290.167,160,-12
46,T46,T44,Rickie Fowler,54,"26' 10""",3406.333,127,-5
47,T46,T66,Jim Furyk,53,"26' 10""",3783.25,141,-15
48,T46,T50,Hank Lebioda,55,"26' 10""",3088.667,115,-5
49,T46,T44,Francesco Molinari,41,"26' 10""",1746.1670000000001,65,-6
50,T46,T47,Scott Stallings,63,"26' 10""",3457.583,129,-13
51,T52,T63,Bud Cauley,61,"27' 0""",4135.667,153,-7
52,T52,T47,Troy Merritt,42,"27' 0""",2563.25,95,-6
53,T52,T47,Chris Stroud,54,"27' 0""",2728.5,101,-5
54,T55,T50,Jim Herman,37,"27' 1""",2276.0,84,-7
55,T55,T39,Sungjae Im,88,"27' 1""",4826.583,178,-9
56,T57,T77,Zach Johnson,50,"27' 2""",3364.833,124,E
57,T57,T53,Patton Kizzire,58,"27' 2""",2631.25,97,-6
58,T57,T53,Andrew Landry,56,"27' 2""",3535.833,130,-9
59,T57,T63,Nick Watney,67,"27' 2""",3259.667,120,-11
60,T61,T58,Sergio Garcia,39,"27' 3""",1908.8329999999999,70,-6
61,T61,T56,Branden Grace,62,"27' 3""",2209.5,81,E
62,T61,T84,David Hearn,41,"27' 3""",2017.1670000000001,74,-7
63,T61,T58,Josh Teater,47,"27' 3""",2097.333,77,-6
64,T61,T56,Jhonattan Vegas,60,"27' 3""",3867.167,142,-2
65,T66,T72,Roberto Castro,54,"27' 4""",3357.5,123,-13
66,T66,999,Tyrone Van Aswegen,30,"27' 4""",1476.0,54,-4
67,T68,T58,Sam Burns,66,"27' 5""",3647.25,133,+3
68,T68,T66,Tyler Duncan,66,"27' 5""",3752.083,137,+5
69,T68,T58,Matthew Fitzpatrick,42,"27' 5""",2496.25,91,+2
70,T68,T58,Kevin Kisner,65,"27' 5""",3813.333,139,-14
71,T68,T66,Sam Saunders,53,"27' 5""",3096.333,113,-8
72,73,T63,Max Homa,61,"27' 6""",3433.917,125,+1
73,T74,T66,Jason Day,45,"27' 7""",1600.4170000000001,58,-7
74,T74,T66,Kyoung-Hoon Lee,72,"27' 7""",3781.25,137,+8
75,T74,T66,Marc Leishman,52,"27' 7""",2368.583,86,-8
76,77,T84,Lucas Bjerregaard,37,"27' 8""",1630.8329999999999,59,+3
77,T78,T98,Scott Brown,66,"27' 9""",3858.75,139,-6
78,T78,T84,Russell Henley,56,"27' 9""",4001.5,144,-1
79,T80,T77,Dylan Frittelli,55,"27' 10""",3094.0,111,-1
80,T80,76,Joaquin Niemann,68,"27' 10""",3679.417,132,+10
81,T80,T77,Bubba Watson,47,"27' 10""",2005.25,72,+5
82,83,T77,Ryan Moore,54,"27' 11""",3519.917,126,-1
83,T84,T81,Bronson Burgoon,37,"28' 0""",2519.833,90,-1
