,Approaches_from_100-125_yards_Rgh_RANK THIS WEEK,Approaches_from_100-125_yards_Rgh_RANK LAST WEEK,Approaches_from_100-125_yards_Rgh_PLAYER NAME,Approaches_from_100-125_yards_Rgh_ROUNDS,Approaches_from_100-125_yards_Rgh_AVG,Approaches_from_100-125_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_100-125_yards_Rgh_# OF ATTEMPTS,Approaches_from_100-125_yards_Rgh_RELATIVE TO PAR
0,1,1,Matthew Fitzpatrick,42,"14' 10""",118.75,8,-5
1,2,2,Hideki Matsuyama,59,"16' 11""",135.583,8,-1
2,3,4,Charl Schwartzel,34,"18' 0""",126.167,7,E
3,4,10,Brooks Koepka,49,"19' 2""",306.25,16,-6
4,5,T14,Talor Gooch,37,"20' 3""",202.167,10,+1
5,6,9,David Hearn,41,"20' 8""",268.41700000000003,13,E
6,T7,8,Alex Cejka,41,"20' 9""",207.833,10,-3
7,T7,6,Chris Stroud,54,"20' 9""",353.333,17,-2
8,9,T14,Jim Herman,37,"20' 11""",125.25,6,E
9,10,5,Joaquin Niemann,68,"21' 1""",568.9169999999999,27,-6
10,11,11,Scott Langley,60,"21' 8""",368.667,17,-1
11,12,16,Ben Crane,41,"22' 4""",156.583,7,E
12,13,3,J.J. Henry,42,"22' 5""",291.16700000000003,13,-1
13,14,13,Ryan Palmer,56,"22' 6""",405.583,18,-5
14,15,17,Corey Conners,62,"22' 7""",405.833,18,E
15,16,12,Seamus Power,58,"22' 8""",363.083,16,-1
16,17,19,Charles Howell III,64,"22' 10""",365.5,16,+1
17,T18,T20,Kevin Na,54,"23' 1""",161.417,7,-1
18,T18,T20,Ian Poulter,49,"23' 1""",138.417,6,E
19,T20,7,Tom Hoge,70,"23' 5""",420.75,18,-4
20,T20,22,Chase Wright,53,"23' 5""",351.417,15,E
21,T22,T23,Tony Finau,61,"23' 6""",635.5,27,-7
22,T22,T23,Kevin Kisner,65,"23' 6""",399.0,17,+5
23,T24,T25,Bud Cauley,61,"24' 0""",408.5,17,-2
24,T24,29,Jason Dufner,56,"24' 0""",288.08299999999997,12,-1
25,T26,T65,Jim Furyk,53,"24' 5""",390.0,16,-2
26,T26,31,Matt Jones,67,"24' 5""",512.1669999999999,21,-4
27,28,32,Rory Sabbatini,71,"24' 7""",516.9169999999999,21,-3
28,29,33,Kevin Streelman,63,"24' 9""",643.0830000000001,26,-7
29,30,42,Nick Watney,67,"24' 10""",447.167,18,+1
30,T31,T35,J.B. Holmes,54,"24' 11""",522.5830000000001,21,+3
31,T31,34,Beau Hossler,66,"24' 11""",772.8330000000001,31,+1
32,33,T35,Ryan Moore,54,"25' 1""",150.333,6,-2
33,T34,T38,John Huh,35,"25' 2""",226.333,9,E
34,T34,T38,Jordan Spieth,57,"25' 2""",376.917,15,-1
