,Approaches_125-150_yards-Rgh_RTP_RANK THIS WEEK,Approaches_125-150_yards-Rgh_RTP_RANK LAST WEEK,Approaches_125-150_yards-Rgh_RTP_PLAYER NAME,Approaches_125-150_yards-Rgh_RTP_ROUNDS,Approaches_125-150_yards-Rgh_RTP_AVG RTP
0,1,2,Cameron Smith,55,-.267
1,2,3,Tiger Woods,31,-.222
2,3,1,Chris Thompson,34,-.217
3,4,5,J.B. Holmes,54,-.154
4,T5,T11,David Hearn,41,-.143
5,T5,T7,Kevin Na,54,-.143
6,7,T7,Henrik Stenson,46,-.133
7,T8,6,Nate Lashley,44,-.087
8,T8,4,J.J. Spaun,68,-.087
9,T10,T14,Abraham Ancer,69,-.083
10,T10,T14,Tyrrell Hatton,46,-.083
11,12,T16,Ian Poulter,49,-.077
12,13,18,Rickie Fowler,54,-.071
13,14,19,Matt Wallace,31,-.063
14,15,T21,Patrick Reed,53,-.059
15,16,T31,Jim Furyk,53,-.056
16,17,13,Sam Saunders,53,-.054
17,18,23,Mackenzie Hughes,58,-.048
18,T19,10,Jim Herman,37,-.043
19,T19,T24,Keith Mitchell,64,-.043
20,21,T26,Michael Thompson,56,-.042
21,22,T31,Talor Gooch,37,-.040
22,23,T16,Ben Silverman,54,-.036
23,24,T24,Josh Teater,47,-.033
24,25,28,Kevin Kisner,65,-.030
25,26,T31,Richy Werenski,63,-.028
26,27,29,Charley Hoffman,58,-.027
27,28,20,Harris English,72,-.024
28,29,30,Jordan Spieth,57,-.023
29,T30,T31,Ryan Armour,66,E
30,T30,T31,Lucas Bjerregaard,37,E
31,T30,T31,Patrick Cantlay,49,E
32,T30,T31,Alex Cejka,41,E
33,T30,T31,Emiliano Grillo,65,E
34,T30,T31,Chesson Hadley,58,E
35,T30,T31,James Hahn,34,E
36,T30,T31,Freddie Jacobson,37,E
37,T30,T31,Matt Jones,67,E
38,T30,T31,Satoshi Kodaira,51,E
39,T30,T31,Matt Kuchar,65,E
40,T30,T21,Danny Lee,66,E
41,T30,T31,Adam Long,52,E
42,T30,999,Shane Lowry,30,E
43,T30,T31,Hideki Matsuyama,59,E
44,T30,T31,Ryan Moore,54,E
45,T30,T31,Scott Piercy,70,E
46,T30,999,Martin Piller,30,E
47,T30,T31,"Ted Potter, Jr.",56,E
48,T30,T31,Rory Sabbatini,71,E
49,T30,T26,Chris Stroud,54,E
50,T30,999,Tyrone Van Aswegen,30,E
51,52,T31,Joaquin Niemann,68,+.022
52,T53,61,Corey Conners,62,+.027
53,T53,86,Kevin Tway,62,+.027
54,55,62,Brian Stuard,76,+.030
55,56,T31,José de Jesús Rodríguez,51,+.031
56,57,63,Bill Haas,58,+.032
57,58,64,Brian Gay,79,+.033
58,T59,T67,Bud Cauley,61,+.034
59,T59,T69,Cameron Tringale,52,+.034
60,61,66,Tony Finau,61,+.037
61,62,T74,Brian Harman,67,+.038
62,63,T69,Chris Kirk,47,+.040
63,64,T31,Ryan Palmer,56,+.042
64,T65,T72,Bryson DeChambeau,45,+.043
65,T65,T72,Andrew Putnam,57,+.043
66,67,T31,Sangmoon Bae,42,+.045
67,68,T31,Brice Garnett,63,+.048
68,T69,T76,Tommy Fleetwood,43,+.050
69,T69,T76,Phil Mickelson,41,+.050
70,T69,T81,Peter Uihlein,65,+.050
71,72,80,Hudson Swafford,59,+.051
72,73,T31,Jonathan Byrd,43,+.053
73,74,T81,Jhonattan Vegas,60,+.056
74,T75,84,Kyoung-Hoon Lee,72,+.061
75,T75,T138,Sebastián Muñoz,58,+.061
76,T75,T91,Danny Willett,47,+.061
77,T78,65,Cody Gribble,52,+.067
78,T78,T101,Kyle Jones,49,+.067
79,T78,T31,Carlos Ortiz,60,+.067
80,T78,T91,Roger Sloan,62,+.067
81,T82,T88,Joel Dahmen,78,+.071
82,T82,T88,Patrick Rodgers,44,+.071
83,T84,T11,Matt Every,38,+.077
84,T84,71,Curtis Luck,51,+.077
85,86,T114,Rory McIlroy,50,+.080
86,T87,T93,Byeong Hun An,54,+.083
87,T87,83,Keegan Bradley,65,+.083
88,T87,97,Stephan Jaeger,59,+.083
89,T87,87,Harold Varner III,62,+.083
90,T91,T76,Russell Henley,56,+.091
91,T91,T120,Adam Svensson,51,+.091
92,T93,T31,Roberto Díaz,51,+.095
93,T93,79,J.J. Henry,42,+.095
94,T93,T95,Marc Leishman,52,+.095
95,T93,T95,John Senden,39,+.095
96,T97,T98,John Chin,38,+.100
97,T97,T67,Tyler Duncan,66,+.100
98,T99,T107,Jonas Blixt,66,+.111
99,T99,T31,Joey Garber,44,+.111
100,T99,T98,Lucas Glover,62,+.111
101,T99,T101,Zach Johnson,50,+.111
102,103,T114,Webb Simpson,53,+.115
103,T104,T103,Bronson Burgoon,37,+.118
104,T104,T103,Adam Scott,41,+.118
105,106,111,Brandt Snedeker,68,+.120
106,107,113,Robert Streb,60,+.121
107,108,106,Sam Burns,66,+.122
108,T109,T74,Roberto Castro,54,+.125
109,T109,T107,Stewart Cink,33,+.125
110,T109,T107,Jason Day,45,+.125
111,T109,T107,Si Woo Kim,65,+.125
112,T113,T88,Jim Knous,55,+.129
113,T113,T145,Martin Laird,60,+.129
114,115,112,Ryan Blaum,67,+.132
115,T116,T120,Brady Schnell,38,+.136
116,T116,85,D.J. Trahan,33,+.136
117,118,T116,Denny McCarthy,63,+.138
118,T119,T140,Anders Albertson,48,+.143
119,T119,T31,Whee Kim,57,+.143
120,T119,T98,Rod Pampling,40,+.143
121,T119,T116,Brendan Steele,50,+.143
122,T119,T116,Gary Woodland,63,+.143
123,124,144,Brandon Harkins,67,+.146
124,T125,169,Seth Reeves,52,+.148
125,T125,T149,Sepp Straka,48,+.148
126,127,T120,Jon Rahm,51,+.150
127,128,T149,Dustin Johnson,47,+.152
128,T129,T103,Wyndham Clark,61,+.154
129,T129,123,Anirban Lahiri,54,+.154
130,131,126,Scott Langley,60,+.156
131,132,167,Alex Noren,49,+.158
132,133,125,Russell Knox,65,+.160
