,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Adam Scott,41,97.06,66,68,-0.65
1,2,4,Brady Schnell,38,95.56,43,45,-0.56
2,3,3,Bud Cauley,61,94.93,131,138,-0.68
3,4,5,John Senden,39,94.74,54,57,-0.65
4,5,2,Whee Kim,57,94.64,53,56,-0.68
5,6,6,Lucas Glover,62,94.53,121,128,-0.65
6,7,7,Jason Day,45,94.44,85,90,-0.65
7,8,9,Austin Cook,50,94.37,67,71,-0.63
8,9,8,Xander Schauffele,55,94.17,113,120,-0.6
9,10,T13,Denny McCarthy,63,93.02,120,129,-0.65
10,11,12,Matt Jones,67,92.86,117,126,-0.68
11,12,15,Tyrrell Hatton,46,92.75,64,69,-0.67
12,13,16,Chris Kirk,47,92.63,88,95,-0.64
13,14,21,Matt Kuchar,65,92.62,138,149,-0.61
14,T15,40,Rod Pampling,40,92.54,62,67,-0.37
15,T15,T13,Webb Simpson,53,92.54,124,134,-0.62
16,17,19,Michael Kim,51,92.31,72,78,-0.56
17,18,20,Bryson DeChambeau,45,92.25,131,142,-0.66
18,19,41,Hank Lebioda,55,92.22,83,90,-0.59
19,20,10,Bubba Watson,47,92.21,142,154,-0.54
20,T21,T26,Adam Hadwin,66,92.19,118,128,-0.72
21,T21,T26,Johnson Wagner,45,92.19,59,64,-0.66
22,T21,23,Richy Werenski,63,92.19,118,128,-0.58
23,24,29,Kelly Kraft,67,92.16,94,102,-0.56
24,25,30,José de Jesús Rodríguez,51,92.13,82,89,-0.48
25,T26,47,Talor Gooch,37,91.89,68,74,-0.66
26,T26,22,Gary Woodland,63,91.89,136,148,-0.72
27,28,48,Scott Langley,60,91.8,56,61,-0.63
28,29,T33,Kramer Hickok,59,91.67,88,96,-0.6
29,30,18,Dylan Frittelli,55,91.61,131,143,-0.61
30,31,39,Danny Lee,66,91.56,141,154,-0.58
31,32,25,Rory Sabbatini,71,91.55,130,142,-0.61
32,33,11,Justin Thomas,49,91.54,119,130,-0.77
33,34,17,Sebastián Muñoz,58,91.51,97,106,-0.68
34,35,42,Roberto Díaz,51,91.46,75,82,-0.61
35,36,37,Sungjae Im,88,91.41,181,198,-0.65
36,37,32,Jordan Spieth,57,91.34,116,127,-0.59
37,38,T33,James Hahn,34,91.3,42,46,-0.71
38,39,35,Jhonattan Vegas,60,91.28,136,149,-0.66
39,40,52,Brian Gay,79,91.18,93,102,-0.65
40,41,31,Aaron Wise,52,91.16,134,147,-0.58
41,T42,45,Fabián Gómez,44,91.14,72,79,-0.61
42,T42,38,Kevin Na,54,91.14,72,79,-0.68
43,44,24,Sergio Garcia,39,91.11,82,90,-0.62
44,45,70,Graeme McDowell,61,91.03,71,78,-0.62
45,46,36,Harold Varner III,62,90.98,121,133,-0.52
46,T47,68,Ryan Palmer,56,90.83,99,109,-0.56
47,T47,43,Vaughn Taylor,69,90.83,99,109,-0.66
48,49,69,Cameron Tringale,52,90.8,79,87,-0.53
49,50,44,Keith Mitchell,64,90.77,118,130,-0.61
50,51,49,Martin Laird,60,90.65,126,139,-0.56
51,52,50,Jason Dufner,56,90.54,67,74,-0.76
52,53,58,Nick Watney,67,90.52,105,116,-0.67
53,54,T26,Nate Lashley,44,90.48,57,63,-0.63
54,55,51,Patton Kizzire,58,90.43,85,94,-0.6
55,56,T61,Alex Noren,49,90.32,84,93,-0.6
56,57,53,Ryan Moore,54,90.29,93,103,-0.61
57,T58,T54,Patrick Cantlay,49,90.24,111,123,-0.63
58,T58,T54,Stewart Cink,33,90.24,37,41,-0.65
59,60,T61,Brice Garnett,63,90.22,83,92,-0.59
60,61,57,Jim Furyk,53,90.16,55,61,-0.56
61,T62,59,Abraham Ancer,69,90.15,119,132,-0.61
62,T62,76,Peter Malnati,64,90.15,119,132,-0.55
63,64,60,Max Homa,61,90.08,109,121,-0.66
64,65,T61,Ernie Els,43,90.0,45,50,-0.6
65,66,46,Brandt Snedeker,68,89.92,107,119,-0.7
66,T67,T66,Kyoung-Hoon Lee,72,89.83,106,118,-0.53
67,T67,T66,Haotong Li,32,89.83,53,59,-0.55
68,69,71,Patrick Reed,53,89.55,120,134,-0.55
