,GIR_Percentage_-_150-175_yards_RANK THIS WEEK,GIR_Percentage_-_150-175_yards_RANK LAST WEEK,GIR_Percentage_-_150-175_yards_PLAYER NAME,GIR_Percentage_-_150-175_yards_ROUNDS,GIR_Percentage_-_150-175_yards_%,GIR_Percentage_-_150-175_yards_GREENS HIT,GIR_Percentage_-_150-175_yards_TOTAL HOLES,GIR_Percentage_-_150-175_yards_RELATIVE TO PAR
0,1,1,Keegan Bradley,65,75.0,138,184,-0.11
1,2,9,Henrik Stenson,46,74.77,80,107,-0.2
2,3,2,James Hahn,34,74.32,55,74,-0.07
3,4,3,Paul Casey,51,73.87,82,111,-0.07
4,5,4,Kyle Stanley,53,73.45,83,113,-0.18
5,6,5,Rory McIlroy,50,73.23,93,127,-0.2
6,7,11,Whee Kim,57,72.93,97,133,-0.1
7,8,12,Jim Furyk,53,72.67,125,172,-0.21
8,9,6,Scott Piercy,70,72.34,136,188,-0.13
9,10,10,Russell Knox,65,71.7,152,212,-0.2
10,11,8,Danny Willett,47,71.63,101,141,-0.15
11,12,13,Wes Roach,45,71.3,77,108,-0.13
12,13,14,Matthew Fitzpatrick,42,70.94,83,117,-0.08
13,14,15,Chez Reavie,67,70.7,111,157,-0.2
14,15,17,Tyrrell Hatton,46,70.25,85,121,-0.15
15,16,19,Cameron Champ,58,70.12,115,164,-0.22
16,17,20,Matt Kuchar,65,69.61,126,181,-0.17
17,18,21,Aaron Wise,52,69.53,89,128,-0.13
18,19,16,Hank Lebioda,55,69.38,111,160,-0.21
19,20,22,Troy Merritt,42,69.23,81,117,-0.17
20,21,23,John Senden,39,69.14,56,81,-0.13
21,22,30,Nick Watney,67,68.64,116,169,-0.19
22,23,25,Jason Dufner,56,68.57,120,175,-0.14
23,24,26,Jhonattan Vegas,60,68.39,132,193,-0.13
24,25,T42,Alex Cejka,41,68.27,71,104,-0.15
25,26,29,Xander Schauffele,55,67.97,87,128,-0.2
26,27,31,Jason Kokrak,68,67.84,154,227,-0.18
27,28,33,Patrick Reed,53,67.8,80,118,-0.18
28,29,34,Ian Poulter,49,67.77,82,121,-0.18
29,30,46,J.J. Henry,42,67.65,69,102,-0.2
30,31,36,Danny Lee,66,67.57,150,222,-0.09
31,32,18,Matt Every,38,67.47,56,83,-0.25
32,33,T42,Adam Svensson,51,67.42,89,132,-0.1
33,34,35,Tiger Woods,31,67.39,62,92,-0.18
34,35,28,Sebastián Muñoz,58,67.35,99,147,-0.12
35,36,47,Kramer Hickok,59,67.28,109,162,-0.14
36,37,37,Brendan Steele,50,67.16,90,134,-0.17
37,38,24,John Chin,38,67.06,57,85,-0.09
38,39,38,Emiliano Grillo,65,67.05,118,176,-0.19
39,40,40,Patton Kizzire,58,66.9,95,142,-0.17
40,T41,32,Dylan Frittelli,55,66.67,110,165,-0.08
41,T41,T42,Lucas Glover,62,66.67,142,213,-0.2
42,T41,55,Talor Gooch,37,66.67,80,120,-0.21
43,T41,39,Alex Prugh,54,66.67,80,120,-0.05
44,45,41,Shawn Stefani,57,66.47,113,170,-0.17
45,46,58,Hudson Swafford,59,66.29,118,178,-0.14
46,47,56,Scott Langley,60,66.17,133,201,-0.29
47,48,48,Hideki Matsuyama,59,66.1,117,177,-0.18
48,49,49,Andrew Putnam,57,65.99,97,147,-0.34
49,50,67,Josh Teater,47,65.71,69,105,-0.14
50,51,51,Jon Rahm,51,65.66,65,99,-0.14
51,52,T53,Phil Mickelson,41,65.56,59,90,-0.14
52,53,68,Richy Werenski,63,65.53,135,206,-0.12
53,54,57,Joel Dahmen,78,65.37,134,205,-0.16
54,55,T42,Ryan Palmer,56,65.19,88,135,-0.17
55,56,80,Nate Lashley,44,65.18,73,112,-0.15
56,57,59,"Ted Potter, Jr.",56,65.17,116,178,-0.26
57,58,60,Keith Mitchell,64,65.07,95,146,-0.21
58,59,61,John Huh,35,65.04,80,123,-0.1
59,T60,64,Anders Albertson,48,65.0,78,120,-0.23
60,T60,T83,David Hearn,41,65.0,65,100,-0.25
61,T60,62,Luke List,52,65.0,104,160,-0.17
62,63,63,Rickie Fowler,54,64.97,115,177,-0.2
63,64,999,Tyrone Van Aswegen,30,64.94,50,77,-0.22
64,65,65,Charley Hoffman,58,64.93,87,134,-0.18
65,66,78,Russell Henley,56,64.92,124,191,-0.1
66,67,82,D.J. Trahan,33,64.86,48,74,-0.06
67,68,69,Patrick Cantlay,49,64.55,71,110,-0.24
68,69,85,Justin Thomas,49,64.52,80,124,-0.25
69,70,66,Kyle Jones,49,64.41,76,118,-0.09
70,71,50,Sungjae Im,88,64.4,161,250,-0.17
71,T72,T71,Satoshi Kodaira,51,64.23,88,137,-0.16
72,T72,T71,Kevin Na,54,64.23,79,123,-0.15
73,74,92,Adam Schenk,80,64.22,131,204,-0.21
74,75,27,Johnson Wagner,45,64.17,77,120,-0.18
75,76,T74,Justin Rose,42,64.12,84,131,-0.26
76,T77,T76,Bronson Burgoon,37,64.1,75,117,-0.16
77,T77,T53,Brice Garnett,63,64.1,100,156,-0.14
78,79,86,Carlos Ortiz,60,63.95,110,172,-0.15
79,80,81,Billy Horschel,73,63.8,104,163,-0.18
80,81,T83,Tommy Fleetwood,43,63.74,58,91,-0.16
81,T82,87,Sung Kang,67,63.55,129,203,-0.17
82,T82,73,Sepp Straka,48,63.55,68,107,-0.06
83,T82,96,Harold Varner III,62,63.55,129,203,-0.14
84,85,89,Kevin Streelman,63,63.46,132,208,-0.13
85,86,70,Brian Gay,79,63.41,130,205,-0.25
86,87,91,Rafa Cabrera Bello,57,63.36,83,131,-0.18
87,88,104,Nick Taylor,70,63.33,133,210,-0.17
88,89,90,Ryan Armour,66,63.27,124,196,-0.19
89,T90,79,Roberto Castro,54,63.19,103,163,-0.17
90,T90,T74,Tom Hoge,70,63.19,115,182,-0.1
91,92,T76,Webb Simpson,53,62.94,107,170,-0.18
92,93,94,Andrew Landry,56,62.87,105,167,-0.23
93,94,95,Chris Kirk,47,62.86,88,140,-0.08
94,95,110,Brady Schnell,38,62.79,54,86,-0.3
95,96,97,Harris English,72,62.78,140,223,-0.2
96,97,100,Kevin Kisner,65,62.71,111,177,-0.2
97,98,115,Scott Brown,66,62.69,121,193,-0.19
98,99,101,D.A. Points,33,62.67,47,75,-0.13
99,100,102,Freddie Jacobson,37,62.65,52,83,-0.19
100,101,103,Kyoung-Hoon Lee,72,62.64,114,182,-0.07
101,102,105,J.T. Poston,76,62.6,154,246,-0.15
102,103,127,Austin Cook,50,62.59,87,139,-0.2
103,T104,T106,Abraham Ancer,69,62.5,125,200,-0.24
104,T104,93,Corey Conners,62,62.5,105,168,-0.24
105,T104,T106,Ryan Moore,54,62.5,100,160,-0.17
106,T104,T106,Ben Silverman,54,62.5,105,168,-0.24
107,108,109,Charles Howell III,64,62.35,101,162,-0.19
108,109,999,Shane Lowry,30,62.32,43,69,-0.23
109,110,111,Michael Thompson,56,62.3,119,191,-0.17
110,111,113,Marc Leishman,52,62.2,79,127,-0.27
111,112,114,Kiradech Aphibarnrat,49,62.18,74,119,-0.2
112,113,112,Trey Mullinax,67,62.15,110,177,-0.12
113,114,131,Zach Johnson,50,62.05,103,166,-0.16
114,115,128,Lucas Bjerregaard,37,62.03,49,79,-0.16
115,116,88,Adam Hadwin,66,61.96,114,184,-0.16
116,117,116,Rory Sabbatini,71,61.9,130,210,-0.1
117,118,117,Brian Stuard,76,61.84,141,228,-0.17
118,T119,126,Bud Cauley,61,61.79,131,212,-0.2
119,T119,118,Vaughn Taylor,69,61.79,131,212,-0.17
120,121,119,Robert Streb,60,61.76,105,170,-0.14
121,122,99,Tyler Duncan,66,61.71,108,175,-0.12
122,123,124,Cameron Smith,55,61.54,80,130,-0.21
123,124,999,Martin Piller,30,61.4,35,57,-0.26
124,T125,129,Jason Day,45,61.25,49,80,-0.16
125,T125,52,Chris Thompson,34,61.25,49,80,-0.06
126,127,125,Martin Laird,60,61.22,120,196,-0.17
127,128,123,Jim Knous,55,61.16,74,121,-0.12
128,129,122,Dustin Johnson,47,60.95,64,105,-0.22
129,130,133,Roger Sloan,62,60.71,102,168,-0.21
130,131,121,Brian Harman,67,60.64,114,188,-0.18
131,132,T140,Kevin Tway,62,60.45,81,134,-0.12
132,133,120,Chase Wright,53,60.38,96,159,-0.15
133,134,138,Adam Scott,41,60.2,59,98,-0.27
134,135,139,Gary Woodland,63,60.13,95,158,-0.24
135,136,T140,Byeong Hun An,54,60.0,96,160,-0.19
136,137,T140,Daniel Berger,48,59.88,97,162,-0.19
137,138,134,Stephan Jaeger,59,59.86,88,147,-0.16
138,139,135,Joaquin Niemann,68,59.79,116,194,-0.06
139,140,143,Tony Finau,61,59.62,93,156,-0.18
140,141,144,Stewart Cink,33,59.57,56,94,-0.16
141,T142,145,Patrick Rodgers,44,59.56,81,136,-0.07
142,T142,130,Jimmy Walker,61,59.56,109,183,-0.1
143,144,T147,Grayson Murray,36,59.49,47,79,-0.11
144,145,T161,Denny McCarthy,63,59.44,107,180,-0.17
145,146,137,J.J. Spaun,68,59.39,98,165,-0.16
146,147,149,Bill Haas,58,59.35,92,155,-0.12
147,148,146,Sam Saunders,53,59.28,99,167,-0.17
148,149,151,Adam Long,52,59.24,93,157,-0.06
149,150,154,Sam Ryder,52,59.12,94,159,-0.1
150,T151,158,Francesco Molinari,41,58.89,53,90,-0.25
151,T151,157,Brandt Snedeker,68,58.89,106,180,-0.2
152,153,159,Anirban Lahiri,54,58.79,97,165,-0.18
153,154,132,Brooks Koepka,49,58.76,57,97,-0.25
154,T155,160,Hunter Mahan,45,58.73,74,126,-0.22
155,T155,150,Peter Malnati,64,58.73,111,189,-0.16
156,157,153,Chris Stroud,54,58.67,88,150,-0.25
157,158,164,Louis Oosthuizen,43,58.59,58,99,-0.14
158,159,169,Peter Uihlein,65,58.54,96,164,-0.25
159,160,T147,Joey Garber,44,58.51,55,94,-0.13
160,161,T161,Brandon Harkins,67,58.43,104,178,-0.18
161,162,165,Graeme McDowell,61,58.39,94,161,-0.23
162,163,T155,Sergio Garcia,39,58.24,53,91,-0.26
163,164,136,Cameron Davis,54,58.04,65,112,-0.15
164,165,167,Matt Wallace,31,58.02,47,81,-0.11
165,166,168,Aaron Baddeley,51,57.96,91,157,-0.22
166,167,188,Fabián Gómez,44,57.81,74,128,-0.05
167,168,T171,Beau Hossler,66,57.78,104,180,-0.2
168,169,T155,Cameron Tringale,52,57.72,71,123,-0.24
169,170,98,Ben Crane,41,57.69,60,104,-0.25
170,171,174,Ryan Blaum,67,57.65,113,196,-0.15
171,172,175,Sam Burns,66,57.64,117,203,-0.18
172,173,177,Bryson DeChambeau,45,57.53,84,146,-0.18
173,174,178,Justin Harding,31,57.5,23,40,-0.13
174,175,176,J.B. Holmes,54,57.45,54,94,-0.17
175,176,152,Roberto Díaz,51,57.41,62,108,-0.24
176,177,184,Ollie Schniederjans,63,57.4,97,169,-0.23
177,178,179,Charl Schwartzel,34,57.38,35,61,-0.23
178,179,180,Cody Gribble,52,57.33,86,150,-0.2
179,180,163,Alex Noren,49,57.25,75,131,-0.13
180,T181,T171,Sangmoon Bae,42,57.01,61,107,-0.15
181,T181,183,Ernie Els,43,57.01,61,107,-0.2
182,183,181,Bubba Watson,47,56.86,58,102,-0.05
183,184,166,José de Jesús Rodríguez,51,56.82,75,132,-0.23
184,185,185,Michael Kim,51,56.8,71,125,-0.21
185,186,186,Mackenzie Hughes,58,56.65,98,173,-0.14
186,T187,187,Jim Herman,37,56.25,63,112,-0.22
187,T187,191,Scott Stallings,63,56.25,117,208,-0.17
188,189,173,Dominic Bozzelli,53,56.15,73,130,-0.19
189,190,189,Jordan Spieth,57,56.08,83,148,-0.23
190,191,190,Si Woo Kim,65,55.97,89,159,-0.18
191,192,192,Pat Perez,52,55.56,55,99,-0.18
192,193,182,Kelly Kraft,67,55.43,102,184,-0.18
193,194,193,C.T. Pan,64,55.29,94,170,-0.19
194,195,194,Jonas Blixt,66,55.19,101,183,-0.13
195,196,199,Julián Etulain,55,54.92,67,122,-0.15
196,197,195,Matt Jones,67,54.91,95,173,-0.12
197,198,196,Martin Kaymer,38,54.86,79,144,-0.13
198,199,197,Haotong Li,32,54.79,40,73,-0.2
199,200,198,Branden Grace,62,54.55,66,121,-0.09
200,201,170,Jonathan Byrd,43,54.26,51,94,-0.18
201,202,200,Chesson Hadley,58,53.9,83,154,-0.23
202,203,204,Rod Pampling,40,53.7,58,108,-0.16
203,204,202,Max Homa,61,53.23,99,186,-0.13
204,205,201,Wyndham Clark,61,53.22,91,171,-0.24
205,206,203,Seth Reeves,52,53.21,58,109,-0.21
206,207,205,Seamus Power,58,51.79,87,168,-0.09
207,208,206,Curtis Luck,51,47.12,49,104,-0.16
208,209,207,Martin Trainer,51,45.13,51,113,-0.12
