,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
137,T137,T132,Scott Langley,60,26.1,41358.0,44
138,T137,T145,Danny Lee,66,26.1,118198.0,126
139,T137,T132,Francesco Molinari,41,26.1,51647.0,55
140,T137,T132,Sam Ryder,52,26.1,98755.0,105
141,T137,168,Ben Silverman,54,26.1,53545.0,57
142,T137,T143,Harold Varner III,62,26.1,111018.0,118
143,T144,T137,Jason Kokrak,68,26.2,133769.0,142
144,T144,T137,Seamus Power,58,26.2,98279.0,104
145,T144,T137,Justin Rose,42,26.2,69852.0,74
146,T144,T143,Robert Streb,60,26.2,72723.0,77
147,T148,142,Branden Grace,62,26.3,83223.0,88
148,T148,T155,Graeme McDowell,61,26.3,66365.0,70
149,T150,T145,Billy Horschel,73,26.5,81155.0,85
150,T150,T151,Scott Stallings,63,26.5,113538.0,119
151,T150,T145,Michael Thompson,56,26.5,96226.0,101
152,T153,T160,Wyndham Clark,61,26.7,123181.0,128
153,T153,T151,Sebastián Muñoz,58,26.7,90383.0,94
154,T153,T153,Carlos Ortiz,60,26.7,111571.0,116
155,T156,169,Daniel Berger,48,26.8,93692.0,97
156,T156,T153,Corey Conners,62,26.8,81033.0,84
157,T156,165,Brandon Harkins,67,26.8,125491.0,130
158,T156,150,Whee Kim,57,26.8,46337.0,48
159,T160,T155,Anirban Lahiri,54,26.9,59972.0,62
160,T160,T155,Andrew Putnam,57,26.9,57125.0,59
161,T160,T155,Chez Reavie,67,26.9,70782.0,73
162,163,T155,Scott Brown,66,27.0,92177.0,95
163,T164,T162,Charles Howell III,64,27.1,106264.0,109
164,T164,T162,Haotong Li,32,27.1,51763.0,53
165,T164,T162,Jon Rahm,51,27.1,103424.0,106
166,167,T160,Josh Teater,47,27.2,59739.0,61
167,T168,T177,Jim Herman,37,27.3,50092.0,51
168,T168,T166,Satoshi Kodaira,51,27.3,72752.0,74
169,T170,T190,Wes Roach,45,27.4,67188.0,68
170,T170,T171,Roger Sloan,62,27.4,78804.0,80
171,T172,T166,Jonathan Byrd,43,27.5,50442.0,51
172,T172,183,Roberto Castro,54,27.5,64237.0,65
173,T172,T171,Brian Gay,79,27.5,77327.0,78
174,175,170,"Ted Potter, Jr.",56,27.6,81569.0,82
175,T176,T171,Andrew Landry,56,27.8,84132.0,84
176,T176,T171,Shawn Stefani,57,27.8,76959.0,77
177,T176,T171,Brian Stuard,76,27.8,68101.0,68
178,179,T181,Brady Schnell,38,28.0,36308.0,36
179,T180,179,Charley Hoffman,58,28.1,70723.0,70
